"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour","overallV"
"abduction",3.19,4.95,4.25,1,2.33,6.09,2.76,"LOW","blue",2.76
"abortion",4,4.72,5.44,6,3.15,5.85,4,"LOW","blue",3.575
"absurd",3.86,4.09,4.76,17,4.7,4.65,4.7,"MID","darkgreen",4.28
"abundance",6.62,5.9,6.05,13,6.55,5.1,5.55,"MID","darkgreen",6.585
"abuse",2.78,6.67,3.33,18,1.46,6.88,3.81,"MID","darkgreen",2.12
"acceptance",7.75,6,6.75,49,8.18,4.86,6.55,"HIGH","red",7.965
"accident",2,5.94,3.53,33,2.08,6.48,3.92,"HIGH","red",2.04
"ace",7.7,6.35,6.45,15,6.14,4.95,6.33,"MID","darkgreen",6.92
"ache",3,5.26,3.89,4,2,4.77,3.23,"LOW","blue",2.5
"achievement",7.58,4.42,6.67,65,8,5.97,6.52,"HIGH","red",7.79
"activate",5.89,4.44,5.56,2,5.31,5,5.38,"LOW","blue",5.6
"addict",2.84,5.64,3.76,1,2.12,5.68,3.68,"LOW","blue",2.48
"addicted",2.75,4.5,3.65,3,2.29,5.09,3.29,"LOW","blue",2.52
"admired",7.6,6.4,7.73,17,7.81,5.97,7.44,"MID","darkgreen",7.705
"adorable",7.35,5.38,5.31,3,8.12,4.96,6,"LOW","blue",7.735
"adult",6.48,4.72,5.92,25,6.5,4.81,5.58,"MID","darkgreen",6.49
"advantage",7.26,5.37,6.37,73,6.72,4.48,6.35,"HIGH","red",6.99
"adventure",7.23,6.91,6.38,14,8,7.05,6.55,"MID","darkgreen",7.615
"affection",7.9,6.1,5.2,18,8.57,6.25,6.39,"MID","darkgreen",8.235
"afraid",2.42,6.67,5.25,57,1.83,6.68,3.43,"HIGH","red",2.125
"aggressive",5.58,6.17,6.5,17,4.89,5.68,5.21,"MID","darkgreen",5.235
"agility",7.1,4.2,6.1,3,6.24,5.07,5.79,"LOW","blue",6.67
"agony",2.47,5.47,4.6,9,2.41,6.34,3.75,"MID","darkgreen",2.44
"agreement",6.74,4.89,6.47,106,7.38,5.14,6,"HIGH","red",7.06
"air",6.47,4.68,5.21,257,6.23,3.64,5,"HIGH","red",6.35
"alcoholic",3.72,5.36,4.84,3,2,6,4.08,"LOW","blue",2.86
"alert",5.55,6.65,6.55,33,6.69,7,5.5,"HIGH","red",6.12
"alien",6.36,5.77,4.32,16,4.75,5.1,5,"MID","darkgreen",5.555
"alimony",3.21,3.67,4,2,4.62,5.14,5.18,"LOW","blue",3.915
"alive",6.6,5.35,6.8,57,7.79,5.62,6.04,"HIGH","red",7.195
"allergy",3.2,4.6,2.95,1,2.95,4.68,3.45,"LOW","blue",3.075
"alley",4.76,4.62,4.38,8,4.19,5.43,3.64,"MID","darkgreen",4.475
"alone",3.07,4.13,3.87,195,2.1,5.16,3.61,"HIGH","red",2.585
"aloof",5.24,3.88,4.82,5,4.68,4.54,4.6,"LOW","blue",4.96
"ambition",5.95,5.85,6.2,19,7.88,5.42,7.5,"MID","darkgreen",6.915
"ambulance",3,6.6,3.8,6,2.27,7.62,3,"LOW","blue",2.635
"angel",6.8,5.3,4.4,18,7.81,4.65,5.19,"MID","darkgreen",7.305
"anger",2.87,6.73,5.47,48,2,8.22,5.52,"HIGH","red",2.435
"angry",3.87,6.67,6.21,45,2.27,7.46,5.19,"HIGH","red",3.07
"anguished",2.7,4.45,3.7,2,1.55,6.2,3.2,"LOW","blue",2.125
"ankle",5.63,4.53,4.68,8,5,4.04,4.84,"MID","darkgreen",5.315
"annoy",3,6.5,5.09,2,2.61,6.48,5.09,"LOW","blue",2.805
"answer",7,5.68,6.11,152,6.32,5.18,5.64,"HIGH","red",6.66
"anxious",4.8,6.7,5.8,29,4.81,7,5.15,"MID","darkgreen",4.805
"applause",7.33,5.83,6.89,14,7.62,5.77,6.19,"MID","darkgreen",7.475
"appliance",5.05,4.23,5.09,5,5.15,3.85,5,"LOW","blue",5.1
"arm",5.5,4.4,5.05,94,5.21,2.92,5.08,"HIGH","red",5.355
"army",4.9,4.65,5.2,132,4.55,5.42,4.85,"HIGH","red",4.725
"aroused",8,6.22,6.1,20,7.96,6.77,6.15,"MID","darkgreen",7.98
"arrogant",4.69,5.12,5.88,2,2.9,6.1,4.55,"LOW","blue",3.795
"art",5.7,4.6,4.75,208,7.5,5.08,5.75,"HIGH","red",6.6
"assassin",4.33,5.73,4.86,6,2.5,6.53,4.09,"LOW","blue",3.415
"assault",2.55,7.17,5.73,15,1.78,7.7,3.09,"MID","darkgreen",2.165
"astonished",6.5,6.44,5.18,6,6.6,6.7,5.15,"LOW","blue",6.55
"astronaut",6.79,4.92,5.33,2,6.54,5.62,5.08,"LOW","blue",6.665
"athletics",6.76,6.71,6.19,9,6.45,5.45,6.05,"MID","darkgreen",6.605
"autumn",5.93,4.87,4.93,22,6.47,4.34,5.25,"MID","darkgreen",6.2
"avalanche",3.62,5.29,4,1,2.95,5.8,3.2,"LOW","blue",3.285
"avenue",5.15,4.4,5.05,46,5.82,3.86,5.73,"HIGH","red",5.485
"awed",6.35,6.05,4.75,5,7.05,5.42,5.85,"LOW","blue",6.7
"baby",7.71,6.25,4.56,62,8.65,4.95,5.35,"HIGH","red",8.18
"bake",6.32,4.7,5.22,12,6.05,5.45,5.71,"MID","darkgreen",6.185
"bandage",4,3.8,4.3,4,5.05,4.19,4.73,"LOW","blue",4.525
"bankrupt",2.24,5.71,2.94,5,1.85,6.56,3.48,"LOW","blue",2.045
"banner",5.35,3.65,4.8,8,5.45,4.19,4.81,"MID","darkgreen",5.4
"bar",7,5.5,5.85,82,5.91,4.78,5.13,"HIGH","red",6.455
"barrel",5.3,3.75,4.9,24,4.83,3.04,4.88,"MID","darkgreen",5.065
"basket",5.6,3.36,5.92,17,5.31,3.88,5.62,"MID","darkgreen",5.455
"bath",7.24,4.76,5.72,26,7.42,3.58,7.08,"MID","darkgreen",7.33
"bathroom",5.92,3.84,5.72,18,5.19,3.92,5.58,"MID","darkgreen",5.555
"bathtub",6.64,5.36,5.73,4,6.75,3.25,5.8,"LOW","blue",6.695
"beach",8.47,6.88,5.81,61,7.65,4.45,5.15,"HIGH","red",8.06
"beast",5.1,6,5.65,7,3.5,5.21,4.25,"MID","darkgreen",4.3
"beautiful",7.23,6.36,6.1,127,8,5.95,6.5,"HIGH","red",7.615
"beauty",7.47,5.6,5.33,71,8.04,4.52,5.65,"HIGH","red",7.755
"bed",7.88,4.04,7,127,7.15,3.19,6.77,"HIGH","red",7.515
"bees",3.24,6.72,4.56,15,3.15,6.31,3.77,"MID","darkgreen",3.195
"beggar",3.95,4,4.6,2,2.65,5.62,3.68,"LOW","blue",3.3
"bench",4.56,3.33,5.06,35,4.65,3.77,4.42,"HIGH","red",4.605
"bereavement",4.63,4.26,3.95,4,4.52,4.5,4.62,"LOW","blue",4.575
"betray",1.85,7.17,5.75,4,1.6,7.28,4.54,"LOW","blue",1.725
"beverage",6.8,5.55,5.8,5,6.86,5.14,5.48,"LOW","blue",6.83
"bird",6.92,2.67,4.58,31,7.41,3.39,4.36,"HIGH","red",7.165
"birthday",7.4,6.6,5.4,18,8.13,6.74,6.22,"MID","darkgreen",7.765
"black",5.92,4.54,5.88,203,4.88,4.68,4.44,"HIGH","red",5.4
"blackmail",3,5.2,3,2,2.93,6.31,3.72,"LOW","blue",2.965
"bland",4.1,3.45,4.95,3,4.09,3.14,4.82,"LOW","blue",4.095
"blase",5,4.35,4.38,7,4.79,3.58,4.74,"MID","darkgreen",4.895
"blasphemy",3.65,4.55,4.75,4,3.83,5.25,4.75,"LOW","blue",3.74
"bless",6.35,4.12,5.29,9,7.73,4,5.68,"MID","darkgreen",7.04
"blind",2.71,3.69,3.06,47,3.35,4.95,3.45,"HIGH","red",3.03
"bliss",7.17,5.06,6.5,4,6.8,4.12,5.84,"LOW","blue",6.985
