catID,living,cond,order,sex,age,looking
S1,House,non-switched,first,M,20,176.5
S1,House,switched,second,M,20,231
S1,House,switched,third,M,20,91
S1,House,non-switched,fourth,M,20,196
S2,House,switched,fourth,F,128,154
S3,House,non-switched,first,M,108,30
S3,House,switched,second,M,108,164
S3,House,switched,third,M,108,100
S4,House,switched,first,F,54,110
S4,House,switched,second,F,54,222
S5,House,non-switched,first,F,36,199
S5,House,non-switched,second,F,36,68.5
S5,House,switched,third,F,36,191
S6,Caf?,non-switched,first,M,91,151.5
S6,Caf?,switched,fourth,M,91,222
S7,Caf?,non-switched,first,M,54,139
S7,Caf?,non-switched,second,M,54,89
S7,Caf?,switched,fourth,M,54,235
S8,Caf?,non-switched,third,F,119,271
S8,Caf?,switched,fourth,F,119,270
S13,House,switched,third,M,166,105
S9,Caf?,non-switched,first,F,16,61
S9,Caf?,switched,third,F,16,66
S9,Caf?,non-switched,fourth,F,16,30
S10,Caf?,switched,first,M,25,118
S10,Caf?,switched,second,M,25,88
S10,Caf?,non-switched,third,M,25,31
S11,Caf?,switched,first,M,26,111
S11,Caf?,switched,second,M,26,49
S11,Caf?,non-switched,third,M,26,122.5
S11,Caf?,non-switched,fourth,M,26,18
S12,Caf?,non-switched,first,M,15,73
S12,Caf?,switched,third,M,15,129
S12,Caf?,switched,fourth,M,15,83
S12,Caf?,non-switched,second,M,15,31
S14,Caf?,switched,first,M,40,152
S14,Caf?,switched,second,M,40,161
S14,Caf?,non-switched,third,M,40,67
S14,Caf?,non-switched,fourth,M,40,126
S15,Caf?,non-switched,first,F,48,211
S15,Caf?,non-switched,second,F,48,165
S15,Caf?,switched,third,F,48,153
S15,Caf?,switched,fourth,F,48,122
S16,Caf?,switched,first,M,38,81
S16,Caf?,non-switched,second,M,38,54
S16,Caf?,non-switched,third,M,38,70
S16,Caf?,switched,fourth,M,38,92
S17,House,switched,first,F,57,78
S18,Caf?,non-switched,first,M,84,114
S18,Caf?,switched,third,M,84,141
S18,Caf?,switched,fourth,M,84,92
S19,Caf?,non-switched,third,M,48,31
S20,Caf?,non-switched,first,M,36,269
S20,Caf?,switched,second,M,36,205
S20,Caf?,switched,third,M,36,205
S20,Caf?,non-switched,fourth,M,36,155
S21,Caf?,switched,first,M,36,27
S21,Caf?,non-switched,third,M,36,68
S21,Caf?,non-switched,fourth,M,36,145
S22,Caf?,non-switched,first,M,36,45
S22,Caf?,switched,third,M,36,49
S23,Caf?,switched,first,M,36,103
S23,Caf?,non-switched,second,M,36,47
S24,Caf?,non-switched,first,F,35,270
S24,Caf?,switched,second,F,35,270
S24,Caf?,switched,third,F,35,271
S24,Caf?,non-switched,fourth,F,35,272
S25,Caf?,switched,first,F,35,271
S25,Caf?,switched,second,F,35,270
S25,Caf?,non-switched,third,F,35,271
S25,Caf?,non-switched,fourth,F,35,271
S26,Caf?,non-switched,first,M,37,219
S26,Caf?,non-switched,second,M,37,87
S26,Caf?,switched,third,M,37,83
S26,Caf?,switched,fourth,M,37,140
S27,Caf?,switched,first,M,16,47
S27,Caf?,non-switched,second,M,16,56
S27,Caf?,non-switched,third,M,16,34
S27,Caf?,switched,fourth,M,16,61
S28,Caf?,non-switched,first,F,15,30
S28,Caf?,switched,second,F,15,90
S28,Caf?,switched,third,F,15,29
S28,Caf?,non-switched,fourth,F,15,63
S29,Caf?,switched,first,F,115,50
S29,Caf?,switched,second,F,115,200
S29,Caf?,non-switched,third,F,115,143
S29,Caf?,non-switched,fourth,F,115,58
S30,Caf?,non-switched,first,M,15,41
S30,Caf?,non-switched,second,M,15,93
S30,Caf?,switched,third,M,15,79
S30,Caf?,switched,fourth,M,15,31
S31,House,non-switched,first,M,55,209
S31,House,switched,second,M,55,171
S31,House,switched,third,M,55,205
S31,House,non-switched,fourth,M,55,93
