"pseudonym","DurationLearning","Trial","DurationEstimate","DurationError","EstType"
"???","TrialFeedback","1",9.01,-0.99,"underestimator"
"???","TrialFeedback","2",9.34,-0.66,"underestimator"
"???","TrialFeedback","3",9.91,-0.0899999999999999,"underestimator"
"???","TrialFeedback","4",9.64,-0.359999999999999,"underestimator"
"???","TrialFeedback","5",10.14,0.140000000000001,"underestimator"
"Aifos","TrialFeedback","1",11.63,1.63,"overestimator"
"Aifos","TrialFeedback","2",12.23,2.23,"overestimator"
"Aifos","TrialFeedback","3",10.98,0.98,"overestimator"
"Aifos","TrialFeedback","4",11.95,1.95,"overestimator"
"Aifos","TrialFeedback","5",12.7,2.7,"overestimator"
"Bibel","TrialFeedback","1",7.49,-2.51,"underestimator"
"Bibel","TrialFeedback","2",9.31,-0.69,"underestimator"
"Bibel","TrialFeedback","3",7.35,-2.65,"underestimator"
"Bibel","TrialFeedback","4",9.42,-0.58,"underestimator"
"Bibel","TrialFeedback","5",8.35,-1.65,"underestimator"
"Charli","TrialFeedback","1",9.47,-0.529999999999999,"underestimator"
"Charli","TrialFeedback","2",10.25,0.25,"underestimator"
"Charli","TrialFeedback","3",10.47,0.470000000000001,"underestimator"
"Charli","TrialFeedback","4",9.97,-0.0299999999999994,"underestimator"
"Charli","TrialFeedback","5",10.35,0.35,"underestimator"
"Duck mcquack ","TrialFeedback","1",12.05,2.05,"overestimator"
"Duck mcquack ","TrialFeedback","2",10.29,0.289999999999999,"overestimator"
"Duck mcquack ","TrialFeedback","3",10.27,0.27,"overestimator"
"Duck mcquack ","TrialFeedback","4",11.01,1.01,"overestimator"
"Duck mcquack ","TrialFeedback","5",10.49,0.49,"overestimator"
"Edith ","TrialFeedback","1",13.2,3.2,"overestimator"
"Edith ","TrialFeedback","2",12.06,2.06,"overestimator"
"Edith ","TrialFeedback","3",11.13,1.13,"overestimator"
"Edith ","TrialFeedback","4",10.44,0.44,"overestimator"
"Edith ","TrialFeedback","5",9.99,-0.00999999999999979,"overestimator"
"ILoveGangnamStyle","TrialFeedback","1",8.38,-1.62,"underestimator"
"ILoveGangnamStyle","TrialFeedback","2",9.58,-0.42,"underestimator"
"ILoveGangnamStyle","TrialFeedback","3",10.04,0.0399999999999991,"underestimator"
"ILoveGangnamStyle","TrialFeedback","4",9.84,-0.16,"underestimator"
"ILoveGangnamStyle","TrialFeedback","5",9.85,-0.15,"underestimator"
"Mike","NoFeedback","1",9.28,-0.720000000000001,"underestimator"
"Mike","NoFeedback","2",8.88,-1.12,"underestimator"
"Mike","NoFeedback","3",8.4,-1.6,"underestimator"
"Mike","NoFeedback","4",10.23,0.23,"underestimator"
"Mike","NoFeedback","5",7.86,-2.14,"underestimator"
"Remy","TrialFeedback","1",12.39,2.39,"overestimator"
"Remy","TrialFeedback","2",11.68,1.68,"overestimator"
"Remy","TrialFeedback","3",8.14,-1.86,"overestimator"
