"pseudonym","DurationLearning","GuessingType","Trial","DurationGuess","TrialFactor"
"Blueberry","TrialFeedback","overestimator",1,11.49,"1.one"
"Blueberry","TrialFeedback","overestimator",2,10.36,"2.two"
"Blueberry","TrialFeedback","overestimator",3,11.35,"3.three"
"Blueberry","TrialFeedback","overestimator",4,10.48,"4.four"
"Blueberry","TrialFeedback","overestimator",5,10.85,"5.five"
"Carat","TrialFeedback","overestimator",1,10.4,"1.one"
"Carat","TrialFeedback","overestimator",2,10.05,"2.two"
"Carat","TrialFeedback","overestimator",3,11.31,"3.three"
"Carat","TrialFeedback","overestimator",4,10.11,"4.four"
"Carat","TrialFeedback","overestimator",5,9.48,"5.five"
"Eep","TrialFeedback","underestimator",1,9.8,"1.one"
"Eep","TrialFeedback","underestimator",2,10.06,"2.two"
"Eep","TrialFeedback","underestimator",3,10.18,"3.three"
"Eep","TrialFeedback","underestimator",4,9.68,"4.four"
"Eep","TrialFeedback","underestimator",5,10.06,"5.five"
"Kasbah","TrialFeedback","underestimator",1,9.2,"1.one"
"Kasbah","TrialFeedback","underestimator",2,11.1,"2.two"
"Kasbah","TrialFeedback","underestimator",3,10.8,"3.three"
"Kasbah","TrialFeedback","underestimator",4,9.7,"4.four"
"Kasbah","TrialFeedback","underestimator",5,11.2,"5.five"
"Lance","NoFeedback","overestimator",1,10.28,"1.one"
"Lance","NoFeedback","overestimator",2,10.63,"2.two"
"Lance","NoFeedback","overestimator",3,10.49,"3.three"
"Lance","NoFeedback","overestimator",4,10.49,"4.four"
"Lance","NoFeedback","overestimator",5,10.48,"5.five"
"MG","TrialFeedback","underestimator",1,9.78,"1.one"
"MG","TrialFeedback","underestimator",2,14.31,"2.two"
"MG","TrialFeedback","underestimator",3,12.51,"3.three"
"MG","TrialFeedback","underestimator",4,10.64,"4.four"
"MG","TrialFeedback","underestimator",5,9.75,"5.five"
"Mandy","TrialFeedback","overestimator",1,12.23,"1.one"
"Mandy","TrialFeedback","overestimator",2,11.38,"2.two"
"Mandy","TrialFeedback","overestimator",3,8.06,"3.three"
"Mandy","TrialFeedback","overestimator",4,10.15,"4.four"
"Mandy","TrialFeedback","overestimator",5,8.51,"5.five"
"Sally","TrialFeedback","overestimator",1,12.59,"1.one"
"Sally","TrialFeedback","overestimator",2,8.6,"2.two"
"Sally","TrialFeedback","overestimator",3,11.56,"3.three"
"Sally","TrialFeedback","overestimator",4,10.92,"4.four"
"Sally","TrialFeedback","overestimator",5,7.45,"5.five"
"Warwick.1","TrialFeedback","overestimator",1,17.72,"1.one"
"Warwick.1","TrialFeedback","overestimator",2,10.6,"2.two"
"Warwick.1","TrialFeedback","overestimator",3,9.72,"3.three"
"Warwick.1","TrialFeedback","overestimator",4,10.4,"4.four"
"Warwick.1","TrialFeedback","overestimator",5,9.76,"5.five"
"Warwick.13","TrialFeedback","underestimator",1,7.99,"1.one"
"Warwick.13","TrialFeedback","underestimator",2,10.49,"2.two"
"Warwick.13","TrialFeedback","underestimator",3,10.65,"3.three"
"Warwick.13","TrialFeedback","underestimator",4,11.89,"4.four"
"Warwick.13","TrialFeedback","underestimator",5,9.5,"5.five"
"Warwick.18","TrialFeedback","overestimator",1,12.3,"1.one"
"Warwick.18","TrialFeedback","overestimator",2,9.68,"2.two"
"Warwick.18","TrialFeedback","overestimator",3,11.32,"3.three"
"Warwick.18","TrialFeedback","overestimator",4,9.95,"4.four"
"Warwick.18","TrialFeedback","overestimator",5,9.54,"5.five"
"Warwick.19","TrialFeedback","overestimator",1,11.04,"1.one"
"Warwick.19","TrialFeedback","overestimator",2,10.67,"2.two"
"Warwick.19","TrialFeedback","overestimator",3,10.34,"3.three"
"Warwick.19","TrialFeedback","overestimator",4,9.89,"4.four"
"Warwick.19","TrialFeedback","overestimator",5,10.07,"5.five"
"Warwick.4","TrialFeedback","overestimator",1,12.26,"1.one"
"Warwick.4","TrialFeedback","overestimator",2,10.47,"2.two"
"Warwick.4","TrialFeedback","overestimator",3,10.42,"3.three"
"Warwick.4","TrialFeedback","overestimator",4,9.48,"4.four"
"Warwick.4","TrialFeedback","overestimator",5,9.87,"5.five"
"Warwick.6","TrialFeedback","underestimator",1,8.9,"1.one"
"Warwick.6","TrialFeedback","underestimator",2,10.2,"2.two"
"Warwick.6","TrialFeedback","underestimator",3,9.83,"3.three"
"Warwick.6","TrialFeedback","underestimator",4,9.58,"4.four"
"Warwick.6","TrialFeedback","underestimator",5,10.48,"5.five"
"Warwick.7","TrialFeedback","overestimator",1,17.14,"1.one"
"Warwick.7","TrialFeedback","overestimator",2,8.79,"2.two"
"Warwick.7","TrialFeedback","overestimator",3,10.53,"3.three"
"Warwick.7","TrialFeedback","overestimator",4,10.82,"4.four"
"Warwick.7","TrialFeedback","overestimator",5,10.31,"5.five"
"Warwick.8","TrialFeedback","overestimator",1,11.25,"1.one"
"Warwick.8","TrialFeedback","overestimator",2,9.73,"2.two"
"Warwick.8","TrialFeedback","overestimator",3,10.21,"3.three"
"Warwick.8","TrialFeedback","overestimator",4,9.89,"4.four"
"Warwick.8","TrialFeedback","overestimator",5,9.94,"5.five"
"eyelashes ","TrialFeedback","underestimator",1,8.36,"1.one"
"eyelashes ","TrialFeedback","underestimator",2,8.78,"2.two"
"eyelashes ","TrialFeedback","underestimator",3,10.49,"3.three"
"eyelashes ","TrialFeedback","underestimator",4,10.05,"4.four"
"eyelashes ","TrialFeedback","underestimator",5,8.73,"5.five"
"ezaia","TrialFeedback","overestimator",1,10.46,"1.one"
"ezaia","TrialFeedback","overestimator",2,11.02,"2.two"
"ezaia","TrialFeedback","overestimator",3,10.18,"3.three"
"ezaia","TrialFeedback","overestimator",4,10.13,"4.four"
"ezaia","TrialFeedback","overestimator",5,10.21,"5.five"
"pseudonym","TrialFeedback","underestimator",1,9.44,"1.one"
"pseudonym","TrialFeedback","underestimator",2,9.67,"2.two"
"pseudonym","TrialFeedback","underestimator",3,8.59,"3.three"
"pseudonym","TrialFeedback","underestimator",4,11.14,"4.four"
"pseudonym","TrialFeedback","underestimator",5,10.36,"5.five"
"raor","TrialFeedback","underestimator",1,6.3,"1.one"
"raor","TrialFeedback","underestimator",2,8.5,"2.two"
"raor","TrialFeedback","underestimator",3,9.05,"3.three"
"raor","TrialFeedback","underestimator",4,9.5,"4.four"
"raor","TrialFeedback","underestimator",5,9.8,"5.five"
"wxd","NoFeedback","underestimator",1,8.4,"1.one"
"wxd","NoFeedback","underestimator",2,7.3,"2.two"
"wxd","NoFeedback","underestimator",3,7.8,"3.three"
"wxd","NoFeedback","underestimator",4,6.9,"4.four"
"wxd","NoFeedback","underestimator",5,7.2,"5.five"
"WarwickB26","NoFeedback","underestimator",1,5.79,"1.one"
"WarwickB26","NoFeedback","underestimator",2,7.66,"2.two"
"WarwickB26","NoFeedback","underestimator",3,7.69,"3.three"
"WarwickB26","NoFeedback","underestimator",4,8.1,"4.four"
"WarwickB26","NoFeedback","underestimator",5,9.53,"5.five"
