"Language"	"Year"	"Stage"	"Students"	"ID"	"Color"	"points"	"linetype"
"French"	2008	"Stage1"	2559	"French.Stage1"	"darkgreen"	15	3
"French"	2009	"Stage1"	2631	"French.Stage1"	"darkgreen"	15	3
"French"	2010	"Stage1"	2565	"French.Stage1"	"darkgreen"	15	3
"French"	2011	"Stage1"	2268	"French.Stage1"	"darkgreen"	15	3
"German"	2008	"Stage1"	4555	"German.Stage1"	"blue"	15	3
"German"	2009	"Stage1"	4811	"German.Stage1"	"blue"	15	3
"German"	2010	"Stage1"	4586	"German.Stage1"	"blue"	15	3
"German"	2011	"Stage1"	4395	"German.Stage1"	"blue"	15	3
"Spanish"	2008	"Stage1"	11147	"Spanish.Stage1"	"red"	15	3
"Spanish"	2009	"Stage1"	10062	"Spanish.Stage1"	"red"	15	3
"Spanish"	2010	"Stage1"	8549	"Spanish.Stage1"	"red"	15	3
"Spanish"	2011	"Stage1"	7412	"Spanish.Stage1"	"red"	15	3
"French"	2008	"Stage2"	1317	"French.Stage2"	"darkgreen"	17	4
"French"	2009	"Stage2"	1297	"French.Stage2"	"darkgreen"	17	4
"French"	2010	"Stage2"	1376	"French.Stage2"	"darkgreen"	17	4
"French"	2011	"Stage2"	1270	"French.Stage2"	"darkgreen"	17	4
"German"	2008	"Stage2"	2289	"German.Stage2"	"blue"	17	4
"German"	2009	"Stage2"	2487	"German.Stage2"	"blue"	17	4
"German"	2010	"Stage2"	2317	"German.Stage2"	"blue"	17	4
"German"	2011	"Stage2"	2317	"German.Stage2"	"blue"	17	4
"Spanish"	2008	"Stage2"	6319	"Spanish.Stage2"	"red"	17	4
"Spanish"	2009	"Stage2"	5855	"Spanish.Stage2"	"red"	17	4
"Spanish"	2010	"Stage2"	5093	"Spanish.Stage2"	"red"	17	4
"Spanish"	2011	"Stage2"	4335	"Spanish.Stage2"	"red"	17	4
"French"	2008	"Stage3"	7036	"French.Stage3"	"darkgreen"	23	2
"French"	2009	"Stage3"	6959	"French.Stage3"	"darkgreen"	23	2
"French"	2010	"Stage3"	8000	"French.Stage3"	"darkgreen"	23	2
"French"	2011	"Stage3"	8790	"French.Stage3"	"darkgreen"	23	2
"German"	2008	"Stage3"	8446	"German.Stage3"	"blue"	23	2
"German"	2009	"Stage3"	8550	"German.Stage3"	"blue"	23	2
"German"	2010	"Stage3"	9523	"German.Stage3"	"blue"	23	2
"German"	2011	"Stage3"	9816	"German.Stage3"	"blue"	23	2
"Spanish"	2008	"Stage3"	9878	"Spanish.Stage3"	"red"	23	2
"Spanish"	2009	"Stage3"	11658	"Spanish.Stage3"	"red"	23	2
"Spanish"	2010	"Stage3"	14264	"Spanish.Stage3"	"red"	23	2
"Spanish"	2011	"Stage3"	16897	"Spanish.Stage3"	"red"	23	2
"French"	2008	"Stage4"	4049	"French.Stage4"	"darkgreen"	19	1
"French"	2009	"Stage4"	3954	"French.Stage4"	"darkgreen"	19	1
"French"	2010	"Stage4"	5238	"French.Stage4"	"darkgreen"	19	1
"French"	2011	"Stage4"	5638	"French.Stage4"	"darkgreen"	19	1
"German"	2008	"Stage4"	4541	"German.Stage4"	"blue"	19	1
"German"	2009	"Stage4"	4602	"German.Stage4"	"blue"	19	1
"German"	2010	"Stage4"	5835	"German.Stage4"	"blue"	19	1
"German"	2011	"Stage4"	5984	"German.Stage4"	"blue"	19	1
"Spanish"	2008	"Stage4"	5170	"Spanish.Stage4"	"red"	19	1
"Spanish"	2009	"Stage4"	6101	"Spanish.Stage4"	"red"	19	1
"Spanish"	2010	"Stage4"	8509	"Spanish.Stage4"	"red"	19	1
"Spanish"	2011	"Stage4"	10224	"Spanish.Stage4"	"red"	19	1
