"word","subject","enteredResponse","age","gender","wordStatus","wordLength","macronWord","phon.score","z.rating"
"ahatiati","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"FALSE",-2.75024825,-0.449004789747233
"ahiahake","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"FALSE",-2.91881325,-0.449004789747233
"ako","3E97EF507F19FFD96645FF53C2AAA38E",4,30,"F","real",3,"FALSE",-3.01460633333333,0.336177945144082
"amu","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.36344533333333,-0.449004789747233
"aoraki","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"FALSE",-3.05133933333333,1.1213606800354
"aotearoa","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-3.279072,1.1213606800354
"apēhia","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"TRUE",-3.19249266666667,-0.449004789747233
"ape","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.33225533333333,-0.449004789747233
"arane","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",5,"FALSE",-2.9202612,-0.449004789747233
"ario","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",4,"FALSE",-3.208684,-1.23418752463855
"aroha","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"FALSE",-2.9558472,1.1213606800354
"atua","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.893379,1.1213606800354
"awa","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-3.15209533333333,1.1213606800354
"eha","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",3,"FALSE",-3.41708533333333,-2.01937025952986
"eko","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.35957866666667,-0.449004789747233
"hīkoi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"TRUE",-3.4836552,1.1213606800354
"hūku","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.581144,-0.449004789747233
"hōhā","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"TRUE",-3.803549,1.1213606800354
"hōke","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.4078715,-0.449004789747233
"hāno","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.6773715,-0.449004789747233
"haeo","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"FALSE",-3.5562315,-0.449004789747233
"haere mai","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-2.827047625,1.1213606800354
"haka","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.466464,1.1213606800354
"hakaatū","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","non",7,"TRUE",-2.98069657142857,1.1213606800354
"hangi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-5.235669,1.1213606800354
"hapū","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"TRUE",-3.3557165,1.1213606800354
"hepaua","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"FALSE",-3.287206,-0.449004789747233
"hepiti","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"FALSE",-3.27530266666667,-0.449004789747233
"hewe","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"FALSE",-3.5384265,-0.449004789747233
"hiamu","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",5,"FALSE",-3.1843292,-2.01937025952986
"hingi","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"FALSE",-3.1128115,-0.449004789747233
"hiu","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",3,"FALSE",-3.80822533333333,-1.23418752463855
"hoengaima","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",8,"FALSE",-3.44735825,-2.01937025952986
"hoihoko","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",7,"FALSE",-3.23985657142857,-0.449004789747233
"hoki","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.9387065,1.1213606800354
"hongi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-5.3935765,1.1213606800354
"hope","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","real",4,"FALSE",-3.210284,-0.449004789747233
"horetī","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"TRUE",-3.27832766666667,-0.449004789747233
"howaka","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",6,"FALSE",-3.10394433333333,-2.01937025952986
"huengi","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",5,"FALSE",-3.4213732,-1.23418752463855
"hui","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-3.16615533333333,1.1213606800354
"humo","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",4,"FALSE",-3.516929,-1.23418752463855
"hunge","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",4,"FALSE",-3.6585715,-1.23418752463855
"hupū","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.5827515,-0.449004789747233
"ihiri","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",5,"FALSE",-2.8989012,-0.449004789747233
"ihu","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","real",3,"FALSE",-3.377152,-0.449004789747233
"ikau","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"FALSE",-3.0467115,-0.449004789747233
"iko","3E97EF507F19FFD96645FF53C2AAA38E",4,30,"F","non",3,"FALSE",-3.23416533333333,0.336177945144082
"inga","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.20720533333333,-0.449004789747233
"ingi","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",3,"FALSE",-3.420792,-1.23418752463855
"iniata","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"FALSE",-3.03433266666667,-0.449004789747233
"ino","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.36670533333333,-0.449004789747233
"ire","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",3,"FALSE",-3.182362,-1.23418752463855
"iru","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",3,"FALSE",-3.301822,-0.449004789747233
"iti","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-2.984703,1.1213606800354
"iwa","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-3.44123866666667,1.1213606800354
"iwi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-3.73867866666667,1.1213606800354
"kūhatapō","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"TRUE",-3.4226695,-0.449004789747233
"kūro","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.4077065,-0.449004789747233
"kūwhati","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"TRUE",-3.29847933333333,-0.449004789747233
"kōhanga","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"TRUE",-4.601376,1.1213606800354
"kāinga","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"TRUE",-5.2901252,1.1213606800354
"kōioromāpara","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",12,"TRUE",-3.21938716666667,-0.449004789747233
"kākāriki","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"TRUE",-3.1071145,1.1213606800354
"kōmuawhiu","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",8,"TRUE",-3.44820575,-1.23418752463855
"kōrero","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"TRUE",-2.90355933333333,1.1213606800354
"kōua","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.2521665,-0.449004789747233
"kāwanatanga","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",10,"TRUE",-4.0148236,1.1213606800354
"kāweroni","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",8,"TRUE",-3.3071745,-2.01937025952986
"kōwhai","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"TRUE",-3.1082232,1.1213606800354
"kaha","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.5579865,1.1213606800354
"kahurangi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-3.97058325,1.1213606800354
"kai","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",3,"FALSE",-2.47056833333333,1.1213606800354
"kai moana","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-2.821638875,1.1213606800354
"kaitiaki","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-2.52583075,1.1213606800354
"kaiwhakahaere","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",12,"FALSE",-2.60257466666667,1.1213606800354
"kapa haka","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"FALSE",-2.5100215,1.1213606800354
"karakia","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",7,"FALSE",-2.42708085714286,1.1213606800354
"karanga","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"FALSE",-4.23608933333333,1.1213606800354
"karu","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","real",4,"FALSE",-2.499034,-0.449004789747233
"katoa","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"FALSE",-2.7595132,1.1213606800354
"kaumātua","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",8,"TRUE",-2.98446575,1.1213606800354
"kaupapa","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",7,"FALSE",-2.78438657142857,1.1213606800354
"kawaa","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",5,"FALSE",-3.1758632,-0.449004789747233
"kawha","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"FALSE",-3.0425915,-0.449004789747233
"kawha kawha","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"FALSE",-3.0425915,-0.449004789747233
"kawha nia","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",7,"FALSE",-2.97750285714286,-0.449004789747233
"kawha whani","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"FALSE",-2.9247915,-0.449004789747233
"kemoramo","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",8,"FALSE",-3.41883825,-2.01937025952986
"kepi","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","non",4,"FALSE",-3.5658265,1.1213606800354
"kia kaha","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",7,"FALSE",-2.598163,1.1213606800354
"kia ora","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"FALSE",-2.8187,1.1213606800354
"kingiro","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",6,"FALSE",-3.23904266666667,-0.449004789747233
"kitō","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.5530315,-0.449004789747233
"koha","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.878489,1.1213606800354
"komekua","3E97EF507F19FFD96645FF53C2AAA38E",1,30,"F","non",7,"FALSE",-3.29571514285714,-2.01937025952986
"koro","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.5309065,1.1213606800354
"korowai","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",7,"FALSE",-2.93081942857143,1.1213606800354
"koru","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.7563265,1.1213606800354
"kuia","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.934874,1.1213606800354
"kupō","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.5215115,-0.449004789747233
"kura","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"FALSE",-2.736924,1.1213606800354
"kurī","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",4,"TRUE",-3.5319915,1.1213606800354
"mōha","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.3581915,-0.449004789747233
"māheneketoa","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",11,"TRUE",-3.15065690909091,-0.449004789747233
"mōnga","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",4,"TRUE",-3.678234,-0.449004789747233
"māorawau","3E97EF507F19FFD96645FF53C2AAA38E",3,30,"F","non",8,"TRUE",-3.2570595,-0.449004789747233
"māori","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",5,"TRUE",-3.1745672,1.1213606800354
"māorua","3E97EF507F19FFD96645FF53C2AAA38E",2,30,"F","non",6,"TRUE",-3.15906766666667,-1.23418752463855
"mōrena","3E97EF507F19FFD96645FF53C2AAA38E",5,30,"F","real",6,"TRUE",-3.26320933333333,1.1213606800354
