"WORD","REACTTIME","NO_LETT","KF_WRITFREQ","FAMILIARITY","CONCRETENESS","IMAGEABILITY","MEANINGFUL_CO","length","LangBackground","WORDFREQUENCY"
"ant",589.4347,3,6,511,604,613,415,"short","L1","RARE"
"apple",523.0493,5,9,598,620,637,451,"short","L1","COMMON"
"apricot",642.3342,7,1,428,638,591,NA,"long","L1","RARE"
"asparagus",696.2092,9,1,534,608,590,442,"long","L1","COMMON"
"banana",601.8914,6,4,576,633,644,449,"long","L1","COMMON"
"bat",589.6712,3,18,514,564,586,412,"short","L1","COMMON"
"beaver",661.5156,6,3,470,589,612,412,"long","L1","RARE"
"bee",567.0827,3,11,554,597,623,441,"short","L1","COMMON"
"bunny",672.3081,5,1,471,NA,585,NA,"short","L1","RARE"
"butterfly",635.4823,9,2,481,593,624,424,"long","L1","RARE"
"camel",636.0095,5,1,421,597,561,372,"short","L1","RARE"
"carrot",620.8766,6,1,539,622,577,425,"long","L1","COMMON"
"cat",567.6625,3,23,582,615,617,487,"short","L1","COMMON"
"cherry",614.0209,6,6,514,611,582,497,"long","L1","COMMON"
"chicken",588.0462,7,37,544,614,619,462,"long","L1","COMMON"
"clove",667.214,5,1,395,565,446,315,"short","L1","RARE"
"crocodile",699.0151,9,1,456,583,601,387,"long","L1","RARE"
"cucumber",617.7367,8,0,536,653,623,428,"long","L1","COMMON"
"dog",583.6823,3,75,598,610,636,553,"short","L1","COMMON"
"eagle",596.3469,5,5,465,616,601,457,"short","L1","RARE"
"elephant",655.216,8,7,459,628,616,440,"long","L1","RARE"
"fox",614.8879,3,13,501,605,607,430,"short","L1","RARE"
"frog",592.9443,4,1,507,619,617,466,"short","L1","RARE"
"goat",559.7334,4,6,469,636,585,402,"short","L1","RARE"
"grape",568.4144,5,3,532,611,591,403,"short","L1","COMMON"
"horse",624.4767,5,117,560,613,624,471,"short","L1","COMMON"
"leek",682.1382,4,0,431,621,540,NA,"short","L1","RARE"
"lemon",549.3614,5,18,518,608,632,470,"short","L1","COMMON"
"lettuce",634.6535,7,0,565,579,608,423,"long","L1","COMMON"
"lion",588.3237,4,17,511,627,626,498,"short","L1","RARE"
"melon",596.4692,5,1,441,NA,NA,NA,"short","L1","RARE"
"mole",655.4345,4,4,484,590,567,372,"short","L1","RARE"
"monkey",593.6087,6,9,531,566,588,448,"long","L1","COMMON"
"moose",620.0387,5,0,518,616,604,420,"short","L1","COMMON"
"mouse",604.3841,5,10,520,624,615,426,"short","L1","COMMON"
"mustard",633.95,7,20,532,595,599,388,"long","L1","COMMON"
"olive",578.9176,5,5,444,618,578,351,"short","L1","RARE"
"orange",544.8413,6,23,567,601,626,467,"long","L1","COMMON"
"owl",637.3747,3,2,477,614,595,397,"short","L1","RARE"
"pear",579.4982,4,6,567,634,590,494,"short","L1","COMMON"
"pig",559.0134,3,8,509,614,635,NA,"short","L1","RARE"
"pineapple",636.775,9,9,489,653,569,435,"long","L1","RARE"
"potato",670.7467,6,15,612,629,617,484,"long","L1","COMMON"
"radish",678.3105,6,8,456,NA,NA,NA,"long","L1","RARE"
"shark",585.1791,5,0,516,611,602,423,"short","L1","COMMON"
"sheep",556.1345,5,23,507,622,596,444,"short","L1","RARE"
"snake",609.8235,5,44,501,621,627,458,"short","L1","RARE"
"spider",562.3294,6,2,526,607,597,392,"long","L1","COMMON"
"squirrel",711.7317,8,1,511,612,642,397,"long","L1","RARE"
"stork",794.4522,5,0,393,614,570,NA,"short","L1","RARE"
"strawberry",612.796,10,0,539,610,631,465,"long","L1","COMMON"
"tomato",611.024,6,4,574,662,610,489,"long","L1","COMMON"
"tortoise",733.0323,8,3,415,602,539,403,"long","L1","RARE"
"walnut",663.5908,6,11,538,642,590,468,"long","L1","COMMON"
"whale",609.9745,5,0,500,610,623,474,"short","L1","RARE"
"ant",778.331867950593,3,6,511,604,613,415,"short","L2","RARE"
"apple",644.214591701003,5,9,598,620,637,451,"short","L2","COMMON"
"apricot",906.620061601284,7,1,428,638,591,NA,"long","L2","RARE"
"asparagus",874.433355389701,9,1,534,608,590,442,"long","L2","COMMON"
