"WORD","REACTTIME","NO_LETT","KF_WRITFREQ","FAMILIARITY","CONCRETENESS","IMAGEABILITY","MEANINGFUL_CO","length"
"almond",650.9947,6,1,NA,NA,NA,NA,"long"
"ant",589.4347,3,6,511,604,613,415,"short"
"apple",523.0493,5,9,598,620,637,451,"short"
"apricot",642.3342,7,1,428,638,591,NA,"long"
"asparagus",696.2092,9,1,534,608,590,442,"long"
"avocado",621.6382,7,11,NA,NA,NA,NA,"long"
"banana",601.8914,6,4,576,633,644,449,"long"
"bat",589.6712,3,18,514,564,586,412,"short"
"beaver",661.5156,6,3,470,589,612,412,"long"
"bee",567.0827,3,11,554,597,623,441,"short"
"beetroot",751.0928,8,0,NA,NA,NA,NA,"long"
"blackberry",638.035,10,3,NA,NA,NA,NA,"long"
"broccoli",597.6108,8,1,NA,NA,NA,NA,"long"
"bunny",672.3081,5,1,471,NA,585,NA,"short"
"butterfly",635.4823,9,2,481,593,624,424,"long"
"camel",636.0095,5,1,421,597,561,372,"short"
"carrot",620.8766,6,1,539,622,577,425,"long"
"cat",567.6625,3,23,582,615,617,487,"short"
"cherry",614.0209,6,6,514,611,582,497,"long"
"chicken",588.0462,7,37,544,614,619,462,"long"
"clove",667.214,5,1,395,565,446,315,"short"
"crocodile",699.0151,9,1,456,583,601,387,"long"
"cucumber",617.7367,8,0,536,653,623,428,"long"
"dog",583.6823,3,75,598,610,636,553,"short"
"dolphin",618.1155,7,1,NA,NA,NA,NA,"long"
"donkey",581.6936,6,1,NA,NA,NA,NA,"long"
"eagle",596.3469,5,5,465,616,601,457,"short"
"eggplant",616.3894,8,0,NA,NA,NA,NA,"long"
"elephant",655.216,8,7,459,628,616,440,"long"
"fox",614.8879,3,13,501,605,607,430,"short"
"frog",592.9443,4,1,507,619,617,466,"short"
"gherkin",776.6582,7,0,NA,NA,NA,NA,"long"
"goat",559.7334,4,6,469,636,585,402,"short"
"goose",576.6969,5,4,NA,NA,NA,NA,"short"
"grape",568.4144,5,3,532,611,591,403,"short"
"gull",660.019,4,1,NA,NA,NA,NA,"short"
"hedgehog",773.9089,8,0,NA,NA,NA,NA,"long"
"horse",624.4767,5,117,560,613,624,471,"short"
"kiwi",600.9778,4,0,NA,NA,NA,NA,"short"
"leek",682.1382,4,0,431,621,540,NA,"short"
"lemon",549.3614,5,18,518,608,632,470,"short"
"lettuce",634.6535,7,0,565,579,608,423,"long"
"lion",588.3237,4,17,511,627,626,498,"short"
"magpie",745.4629,6,1,NA,NA,NA,NA,"long"
"melon",596.4692,5,1,441,NA,NA,NA,"short"
"mole",655.4345,4,4,484,590,567,372,"short"
"monkey",593.6087,6,9,531,566,588,448,"long"
"moose",620.0387,5,0,518,616,604,420,"short"
"mouse",604.3841,5,10,520,624,615,426,"short"
"mushroom",602.2479,8,2,NA,NA,NA,NA,"long"
"mustard",633.95,7,20,532,595,599,388,"long"
"olive",578.9176,5,5,444,618,578,351,"short"
"orange",544.8413,6,23,567,601,626,467,"long"
"owl",637.3747,3,2,477,614,595,397,"short"
"paprika",745.1318,7,2,NA,NA,NA,NA,"long"
"peanut",571.8937,6,6,NA,NA,NA,NA,"long"
"pear",579.4982,4,6,567,634,590,494,"short"
"pig",559.0134,3,8,509,614,635,NA,"short"
"pineapple",636.775,9,9,489,653,569,435,"long"
"potato",670.7467,6,15,612,629,617,484,"long"
"radish",678.3105,6,8,456,NA,NA,NA,"long"
"reindeer",754.3662,8,0,NA,NA,NA,NA,"long"
"shark",585.1791,5,0,516,611,602,423,"short"
"sheep",556.1345,5,23,507,622,596,444,"short"
"snake",609.8235,5,44,501,621,627,458,"short"
"spider",562.3294,6,2,526,607,597,392,"long"
"squid",672.073,5,0,NA,NA,NA,NA,"short"
"squirrel",711.7317,8,1,511,612,642,397,"long"
"stork",794.4522,5,0,393,614,570,NA,"short"
"strawberry",612.796,10,0,539,610,631,465,"long"
"swan",606.9915,4,3,NA,NA,NA,NA,"short"
"tomato",611.024,6,4,574,662,610,489,"long"
"tortoise",733.0323,8,3,415,602,539,403,"long"
"walnut",663.5908,6,11,538,642,590,468,"long"
"wasp",725.7056,4,2,NA,NA,NA,NA,"short"
"whale",609.9745,5,0,500,610,623,474,"short"
"woodpecker",686.3439,10,1,NA,NA,NA,NA,"long"
