"Type"	"Maxrun"
"Real"	5
"Simulated"	4
"Real"	7
"Simulated"	4
"Real"	4
"Simulated"	4
"Real"	4
"Simulated"	4
"Real"	7
"Simulated"	4
"Real"	5
"Simulated"	6
"Real"	5
"Simulated"	4
"Real"	6
"Simulated"	4
"Real"	6
"Simulated"	4
"Real"	8
"Simulated"	10
"Real"	7
"Simulated"	9
"Real"	4
"Real"	4
"Real"	5
"Real"	5
"Real"	4
"Real"	4
"Real"	5
"Real"	6
"Real"	5
"Real"	5
"Simulated"	2
"Simulated"	3
"Simulated"	3
"Simulated"	4
"Simulated"	3
"Simulated"	3
"Simulated"	3
"Simulated"	4
"Simulated"	4
"Simulated"	5
