"catID","age","sex","living","cond","order","orderFactor","looking"
"S1",20,"M","House","non-switched",1,"1.first",176.5
"S1",20,"M","House","switched",2,"2.second",231
"S1",20,"M","House","switched",3,"3.third",91
"S1",20,"M","House","non-switched",4,"4.fourth",196
"S2",128,"F","House","switched",4,"4.fourth",154
"S3",108,"M","House","non-switched",1,"1.first",30
"S3",108,"M","House","switched",2,"2.second",164
"S3",108,"M","House","switched",3,"3.third",100
"S4",54,"F","House","switched",1,"1.first",110
"S4",54,"F","House","switched",2,"2.second",222
"S5",36,"F","House","non-switched",1,"1.first",199
"S5",36,"F","House","non-switched",2,"2.second",68.5
"S5",36,"F","House","switched",3,"3.third",191
"S6",91,"M","Cafe","non-switched",1,"1.first",151.5
"S6",91,"M","Cafe","switched",4,"4.fourth",222
"S7",54,"M","Cafe","non-switched",1,"1.first",139
"S7",54,"M","Cafe","non-switched",2,"2.second",89
"S7",54,"M","Cafe","switched",4,"4.fourth",235
"S8",119,"F","Cafe","non-switched",3,"3.third",271
"S8",119,"F","Cafe","switched",4,"4.fourth",270
"S13",166,"M","House","switched",3,"3.third",105
"S9",16,"F","Cafe","non-switched",1,"1.first",61
"S9",16,"F","Cafe","switched",3,"3.third",66
"S9",16,"F","Cafe","non-switched",4,"4.fourth",30
"S10",25,"M","Cafe","switched",1,"1.first",118
"S10",25,"M","Cafe","switched",2,"2.second",88
"S10",25,"M","Cafe","non-switched",3,"3.third",31
"S11",26,"M","Cafe","switched",1,"1.first",111
"S11",26,"M","Cafe","switched",2,"2.second",49
"S11",26,"M","Cafe","non-switched",3,"3.third",122.5
"S11",26,"M","Cafe","non-switched",4,"4.fourth",18
"S12",15,"M","Cafe","non-switched",1,"1.first",73
"S12",15,"M","Cafe","switched",3,"3.third",129
"S12",15,"M","Cafe","switched",4,"4.fourth",83
"S12",15,"M","Cafe","non-switched",2,"2.second",31
"S14",40,"M","Cafe","switched",1,"1.first",152
"S14",40,"M","Cafe","switched",2,"2.second",161
"S14",40,"M","Cafe","non-switched",3,"3.third",67
"S14",40,"M","Cafe","non-switched",4,"4.fourth",126
"S15",48,"F","Cafe","non-switched",1,"1.first",211
"S15",48,"F","Cafe","non-switched",2,"2.second",165
"S15",48,"F","Cafe","switched",3,"3.third",153
"S15",48,"F","Cafe","switched",4,"4.fourth",122
"S16",38,"M","Cafe","switched",1,"1.first",81
"S16",38,"M","Cafe","non-switched",2,"2.second",54
"S16",38,"M","Cafe","non-switched",3,"3.third",70
"S16",38,"M","Cafe","switched",4,"4.fourth",92
"S17",57,"F","House","switched",1,"1.first",78
"S18",84,"M","Cafe","non-switched",1,"1.first",114
"S18",84,"M","Cafe","switched",3,"3.third",141
"S18",84,"M","Cafe","switched",4,"4.fourth",92
"S19",48,"M","Cafe","non-switched",3,"3.third",31
"S20",36,"M","Cafe","non-switched",1,"1.first",269
"S20",36,"M","Cafe","switched",2,"2.second",205
"S20",36,"M","Cafe","switched",3,"3.third",205
"S20",36,"M","Cafe","non-switched",4,"4.fourth",155
"S21",36,"M","Cafe","switched",1,"1.first",27
"S21",36,"M","Cafe","non-switched",3,"3.third",68
"S21",36,"M","Cafe","non-switched",4,"4.fourth",145
"S22",36,"M","Cafe","non-switched",1,"1.first",45
"S22",36,"M","Cafe","switched",3,"3.third",49
"S23",36,"M","Cafe","switched",1,"1.first",103
"S23",36,"M","Cafe","non-switched",2,"2.second",47
"S24",35,"F","Cafe","non-switched",1,"1.first",270
"S24",35,"F","Cafe","switched",2,"2.second",270
"S24",35,"F","Cafe","switched",3,"3.third",271
"S24",35,"F","Cafe","non-switched",4,"4.fourth",272
"S25",35,"F","Cafe","switched",1,"1.first",271
"S25",35,"F","Cafe","switched",2,"2.second",270
"S25",35,"F","Cafe","non-switched",3,"3.third",271
"S25",35,"F","Cafe","non-switched",4,"4.fourth",271
"S26",37,"M","Cafe","non-switched",1,"1.first",219
"S26",37,"M","Cafe","non-switched",2,"2.second",87
"S26",37,"M","Cafe","switched",3,"3.third",83
"S26",37,"M","Cafe","switched",4,"4.fourth",140
"S27",16,"M","Cafe","switched",1,"1.first",47
"S27",16,"M","Cafe","non-switched",2,"2.second",56
"S27",16,"M","Cafe","non-switched",3,"3.third",34
"S27",16,"M","Cafe","switched",4,"4.fourth",61
"S28",15,"F","Cafe","non-switched",1,"1.first",30
"S28",15,"F","Cafe","switched",2,"2.second",90
"S28",15,"F","Cafe","switched",3,"3.third",29
"S28",15,"F","Cafe","non-switched",4,"4.fourth",63
"S29",115,"F","Cafe","switched",1,"1.first",50
"S29",115,"F","Cafe","switched",2,"2.second",200
"S29",115,"F","Cafe","non-switched",3,"3.third",143
"S29",115,"F","Cafe","non-switched",4,"4.fourth",58
"S30",15,"M","Cafe","non-switched",1,"1.first",41
"S30",15,"M","Cafe","non-switched",2,"2.second",93
"S30",15,"M","Cafe","switched",3,"3.third",79
"S30",15,"M","Cafe","switched",4,"4.fourth",31
"S31",55,"M","House","non-switched",1,"1.first",209
"S31",55,"M","House","switched",2,"2.second",171
"S31",55,"M","House","switched",3,"3.third",205
"S31",55,"M","House","non-switched",4,"4.fourth",93
