catID,age,sex,living,cond,order,orderFactor,looking
C1,34,M,Cafe,non-switched,1,1.first,46
C1,34,M,Cafe,switched,4,4.fourth,37
C2,24,M,Cafe,switched,1,1.first,81
C2,24,M,Cafe,non-switched,2,2.second,57
C2,24,M,Cafe,non-switched,3,3.third,105
C2,24,M,Cafe,switched,4,4.fourth,130
C3,15,F,Cafe,non-switched,1,1.first,37
C3,15,F,Cafe,non-switched,4,4.fourth,166
C4,115,F,Cafe,non-switched,1,1.first,94
C4,115,F,Cafe,switched,3,3.third,59
C4,115,F,Cafe,switched,4,4.fourth,53
C5,16,M,Cafe,non-switched,2,2.second,121
C5,16,M,Cafe,non-switched,3,3.third,108
C6,95,F,Cafe,non-switched,1,1.first,199
C6,95,F,Cafe,non-switched,2,2.second,88
C6,95,F,Cafe,switched,3,3.third,128
C6,95,F,Cafe,switched,4,4.fourth,268
C7,105,M,Cafe,switched,1,1.first,98
C7,105,M,Cafe,non-switched,2,2.second,140
C8,130,F,Cafe,switched,2,2.second,121
C9,69,F,Cafe,non-switched,3,3.third,86
C9,69,F,Cafe,non-switched,1,1.first,98
C9,69,F,Cafe,non-switched,2,2.second,186
C9,69,F,Cafe,switched,3,3.third,106
C9,69,F,Cafe,switched,4,4.fourth,212
C10,80,F,Cafe,switched,1,1.first,81
C10,80,F,Cafe,non-switched,2,2.second,139
C10,80,F,Cafe,non-switched,3,3.third,81
C10,80,F,Cafe,switched,4,4.fourth,36
C11,141,F,Cafe,non-switched,1,1.first,160
C11,141,F,Cafe,switched,2,2.second,150
C11,141,F,Cafe,switched,3,3.third,76
C11,141,F,Cafe,non-switched,4,4.fourth,23
C12,47,M,Cafe,switched,1,1.first,228
C12,47,M,Cafe,switched,2,2.second,269
C12,47,M,Cafe,non-switched,3,3.third,179
C13,66,M,Cafe,non-switched,1,1.first,69
C13,66,M,Cafe,non-switched,2,2.second,98
C13,66,M,Cafe,switched,3,3.third,121
C13,66,M,Cafe,switched,4,4.fourth,126
C14,47,M,Cafe,switched,1,1.first,271
C14,47,M,Cafe,non-switched,2,2.second,224
C14,47,M,Cafe,non-switched,3,3.third,205
C14,47,M,Cafe,switched,4,4.fourth,154
C15,71,M,Cafe,non-switched,1,1.first,62
C15,71,M,Cafe,switched,2,2.second,154
C15,71,M,Cafe,switched,3,3.third,69
C15,71,M,Cafe,non-switched,4,4.fourth,45
C16,116,M,Cafe,switched,1,1.first,153
C16,116,M,Cafe,switched,2,2.second,41
C16,116,M,Cafe,non-switched,3,3.third,69
C17,54,M,Cafe,non-switched,1,1.first,230
C17,54,M,Cafe,non-switched,2,2.second,53
C17,54,M,Cafe,switched,4,4.fourth,71
C18,64,F,Cafe,switched,1,1.first,67
C19,48,M,Cafe,non-switched,1,1.first,207
C19,48,M,Cafe,switched,3,3.third,27
C19,48,M,Cafe,switched,4,4.fourth,90
C20,45,F,Cafe,non-switched,1,1.first,207
C20,45,F,Cafe,non-switched,2,2.second,215
C20,45,F,Cafe,switched,3,3.third,144
C21,50,M,Cafe,non-switched,1,1.first,51
C21,50,M,Cafe,switched,2,2.second,38
C21,50,M,Cafe,switched,3,3.third,104
C22,148,F,House,switched,1,1.first,137
C23,13,F,House,non-switched,1,1.first,47
C23,13,F,House,switched,2,2.second,55
C24,65,M,House,non-switched,1,1.first,233
C24,65,M,House,non-switched,2,2.second,70
C24,65,M,House,switched,3,3.third,160
C25,62,M,House,non-switched,3,3.third,86
C25,62,M,House,non-switched,4,4.fourth,65
C26,94,M,House,non-switched,1,1.first,265
C26,94,M,House,switched,2,2.second,253
C26,94,M,House,switched,3,3.third,262
C26,94,M,House,non-switched,4,4.fourth,272
C27,24,F,House,switched,1,1.first,176
C27,24,F,House,non-switched,3,3.third,39
C28,40,M,House,switched,3,3.third,41
C28,40,M,House,switched,4,4.fourth,33
C29,24,M,Cafe,non-switched,1,1.first,21
C30,24,F,Cafe,switched,1,1.first,127
C30,24,F,Cafe,non-switched,2,2.second,190
C30,24,F,Cafe,non-switched,3,3.third,11
C30,24,F,Cafe,switched,4,4.fourth,65
C31,60,F,Cafe,non-switched,2,2.second,42
C32,14,M,House,switched,1,1.first,147
C32,14,M,House,switched,2,2.second,189
C32,14,M,House,non-switched,3,3.third,142
C32,14,M,House,non-switched,4,4.fourth,56
C33,28,M,House,non-switched,1,1.first,174
C33,28,M,House,non-switched,2,2.second,147
C33,28,M,House,switched,4,4.fourth,118
C34,28,M,House,non-switched,1,1.first,21
C34,28,M,House,switched,4,4.fourth,186
