"pseudonym","cowGuess1KG","GuessUnits1","cowGuess2KG","GuessUnits2","cowProx","oculusGuess","bigBenGuess","seenBen","Duration1","Duration2","Duration3","Duration4","Duration5","GangnamRating","peanutGuess","appleGuess","guessConf","StainedGlass","Unicyclist","Foxes","Parakeets","Izzard","Tate","Alabama","BackwardAmerican","LondonExperience","order","DurationLearning","background","SurveyMinutes","population","WrongGuess2"
":D",300,"kilograms",250,"kilograms","3:<2yrs",50,400,"I don't remember",9.04,10.18,9.23,8.71,9.65,"2- It's bearable, but not exactly enjoyable.",200,1500,"2-notVeryConfident","REJECTED","REJECTED","REJECTED","GUESSED","REJECTED","GUESSED","GUESSED","GUESSED","2:freqVisitor","OculusFirst","TrialFeedback","UK",6.2,"ET331",300
"cherry",150,"kilograms",200,"kilograms","4:6mths",40,80,"Yes",8.66,8.94,8.91,10.79,11,"4- I like it, in the right context.",40,25,"3-average","GUESSED","REJECTED","GUESSED","GUESSED","REJECTED","GUESSED","REJECTED","REJECTED","2:freqVisitor","OculusFirst","TrialFeedback","UK",6.2,"ET331",150
"Genavieve",381,"stone",476.3,"stone","3:<2yrs",55,92,"Yes",10.78,9.63,10.18,11.22,10.07,"2- It's bearable, but not exactly enjoyable.",100,600,"2-notVeryConfident","GUESSED","REJECTED","GUESSED","REJECTED","REJECTED","REJECTED","GUESSED","GUESSED","2:freqVisitor","BigBenFirst","NoFeedback","Non-UK",9.8,"ET331",2419.5
"GreenTree",300,"kilograms",450,"kilograms","3:<2yrs",15,50,"Yes",9.49,11.12,10.85,9.73,9.07,"4- I like it, in the right context.",120,250,"2-notVeryConfident","REJECTED","GUESSED","GUESSED","GUESSED","REJECTED","REJECTED","GUESSED","REJECTED","3:rareVisitor","OculusFirst","TrialFeedback","Non-UK",17.3,"ET331",300
"Guy",500,"kilograms",400,"kilograms","4:6mths",20,50,"No",9.61,12.99,9.27,9.72,10.46,"5- IT'S TOTALLY AWESOME.",48,390,"2-notVeryConfident","GUESSED","REJECTED","REJECTED","GUESSED","REJECTED","REJECTED","GUESSED","GUESSED","3:rareVisitor","BigBenFirst","TrialFeedback","UK",8.8,"ET331",500
"Jack",230,"kilograms",250,"kilograms","4:6mths",17,55,"Yes",11.01,10.45,9.7,10.4,10.59,"2- It's bearable, but not exactly enjoyable.",175,1800,"3-average","REJECTED","GUESSED","GUESSED","GUESSED","REJECTED","REJECTED","GUESSED","REJECTED","2:freqVisitor","BigBenFirst","TrialFeedback","UK",11.2,"ET331",230
"John Smith",265,"kilograms",300,"kilograms","2:2+Years",17,80,"Yes",10.53,9.08,9.71,9.69,9.99,"2- It's bearable, but not exactly enjoyable.",67,360,"1-particularlyBad","GUESSED","GUESSED","REJECTED","REJECTED","REJECTED","REJECTED","GUESSED","GUESSED","3:rareVisitor","OculusFirst","TrialFeedback","UK",7.3,"ET331",265
"Krungleflorpler",375,"kilograms",450,"kilograms","4:6mths",12,130,"Yes",9.8,9.41,9.91,9.51,10.23,"4- I like it, in the right context.",80,630,"1-particularlyBad","GUESSED","GUESSED","REJECTED","REJECTED","REJECTED","GUESSED","GUESSED","REJECTED","3:rareVisitor","BigBenFirst","TrialFeedback","UK",17.5,"ET331",375
"Kyle",300,"kilograms",250,"kilograms","3:<2yrs",20,20,"Yes",13.46,11.23,10.98,9.96,9.64,"2- It's bearable, but not exactly enjoyable.",108,700,"1-particularlyBad","GUESSED","REJECTED","REJECTED","GUESSED","GUESSED","GUESSED","REJECTED","REJECTED","2:freqVisitor","BigBenFirst","TrialFeedback","UK",21.4,"ET331",300
"Lulu",200,"kilograms",180,"kilograms","3:<2yrs",15,30,"Yes",13.21,9.64,11.61,12.34,9.84,"2- It's bearable, but not exactly enjoyable.",147,350,"2-notVeryConfident","GUESSED","GUESSED","REJECTED","GUESSED","REJECTED","REJECTED","GUESSED","REJECTED","2:freqVisitor","OculusFirst","TrialFeedback","UK",6,"ET331",200
