"participant","cue","partic.age","partic.gender","trainingTrialsNeeded","testMeanAcc"
"s1000","spatial",24,"Female",50,0.479
"s1001","spatial",25,"Female",84,0.625
"s1002","spatial",54,"Female",74,0.5
"s1003","spatial",27,"Female",94,0.5
"s1005","social",64,"Male",28,0.958
"s1006","spatial",51,"Female",58,0.542
"s1008","spatial",27,"Male",71,0.292
"s1009","social",24,"Female",76,0.875
"s1010","social",30,"Female",54,0.583
"s1011","social",40,"Female",52,0.521
"s1012","spatial",21,"Female",180,0.458
"s1013","spatial",31,"Female",48,0.604
"s1014","spatial",28,"Female",50,0.479
"s1015","social",32,"Female",56,0.646
"s1016","social",29,"Male",50,0.604
"s1017","social",29,"Female",42,0.958
"s1018","spatial",30,"Male",64,0.542
"s1019","spatial",27,"Male",55,0.417
"s1020","spatial",46,"Female",79,0.979
"s1021","social",42,"Male",37,1
"s1022","social",57,"Female",101,0.521
"s1023","social",36,"Male",70,0.521
"s1024","spatial",41,"Female",62,0.542
"s1025","spatial",31,"Female",98,0.396
"s1026","spatial",26,"Male",75,0.333
"s1028","social",20,"Female",84,0.708
"s1029","spatial",23,"Male",72,0.562
"s1030","spatial",24,"Female",65,0.458
"s1031","spatial",51,"Female",69,0.625
"s1032","social",29,"Male",71,0.458
"s1033","social",45,"Male",62,0.333
"s1034","social",21,"Male",46,0.062
"s1035","spatial",28,"Female",84,0.521
"s1037","spatial",46,"Male",135,0.646
"s1040","social",35,"Female",44,0.958
"s1041","social",53,"Male",59,1
"s1042","spatial",42,"Male",28,1
"s1044","social",44,"Female",24,1
"s1045","social",55,"Male",26,1
"s1381","linguistic",51,"Male",28,1
"s1382","linguistic",34,"Female",28,1
"s1384","linguistic",29,"Male",35,0.604
"s1385","linguistic",35,"Male",48,0.625
"s1391","linguistic",27,"Male",72,0.542
"s1397","linguistic",51,"Female",80,0.521
"s1403","linguistic",23,"Male",36,0.583
"s1404","linguistic",23,"Male",46,0.604
"s1410","linguistic",23,"Male",34,0.75
"s1419","linguistic",25,"Male",30,0.771
"s1420","linguistic",55,"Male",26,1
"s1426","linguistic",27,"Female",28,0.958
"s1427","linguistic",38,"Female",32,0.833
"s1431","linguistic",25,"Female",49,0.583
"s1438","linguistic",55,"Female",28,1
"s1439","linguistic",36,"Female",31,1
"s1446","linguistic",20,"Female",64,0.479
"s1452","linguistic",23,"Female",53,0.5
"s1453","linguistic",47,"Male",32,0.833
"s1456","linguistic",29,"Male",45,0.625
"s1457","linguistic",40,"Female",26,1
"s1463","linguistic",36,"Female",32,0.625
"s1464","linguistic",27,"Male",97,0.5
"s1470","linguistic",32,"Male",64,0.396
"s1471","linguistic",23,"Female",24,0.979
"s1477","linguistic",32,"Male",46,0.688
"s1478","linguistic",30,"Female",34,0.667
"s1484","linguistic",36,"Female",26,1
"s1485","linguistic",25,"Female",44,0.729
"s1491","linguistic",40,"Female",28,0.646
"s1497","linguistic",24,"Male",55,0.542
"s1503","linguistic",26,"Female",48,0.646
"s1510","linguistic",31,"Male",55,1
"s1517","linguistic",33,"Male",26,1
"s1518","linguistic",30,"Male",26,0.979
"s1532","linguistic",21,"Male",38,0.479
"s1533","linguistic",37,"Female",32,0.625
"s1539","linguistic",24,"Male",28,0.979
"s1540","linguistic",33,"Male",61,0.875
"s1546","linguistic",25,"Male",101,0.521
"s1547","linguistic",19,"Male",43,0.688
"s1553","linguistic",29,"Female",55,0.5
"s1554","linguistic",27,"Female",35,0.729
