"subject","condition","condition.col","subj.gender","subject.age","trainingTrialsNeeded","testMeanCorrect"
"s1000","nonsocial","blue","Female",27,50,0.479
"s1001","nonsocial","blue","Female",24,84,0.625
"s1002","nonsocial","blue","Female",55,74,0.5
"s1003","nonsocial","blue","Female",26,94,0.5
"s1005","social","red","Male",63,28,0.958
"s1006","nonsocial","blue","Female",54,58,0.542
"s1008","nonsocial","blue","Male",26,71,0.292
"s1009","social","red","Female",21,76,0.875
"s1010","social","red","Female",30,54,0.583
"s1011","social","red","Female",39,52,0.521
"s1012","nonsocial","blue","Female",20,180,0.458
"s1013","nonsocial","blue","Female",32,48,0.604
"s1014","nonsocial","blue","Female",29,50,0.479
"s1015","social","red","Female",31,56,0.646
"s1016","social","red","Male",33,50,0.604
"s1017","social","red","Female",28,42,0.958
"s1018","nonsocial","blue","Male",28,64,0.542
"s1019","nonsocial","blue","Male",25,55,0.417
"s1020","nonsocial","blue","Female",50,79,0.979
"s1021","social","red","Male",38,37,1
"s1022","social","red","Female",58,101,0.521
"s1023","social","red","Male",40,70,0.521
"s1024","nonsocial","blue","Female",38,62,0.542
"s1025","nonsocial","blue","Female",30,98,0.396
"s1026","nonsocial","blue","Male",24,75,0.333
"s1028","social","red","Female",24,84,0.708
"s1029","nonsocial","blue","Male",25,72,0.562
"s1030","nonsocial","blue","Female",24,65,0.458
"s1031","nonsocial","blue","Female",48,69,0.625
"s1032","social","red","Male",29,71,0.458
"s1033","social","red","Male",44,62,0.333
"s1034","social","red","Male",25,46,0.062
"s1035","nonsocial","blue","Female",27,84,0.521
"s1037","nonsocial","blue","Male",42,135,0.646
"s1040","social","red","Female",34,44,0.958
"s1041","social","red","Male",52,59,1
"s1042","nonsocial","blue","Male",38,28,1
"s1044","social","red","Female",46,24,1
"s1045","social","red","Male",55,26,1
"s940","social","red","Male",32,80,0.521
"s941","social","red","Male",30,35,1
"s942","social","red","Male",39,66,0.542
"s943","social","red","Male",27,74,0.542
"s944","social","red","Male",34,105,0.438
"s945","social","red","Male",26,60,0.417
"s946","nonsocial","blue","Male",41,73,0.458
"s947","nonsocial","blue","Female",42,72,0.604
"s949","social","red","Female",30,50,1
"s950","social","red","Female",44,59,0.479
"s951","social","red","Male",26,36,0.938
"s952","social","red","Male",23,59,0.396
"s953","social","red","Male",33,32,1
"s954","social","red","Male",33,67,0.562
"s955","social","red","Male",22,79,0.562
"s956","social","red","Female",28,51,0.979
"s957","nonsocial","blue","Male",29,68,0.542
"s958","nonsocial","blue","Female",28,84,0.562
"s959","nonsocial","blue","Female",30,72,0.562
"s960","social","red","Female",23,39,1
"s961","social","red","Female",29,69,1
"s962","social","red","Male",32,74,0.562
"s963","nonsocial","blue","Male",26,76,0.562
"s964","nonsocial","blue","Male",28,44,0.5
"s965","nonsocial","blue","Female",26,70,0.542
"s966","social","red","Male",32,29,1
"s967","social","red","Female",39,63,0.438
"s968","social","red","Male",28,44,0.917
"s969","nonsocial","blue","Male",28,53,0.458
"s970","nonsocial","blue","Female",25,44,0.479
"s971","nonsocial","blue","Female",35,116,0.5
"s972","social","red","Female",40,31,0.938
"s973","social","red","Male",30,122,0.333
"s974","social","red","Male",42,32,1
"s976","social","red","Female",27,78,0.417
"s977","social","red","Male",24,80,0.354
"s978","social","red","Female",35,74,0.938
"s979","social","red","Male",38,55,0.5
"s980","nonsocial","blue","Male",25,56,0.562
"s981","nonsocial","blue","Female",20,55,0.479
"s982","nonsocial","blue","Male",44,116,0.979
"s983","social","red","Male",40,27,0.979
"s984","social","red","Female",36,92,0.521
"s985","nonsocial","blue","Male",40,98,0.479
"s987","nonsocial","blue","Male",30,93,0.542
"s988","social","red","Female",32,41,0.979
"s989","social","red","Male",42,94,0.521
"s990","nonsocial","blue","Male",29,42,0.521
"s991","nonsocial","blue","Male",65,84,0.979
"s992","nonsocial","blue","Female",25,85,0.479
"s993","social","red","Female",41,56,1
"s995","social","red","Female",26,61,0.417
"s996","social","red","Female",35,54,0.479
"s997","nonsocial","blue","Female",22,52,0.438
"s998","nonsocial","blue","Female",29,50,0.479
"s999","nonsocial","blue","Male",35,86,0.458
