"subject","peerCondition","alignedVoc","item","preWord","peerWord","peerWordProb","postWord","gender","age","agree","open","conscient","extraver","stabil"
"p10085","human",TRUE,"soldier","OTHER","soldier",0.328,"soldier","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"dirt","OTHER","gravel",0.052,"gravel","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"knife","knife","dagger",0.074,"dagger","female",45,4,4.5,5,4,5
"p10085","human",FALSE,"boot","boot","shoe",0.086,"boot","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"artist","OTHER","painter",0.31,"painter","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"microbes","bugs","microorganisms",0.052,"microorganisms","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"wedge","cement","pizza slice",0.017,"pizza slice","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"city","buildings","town",0,"town","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"socket","OTHER","socket",0.091,"socket","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"people","people","crowd",0.291,"crowd","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"road","road","avenue",0,"avenue","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"rabbit","rabbit","bunny",0.14,"bunny","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"cattle","cows","cattle",0.138,"cattle","female",45,4,4.5,5,4,5
"p10085","human",FALSE,"baby","baby","sprog",0,"baby","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"touchpad","ipad","tablet",0.569,"tablet","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"thief","robber","thief",0.121,"thief","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"alligator","alligator","crocodile",0.709,"crocodile","female",45,4,4.5,5,4,5
"p10085","human",FALSE,"recycling","rubbish bin","recycling bin",0.055,"OTHER","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"cook","cook","chef",0.564,"chef","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"factory","factory","pollution",0.017,"pollution","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"dog","dog","wolf",0,"wolf","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"drugs","pills","medicine",0.207,"medicine","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"laptop","computer","laptop",0.667,"laptop","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"USB","memory stick","usb stick",0.418,"usb stick","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"sphere","OTHER","sphere",0.328,"sphere","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"ship","boat","ship",0.448,"ship","female",45,4,4.5,5,4,5
"p10085","human",TRUE,"marijuana","marijuana","leaf",0.404,"leaf","female",45,4,4.5,5,4,5
"p104915","human",TRUE,"wedge","OTHER","concrete",0.017,"concrete","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"knife","knife","dagger",0.074,"dagger","male",40,4.5,6,6,3.5,3.5
"p104915","human",FALSE,"recycling","rubbish bin","recycling bin",0.055,"rubbish bin","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"snake","snake","serpent",0.055,"serpent","male",40,4.5,6,6,3.5,3.5
"p104915","human",FALSE,"rabbit","rabbit","bunny",0.14,"rabbit","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"cup","tea cup","cup",0.379,"cup","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"priest","OTHER","priest",0.491,"priest","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"socket","OTHER","socket",0.091,"socket","male",40,4.5,6,6,3.5,3.5
"p104915","human",FALSE,"ship","ship","boat",0.517,"ship","male",40,4.5,6,6,3.5,3.5
"p104915","human",TRUE,"couch","couch","sofa",0.2,"sofa","male",40,4.5,6,6,3.5,3.5
"p104915","human",FALSE,"USB","usb drive","memory stick",0.055,"flash drive","male",40,4.5,6,6,3.5,3.5
