"subject","gender","age","avatar","avatarIsCat"
"D1451","Male",18,"cat",TRUE
"E1845","Female",19,"cat",TRUE
"D1249","Male",19,"cat",TRUE
"C1024","Female",20,"cat",TRUE
"D1182","Female",20,"cat",TRUE
"D1185","Female",20,"cat",TRUE
"D1307","Female",20,"cat",TRUE
"E1751","Female",20,"cat",TRUE
"A200","Male",20,"cat",TRUE
"B683","Male",20,"cat",TRUE
"B711","Male",20,"cat",TRUE
"B378","Female",21,"cat",TRUE
"B468","Female",21,"cat",TRUE
"B522","Female",21,"cat",TRUE
"B739","Female",21,"cat",TRUE
"D1297","Female",21,"cat",TRUE
"E1559","Female",21,"cat",TRUE
"A321","Male",21,"cat",TRUE
"B621","Male",21,"cat",TRUE
"E1779","Male",21,"cat",TRUE
"A328","Female",22,"cat",TRUE
"B628","Female",22,"cat",TRUE
"D1159","Female",22,"cat",TRUE
"D1385","Female",22,"cat",TRUE
"E1701","Female",22,"cat",TRUE
"A158","Male",22,"cat",TRUE
"C1074","Male",22,"cat",TRUE
"C816","Male",22,"cat",TRUE
"D1250","Male",22,"cat",TRUE
"D1314","Male",22,"cat",TRUE
"E1542","Male",22,"cat",TRUE
"A196","Female",23,"cat",TRUE
"A317","Female",23,"cat",TRUE
"B695","Female",23,"cat",TRUE
"B732","Female",23,"cat",TRUE
"C759","Female",23,"cat",TRUE
"C849","Female",23,"cat",TRUE
"D1323","Female",23,"cat",TRUE
"D1406","Female",23,"cat",TRUE
"D1425","Female",23,"cat",TRUE
"E1529","Female",23,"cat",TRUE
"E1620","Female",23,"cat",TRUE
"E1718","Female",23,"cat",TRUE
"E1823","Female",23,"cat",TRUE
"A165","Male",23,"cat",TRUE
"A252","Male",23,"cat",TRUE
"A54","Male",23,"cat",TRUE
"B521","Male",23,"cat",TRUE
"D1156","Male",23,"cat",TRUE
"D1373","Male",23,"cat",TRUE
"E1755","Male",23,"cat",TRUE
"E1834","Male",23,"cat",TRUE
"A207","Female",24,"cat",TRUE
"A351","Female",24,"cat",TRUE
"B381","Female",24,"cat",TRUE
"B388","Female",24,"cat",TRUE
"B410","Female",24,"cat",TRUE
"B480","Female",24,"cat",TRUE
"B686","Female",24,"cat",TRUE
"C1054","Female",24,"cat",TRUE
"C1094","Female",24,"cat",TRUE
"C806","Female",24,"cat",TRUE
"C818","Female",24,"cat",TRUE
"C872","Female",24,"cat",TRUE
"D1370","Female",24,"cat",TRUE
"E1738","Female",24,"cat",TRUE
