"subject","trialNumber","condition","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1381",1,"linguistic",TRUE,"falpak","male_side","pitcher_large","fal","pitcher_dimin","falpek","falpak","falpak","Male",47,"training"
"s1381",2,"linguistic",FALSE,"wenpek","female","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpak","Male",47,"training"
"s1381",3,"linguistic",TRUE,"falpak","male_side","pitcher_large","fal","pitcher_dimin","falpek","falpak","falpak","Male",47,"training"
"s1381",4,"linguistic",TRUE,"wenpek","female","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",5,"linguistic",FALSE,"wenpek","male_side","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpak","Male",47,"training"
"s1381",6,"linguistic",TRUE,"wenpek","female","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",7,"linguistic",TRUE,"wenpek","male_side","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",8,"linguistic",TRUE,"wenpek","male","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",9,"linguistic",TRUE,"wenpek","male","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",10,"linguistic",TRUE,"fanpak","female","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",47,"training"
"s1381",11,"linguistic",TRUE,"tekpek","male_side","chair_large","tek","chair_dimin","tekpek","tekpak","tekpek","Male",47,"training"
"s1381",12,"linguistic",TRUE,"fanpak","male","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",47,"training"
"s1381",13,"linguistic",TRUE,"wenpek","male_side","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",14,"linguistic",TRUE,"tekpek","female","chair_large","tek","chair_dimin","tekpek","tekpak","tekpek","Male",47,"training"
"s1381",15,"linguistic",TRUE,"wenpek","female_side","fox_large_male","wen","fox_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",16,"linguistic",TRUE,"tekpek","male","chair_large","tek","chair_dimin","tekpek","tekpak","tekpek","Male",47,"training"
"s1381",17,"linguistic",TRUE,"ranpak","male_side","candleholder_large","ran","candleholder_dimin","ranpek","ranpak","ranpak","Male",47,"training"
"s1381",18,"linguistic",TRUE,"wenpek","female","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",19,"linguistic",TRUE,"tekpek","female_side","chair_large","tek","chair_dimin","tekpek","tekpak","tekpek","Male",47,"training"
"s1381",20,"linguistic",TRUE,"wenpek","female_side","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Male",47,"training"
"s1381",21,"linguistic",TRUE,"fanpak","male_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",47,"training"
"s1381",22,"linguistic",TRUE,"fanpak","female_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",47,"training"
"s1381",23,"linguistic",TRUE,"ranpak","female","candleholder_large","ran","candleholder_dimin","ranpek","ranpak","ranpak","Male",47,"training"
"s1381",24,"linguistic",TRUE,"ranpak","male","candleholder_large","ran","candleholder_dimin","ranpek","ranpak","ranpak","Male",47,"training"
"s1381",25,"linguistic",TRUE,"falpak","female_side","pitcher_large","fal","pitcher_dimin","falpek","falpak","falpak","Male",47,"training"
"s1381",26,"linguistic",TRUE,"falpak","male","pitcher_large","fal","pitcher_dimin","falpek","falpak","falpak","Male",47,"training"
"s1381",27,"linguistic",TRUE,"falpak","female","pitcher_large","fal","pitcher_dimin","falpek","falpak","falpak","Male",47,"training"
"s1381",28,"linguistic",TRUE,"ranpak","female_side","candleholder_large","ran","candleholder_dimin","ranpek","ranpak","ranpak","Male",47,"training"
"s1382",1,"linguistic",FALSE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpek","Female",33,"training"
"s1382",2,"linguistic",FALSE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpek","Female",33,"training"
"s1382",3,"linguistic",TRUE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Female",33,"training"
"s1382",4,"linguistic",FALSE,"fekpek","female","fox_large_male","fek","fox_dimin","fekpek","fekpak","fekpak","Female",33,"training"
"s1382",5,"linguistic",TRUE,"rakpak","female_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Female",33,"training"
"s1382",6,"linguistic",TRUE,"fekpek","female","fox_large_male","fek","fox_dimin","fekpek","fekpak","fekpek","Female",33,"training"
"s1382",7,"linguistic",TRUE,"pelpek","male","chair_large","pel","chair_dimin","pelpek","pelpak","pelpek","Female",33,"training"
"s1382",8,"linguistic",TRUE,"wekpek","female_side","pitcher_large","wek","pitcher_dimin","wekpek","wekpak","wekpek","Female",33,"training"
"s1382",9,"linguistic",TRUE,"wenpek","female_side","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Female",33,"training"
