"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1000",1,"nonsocial",FALSE,TRUE,"fektas","male","chair_large","fek","chair_dimin","fektas","fektol","fektol","Female",27,"test"
"s1000",2,"nonsocial",TRUE,FALSE,"peltas","female","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female",27,"test"
"s1000",3,"nonsocial",TRUE,FALSE,"wuktol","female_side","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female",27,"test"
"s1000",4,"nonsocial",FALSE,FALSE,"tostol","male_side","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female",27,"test"
"s1000",5,"nonsocial",FALSE,TRUE,"riktas","female","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female",27,"test"
"s1000",6,"nonsocial",TRUE,TRUE,"faltol","male_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female",27,"test"
"s1000",7,"nonsocial",FALSE,TRUE,"faltas","female","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female",27,"test"
"s1000",8,"nonsocial",TRUE,TRUE,"wantas","male","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female",27,"test"
"s1000",9,"nonsocial",TRUE,TRUE,"wantas","female","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female",27,"test"
"s1000",10,"nonsocial",TRUE,FALSE,"peltas","male","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female",27,"test"
"s1000",11,"nonsocial",FALSE,FALSE,"tostol","female_side","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female",27,"test"
"s1000",12,"nonsocial",TRUE,TRUE,"wuntas","male","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female",27,"test"
"s1000",13,"nonsocial",TRUE,TRUE,"riktol","female_side","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female",27,"test"
"s1000",14,"nonsocial",TRUE,FALSE,"tostas","male","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female",27,"test"
"s1000",15,"nonsocial",FALSE,TRUE,"wuntol","female_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female",27,"test"
"s1000",16,"nonsocial",FALSE,FALSE,"riltas","male","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female",27,"test"
"s1000",17,"nonsocial",FALSE,TRUE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female",27,"test"
"s1000",18,"nonsocial",FALSE,FALSE,"fentol","female_side","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female",27,"test"
"s1000",19,"nonsocial",TRUE,TRUE,"rultas","female","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female",27,"test"
"s1000",20,"nonsocial",TRUE,FALSE,"riltol","female_side","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female",27,"test"
"s1000",21,"nonsocial",FALSE,FALSE,"fistas","male","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female",27,"test"
"s1000",22,"nonsocial",TRUE,FALSE,"fistol","female_side","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female",27,"test"
"s1000",23,"nonsocial",TRUE,FALSE,"riltol","male_side","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female",27,"test"
