"weightGuess"	"population"
250	"ET215"
375	"ET215"
520	"ET215"
690	"ET215"
90	"ET215"
150	"ET215"
300	"ET215"
550	"ET215"
340	"ET215"
400	"ET215"
285	"ET215"
270	"ET215"
340	"ET215"
200	"ET215"
100	"ET215"
320	"ET215"
250	"ET215"
650	"ET215"
550	"ET215"
700	"ET215"
235	"ET215"
500	"ET215"
200	"ET215"
700	"ET215"
362.976	"NPR"
453.721	"NPR"
594.374	"NPR"
373.412	"NPR"
703.721	"NPR"
441.47	"NPR"
567.151	"NPR"
231.397	"NPR"
748.639	"NPR"
952.813	"NPR"
651.543	"NPR"
902.45	"NPR"
557.169	"NPR"
560.345	"NPR"
573.503	"NPR"
528.584	"NPR"
374.319	"NPR"
291.742	"NPR"
353.902	"NPR"
862.069	"NPR"
544.918	"NPR"
598.911	"NPR"
453.721	"NPR"
184.211	"NPR"
