"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1381","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","pitcher_large","fal","falpak","pitcher_dimin","falpek","falpak",1967,47,1
"s1381","linguistic",FALSE,"wenpek","exp1","Male","female",TRUE,"training","fox_large_male","wen","wenpak","fox_dimin","wenpek","wenpak",1967,47,2
"s1381","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","pitcher_large","fal","falpak","pitcher_dimin","falpek","falpak",1967,47,3
"s1381","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","fox_large_male","wen","wenpek","fox_dimin","wenpek","wenpak",1967,47,4
"s1381","linguistic",FALSE,"wenpek","exp1","Male","male_side",TRUE,"training","bokchoy_large","wen","wenpak","bokchoy_dimin","wenpek","wenpak",1967,47,5
"s1381","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","fox_large_male","wen","wenpek","fox_dimin","wenpek","wenpak",1967,47,6
"s1381","linguistic",TRUE,"wenpek","exp1","Male","male_side",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1967,47,7
"s1381","linguistic",TRUE,"wenpek","exp1","Male","male",TRUE,"training","fox_large_male","wen","wenpek","fox_dimin","wenpek","wenpak",1967,47,8
"s1381","linguistic",TRUE,"wenpek","exp1","Male","male",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1967,47,9
"s1381","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1967,47,10
"s1381","linguistic",TRUE,"tekpek","exp1","Male","male_side",TRUE,"training","chair_large","tek","tekpek","chair_dimin","tekpek","tekpak",1967,47,11
"s1381","linguistic",TRUE,"fanpak","exp1","Male","male",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1967,47,12
"s1381","linguistic",TRUE,"wenpek","exp1","Male","male_side",TRUE,"training","fox_large_male","wen","wenpek","fox_dimin","wenpek","wenpak",1967,47,13
"s1381","linguistic",TRUE,"tekpek","exp1","Male","female",TRUE,"training","chair_large","tek","tekpek","chair_dimin","tekpek","tekpak",1967,47,14
"s1381","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","fox_large_male","wen","wenpek","fox_dimin","wenpek","wenpak",1967,47,15
"s1381","linguistic",TRUE,"tekpek","exp1","Male","male",TRUE,"training","chair_large","tek","tekpek","chair_dimin","tekpek","tekpak",1967,47,16
"s1381","linguistic",TRUE,"ranpak","exp1","Male","male_side",TRUE,"training","candleholder_large","ran","ranpak","candleholder_dimin","ranpek","ranpak",1967,47,17
"s1381","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1967,47,18
"s1381","linguistic",TRUE,"tekpek","exp1","Male","female_side",TRUE,"training","chair_large","tek","tekpek","chair_dimin","tekpek","tekpak",1967,47,19
"s1381","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1967,47,20
"s1381","linguistic",TRUE,"fanpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1967,47,21
"s1381","linguistic",TRUE,"fanpak","exp1","Male","female_side",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1967,47,22
"s1381","linguistic",TRUE,"ranpak","exp1","Male","female",TRUE,"training","candleholder_large","ran","ranpak","candleholder_dimin","ranpek","ranpak",1967,47,23
"s1381","linguistic",TRUE,"ranpak","exp1","Male","male",TRUE,"training","candleholder_large","ran","ranpak","candleholder_dimin","ranpek","ranpak",1967,47,24
"s1381","linguistic",TRUE,"falpak","exp1","Male","female_side",TRUE,"training","pitcher_large","fal","falpak","pitcher_dimin","falpek","falpak",1967,47,25
"s1381","linguistic",TRUE,"falpak","exp1","Male","male",TRUE,"training","pitcher_large","fal","falpak","pitcher_dimin","falpek","falpak",1967,47,26
"s1381","linguistic",TRUE,"falpak","exp1","Male","female",TRUE,"training","pitcher_large","fal","falpak","pitcher_dimin","falpek","falpak",1967,47,27
"s1381","linguistic",TRUE,"ranpak","exp1","Male","female_side",TRUE,"training","candleholder_large","ran","ranpak","candleholder_dimin","ranpek","ranpak",1967,47,28
"s1382","linguistic",FALSE,"rakpak","exp1","Female","female_side",TRUE,"training","chair_large","rak","rakpek","chair_dimin","rakpek","rakpak",1981,33,1
"s1382","linguistic",FALSE,"rakpak","exp1","Female","female_side",TRUE,"training","chair_large","rak","rakpek","chair_dimin","rakpek","rakpak",1981,33,2
"s1382","linguistic",TRUE,"rakpak","exp1","Female","female_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1981,33,3
"s1382","linguistic",FALSE,"fekpek","exp1","Female","female",TRUE,"training","fox_large_male","fek","fekpak","fox_dimin","fekpek","fekpak",1981,33,4
"s1382","linguistic",TRUE,"rakpak","exp1","Female","female_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1981,33,5
"s1382","linguistic",TRUE,"fekpek","exp1","Female","female",TRUE,"training","fox_large_male","fek","fekpek","fox_dimin","fekpek","fekpak",1981,33,6
"s1382","linguistic",TRUE,"pelpek","exp1","Female","male",TRUE,"training","chair_large","pel","pelpek","chair_dimin","pelpek","pelpak",1981,33,7
"s1382","linguistic",TRUE,"wekpek","exp1","Female","female_side",TRUE,"training","pitcher_large","wek","wekpek","pitcher_dimin","wekpek","wekpak",1981,33,8
"s1382","linguistic",TRUE,"wenpek","exp1","Female","female_side",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1981,33,9
"s1382","linguistic",TRUE,"wekpek","exp1","Female","male",TRUE,"training","pitcher_large","wek","wekpek","pitcher_dimin","wekpek","wekpak",1981,33,10
