"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1958	"pretest"	"strimmed"	"stram"	"sang"	"sensible"	0.654	"no.change"	0.619	"strimmed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"swurned"	"swurnt"	"burnt"	"sensible"	0.654	"no.change"	0.723	"swurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"skeened"	"skent"	"kept"	"sensible"	0.654	"no.change"	0.688	"skeened"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"kleemed"	"klemt"	"kept"	"sensible"	0.654	"no.change"	0.653	"kleemed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"breeped"	"brept"	"kept"	"sensible"	0.654	"no.change"	0.55	"breeped"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"ninked"	"nank"	"sang"	"sensible"	0.654	"no.change"	0.647	"ninked"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"squited"	"squote"	"drove"	"sensible"	0.654	"no.change"	0.505	"squote"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"brived"	"brove"	"drove"	"sensible"	0.654	"no.change"	0.391	"brove"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"vurned"	"vurnt"	"burnt"	"sensible"	0.654	"no.change"	0.668	"vurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"slurned"	"slurnt"	"burnt"	"sensible"	0.654	"no.change"	0.698	"slurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"glilled"	"glilt"	"burnt"	"sensible"	0.654	"no.change"	0.673	"glilled"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"vrilled"	"vrilt"	"burnt"	"sensible"	0.654	"no.change"	0.772	"vrilled"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"gurned"	"gurnt"	"burnt"	"sensible"	0.654	"no.change"	0.708	"gurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"theeled"	"thelt"	"kept"	"sensible"	0.654	"no.change"	0.495	"thelt"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"thrimmed"	"thram"	"sang"	"sensible"	0.654	"no.change"	0.683	"thrimmed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"spinged"	"spang"	"sang"	"sensible"	0.654	"no.change"	0.401	"spinged"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"blurned"	"blurnt"	"burnt"	"sensible"	0.654	"no.change"	0.639	"blurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"sninked"	"snank"	"sang"	"sensible"	0.654	"no.change"	0.421	"snank"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"pringed"	"prang"	"sang"	"sensible"	0.654	"no.change"	0.465	"pringed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"jurned"	"jurnt"	"burnt"	"sensible"	0.654	"no.change"	0.718	"jurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"jeemed"	"jemt"	"kept"	"sensible"	0.654	"no.change"	0.723	"jeemed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"squeeped"	"squept"	"kept"	"sensible"	0.654	"no.change"	0.52	"squeeped"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"pleeled"	"plelt"	"kept"	"sensible"	0.654	"no.change"	0.574	"pleeled"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"klilled"	"klilt"	"burnt"	"sensible"	0.654	"no.change"	0.693	"klilt"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"zited"	"zote"	"drove"	"sensible"	0.654	"no.change"	0.54	"zited"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"skinged"	"skang"	"sang"	"sensible"	0.654	"no.change"	0.52	"skang"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"glinked"	"glank"	"sang"	"sensible"	0.654	"no.change"	0.609	"glinked"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"strited"	"strote"	"drove"	"sensible"	0.654	"no.change"	0.426	"strote"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"shreeped"	"shrept"	"kept"	"sensible"	0.654	"no.change"	0.46	"shrept"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"schmined"	"schmone"	"drove"	"sensible"	0.654	"no.change"	0.703	"schmined"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"skrilled"	"skrilt"	"burnt"	"sensible"	0.654	"no.change"	0.733	"skrilt"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"brurned"	"brurnt"	"burnt"	"sensible"	0.654	"no.change"	0.554	"brurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"trinked"	"trank"	"sang"	"sensible"	0.654	"no.change"	0.49	"trinked"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"klited"	"klote"	"drove"	"sensible"	0.654	"no.change"	0.554	"klited"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"kreened"	"krent"	"kept"	"sensible"	0.654	"no.change"	0.683	"kreened"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"slined"	"slone"	"drove"	"sensible"	0.654	"no.change"	0.614	"slined"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"theeped"	"thept"	"kept"	"sensible"	0.654	"no.change"	0.416	"thept"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"sneemed"	"snemt"	"kept"	"sensible"	0.654	"no.change"	0.713	"snemt"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"threlled"	"threlt"	"burnt"	"sensible"	0.654	"no.change"	0.653	"threlt"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"pited"	"pote"	"drove"	"sensible"	0.654	"no.change"	0.629	"pited"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"shinged"	"shang"	"sang"	"sensible"	0.654	"no.change"	0.45	"shang"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"squeened"	"squent"	"kept"	"sensible"	0.654	"no.change"	0.629	"squeened"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"splided"	"splode"	"drove"	"sensible"	0.654	"no.change"	0.475	"splode"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"twited"	"twote"	"drove"	"sensible"	0.654	"no.change"	0.446	"twote"	FALSE	"s6023"	56
