participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6023,Female,1958,pretest,strimmed,stram,sang,match.baseline,0.654,no.change,0.619,strimmed,TRUE,0.653846154,57
s6023,Female,1958,pretest,swurned,swurnt,burnt,match.baseline,0.654,no.change,0.723,swurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,skeened,skent,kept,match.baseline,0.654,no.change,0.688,skeened,TRUE,0.653846154,57
s6023,Female,1958,pretest,kleemed,klemt,kept,match.baseline,0.654,no.change,0.653,kleemed,TRUE,0.653846154,57
s6023,Female,1958,pretest,breeped,brept,kept,match.baseline,0.654,no.change,0.55,breeped,TRUE,0.653846154,57
s6023,Female,1958,pretest,ninked,nank,sang,match.baseline,0.654,no.change,0.647,ninked,TRUE,0.653846154,57
s6023,Female,1958,pretest,squited,squote,drove,match.baseline,0.654,no.change,0.505,squote,FALSE,0.653846154,57
s6023,Female,1958,pretest,brived,brove,drove,match.baseline,0.654,no.change,0.391,brove,FALSE,0.653846154,57
s6023,Female,1958,pretest,vurned,vurnt,burnt,match.baseline,0.654,no.change,0.668,vurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,slurned,slurnt,burnt,match.baseline,0.654,no.change,0.698,slurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,glilled,glilt,burnt,match.baseline,0.654,no.change,0.673,glilled,TRUE,0.653846154,57
s6023,Female,1958,pretest,vrilled,vrilt,burnt,match.baseline,0.654,no.change,0.772,vrilled,TRUE,0.653846154,57
s6023,Female,1958,pretest,gurned,gurnt,burnt,match.baseline,0.654,no.change,0.708,gurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,theeled,thelt,kept,match.baseline,0.654,no.change,0.495,thelt,FALSE,0.653846154,57
s6023,Female,1958,pretest,thrimmed,thram,sang,match.baseline,0.654,no.change,0.683,thrimmed,TRUE,0.653846154,57
s6023,Female,1958,pretest,spinged,spang,sang,match.baseline,0.654,no.change,0.401,spinged,TRUE,0.653846154,57
s6023,Female,1958,pretest,blurned,blurnt,burnt,match.baseline,0.654,no.change,0.639,blurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,sninked,snank,sang,match.baseline,0.654,no.change,0.421,snank,FALSE,0.653846154,57
s6023,Female,1958,pretest,pringed,prang,sang,match.baseline,0.654,no.change,0.465,pringed,TRUE,0.653846154,57
s6023,Female,1958,pretest,jurned,jurnt,burnt,match.baseline,0.654,no.change,0.718,jurned,TRUE,0.653846154,57
s6023,Female,1958,pretest,jeemed,jemt,kept,match.baseline,0.654,no.change,0.723,jeemed,TRUE,0.653846154,57
s6023,Female,1958,pretest,squeeped,squept,kept,match.baseline,0.654,no.change,0.52,squeeped,TRUE,0.653846154,57
s6023,Female,1958,pretest,pleeled,plelt,kept,match.baseline,0.654,no.change,0.574,pleeled,TRUE,0.653846154,57
s6023,Female,1958,pretest,klilled,klilt,burnt,match.baseline,0.654,no.change,0.693,klilt,FALSE,0.653846154,57
s6023,Female,1958,pretest,zited,zote,drove,match.baseline,0.654,no.change,0.54,zited,TRUE,0.653846154,57
s6023,Female,1958,pretest,skinged,skang,sang,match.baseline,0.654,no.change,0.52,skang,FALSE,0.653846154,57
s6023,Female,1958,pretest,glinked,glank,sang,match.baseline,0.654,no.change,0.609,glinked,TRUE,0.653846154,57
s6023,Female,1958,pretest,strited,strote,drove,match.baseline,0.654,no.change,0.426,strote,FALSE,0.653846154,57
s6023,Female,1958,pretest,shreeped,shrept,kept,match.baseline,0.654,no.change,0.46,shrept,FALSE,0.653846154,57
