"portionsEaten","group","foodCondition","participant"
2,"HOBBIT","cooked","Hobbit84"
5,"HOBBIT","cooked","Hobbit62"
6,"VILLAIN","raw","Villain78"
4,"VILLAIN","raw","Villain8"
0,"VILLAIN","cooked","Villain86"
3,"VILLAIN","raw","Villain46"
2,"VILLAIN","cooked","Villain84"
2,"VILLAIN","cooked","Villain7"
1,"HOBBIT","raw","Hobbit9"
6,"VILLAIN","raw","Villain38"
1,"HOBBIT","raw","Hobbit5"
1,"HOBBIT","raw","Hobbit74"
4,"VILLAIN","raw","Villain69"
0,"HOBBIT","raw","Hobbit7"
0,"VILLAIN","cooked","Villain59"
1,"HOBBIT","raw","Hobbit32"
2,"VILLAIN","cooked","Villain27"
5,"VILLAIN","raw","Villain88"
5,"VILLAIN","raw","Villain80"
7,"HOBBIT","cooked","Hobbit73"
3,"HOBBIT","cooked","Hobbit19"
1,"VILLAIN","cooked","Villain26"
5,"HOBBIT","cooked","Hobbit64"
2,"VILLAIN","cooked","Ugluk"
5,"HOBBIT","cooked","Hobbit40"
5,"VILLAIN","raw","Villain65"
3,"HOBBIT","raw","Hobbit86"
0,"VILLAIN","cooked","Villain3"
1,"VILLAIN","cooked","Villain55"
4,"HOBBIT","raw","Hobbit23"
10,"HOBBIT","cooked","Hobbit60"
5,"HOBBIT","cooked","Hobbit57"
0,"VILLAIN","cooked","Villain1"
3,"VILLAIN","cooked","Villain21"
1,"HOBBIT","raw","Pippin"
6,"VILLAIN","raw","Villain14"
3,"HOBBIT","raw","Hobbit36"
1,"HOBBIT","raw","Hobbit17"
7,"HOBBIT","cooked","Hobbit52"
5,"HOBBIT","cooked","Hobbit37"
0,"HOBBIT","raw","Hobbit31"
1,"HOBBIT","cooked","Hobbit44"
0,"HOBBIT","raw","Hobbit61"
7,"VILLAIN","raw","Villain9"
4,"HOBBIT","cooked","Hobbit35"
6,"VILLAIN","raw","Villain10"
5,"VILLAIN","raw","Villain25"
5,"VILLAIN","raw","Villain39"
7,"VILLAIN","raw","Villain28"
0,"VILLAIN","cooked","Villain24"
5,"HOBBIT","cooked","Hobbit39"
2,"VILLAIN","cooked","Villain42"
2,"HOBBIT","cooked","Hobbit70"
0,"VILLAIN","cooked","Villain81"
1,"HOBBIT","raw","Hobbit82"
1,"VILLAIN","cooked","Villain30"
4,"VILLAIN","raw","Villain74"
0,"VILLAIN","cooked","Villain57"
0,"HOBBIT","raw","Hobbit65"
0,"VILLAIN","cooked","Villain5"
2,"HOBBIT","raw","Hobbit2"
2,"VILLAIN","raw","Villain20"
6,"VILLAIN","raw","Villain66"
4,"HOBBIT","cooked","Lotho"
2,"VILLAIN","cooked","Villain60"
1,"VILLAIN","raw","Villain79"
4,"VILLAIN","cooked","Villain58"
5,"VILLAIN","raw","Villain33"
7,"HOBBIT","cooked","Hobbit34"
1,"HOBBIT","raw","Hobbit80"
2,"VILLAIN","cooked","Azog"
3,"HOBBIT","raw","Hobbit24"
0,"VILLAIN","cooked","Villain77"
2,"HOBBIT","raw","Hobbit18"
3,"HOBBIT","cooked","Hobbit53"
6,"HOBBIT","cooked","Hobbit77"
2,"VILLAIN","raw","Villain72"
1,"VILLAIN","cooked","Villain89"
0,"HOBBIT","raw","Hobbit41"
2,"HOBBIT","raw","Hobbit27"
4,"HOBBIT","cooked","Hobbit89"
4,"HOBBIT","raw","Hobbit58"
9,"HOBBIT","cooked","Hobbit63"
2,"HOBBIT","raw","Hobbit56"
4,"HOBBIT","cooked","Hobbit66"
1,"VILLAIN","raw","Shelob"
6,"HOBBIT","cooked","Hobbit14"
5,"VILLAIN","raw","Villain4"
2,"VILLAIN","cooked","Villain75"
1,"VILLAIN","cooked","Villain2"
6,"VILLAIN","raw","Villain85"
2,"HOBBIT","raw","Hobbit33"
1,"VILLAIN","cooked","Bolg"
1,"VILLAIN","cooked","Villain71"
5,"VILLAIN","raw","Villain17"
6,"HOBBIT","cooked","Hobbit30"
3,"VILLAIN","raw","Villain61"
0,"VILLAIN","cooked","Villain22"
5,"HOBBIT","cooked","Hobbit1"
2,"VILLAIN","raw","Villain13"
2,"VILLAIN","cooked","Villain92"
0,"HOBBIT","raw","Hobbit88"
2,"HOBBIT","raw","Hobbit49"
2,"HOBBIT","raw","Hobbit4"
2,"VILLAIN","cooked","Villain63"
1,"VILLAIN","cooked","Villain50"
6,"VILLAIN","raw","Villain53"
0,"VILLAIN","cooked","Villain76"
