"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p1","human","low","NONCE","postTest","Female",38,4,4,0.461538461538462,"PSEUDO"
"p100","human","low","NONCE","postTest","Male",30,4,4,0.230769230769231,"PSEUDO"
"p101","human","high","NONCE","postTest","Female",33,4,5,0.673076923076923,"PSEUDO"
"p102","human","high","NONCE","postTest","Male",27,4,3,0.5,"PSEUDO"
"p103","human","high","NONCE","postTest","Female",45,4,5,0.5,"PSEUDO"
"p104","human","high","NONCE","postTest","Female",48,4,4,0.442307692307692,"PSEUDO"
"p105","human","low","NONCE","postTest","Male",20,4,4,0.5,"PSEUDO"
"p106","human","low","NONCE","postTest","Female",69,4,3,0.480769230769231,"PSEUDO"
"p107","human","low","NONCE","postTest","Female",29,4,3,0.288461538461538,"PSEUDO"
"p108","human","high","NONCE","postTest","Female",39,5,4,0.576923076923077,"PSEUDO"
"p109","human","low","NONCE","postTest","Female",31,2,4,0.269230769230769,"PSEUDO"
"p11","human","low","NONCE","postTest","Male",24,4,4,0.769230769230769,"PSEUDO"
"p110","human","high","NONCE","postTest","Female",36,3,5,0.75,"PSEUDO"
"p111","human","high","NONCE","postTest","Male",39,3,3,0.423076923076923,"PSEUDO"
"p112","human","high","NONCE","postTest","Male",35,2,5,0.769230769230769,"PSEUDO"
"p113","human","high","NONCE","postTest","Male",24,4,4,0.634615384615385,"PSEUDO"
"p114","human","low","NONCE","postTest","Male",46,4,3,0.346153846153846,"PSEUDO"
"p115","human","low","NONCE","postTest","Male",48,3,4,0.365384615384615,"PSEUDO"
"p116","human","low","NONCE","postTest","Female",24,4,3,0.288461538461538,"PSEUDO"
"p117","human","high","NONCE","postTest","Female",33,4,3,0.269230769230769,"PSEUDO"
"p118","human","low","NONCE","postTest","Female",40,4,4,0.346153846153846,"PSEUDO"
"p119","human","low","NONCE","postTest","Male",29,5,4,0.384615384615385,"PSEUDO"
"p12","human","low","NONCE","postTest","Male",34,4,5,0.634615384615385,"PSEUDO"
"p120","human","high","NONCE","postTest","Male",24,5,5,0.480769230769231,"PSEUDO"
"p121","human","high","NONCE","postTest","Male",31,3,4,0.423076923076923,"PSEUDO"
"p122","human","low","NONCE","postTest","Female",34,5,3,0.423076923076923,"PSEUDO"
"p124","human","low","NONCE","postTest","Female",26,4,5,0.269230769230769,"PSEUDO"
"p125","human","low","NONCE","postTest","Male",31,4,4,0.403846153846154,"PSEUDO"
"p126","human","low","NONCE","postTest","Female",40,4,3,0.596153846153846,"PSEUDO"
"p127","human","high","NONCE","postTest","Male",41,4,5,0.923076923076923,"PSEUDO"
"p128","human","high","NONCE","postTest","Male",35,3,3,0.442307692307692,"PSEUDO"
"p129","human","high","NONCE","postTest","Female",30,3,4,0.5,"PSEUDO"
"p13","human","low","NONCE","postTest","Female",26,4,3,0.5,"PSEUDO"
"p130","human","low","NONCE","postTest","Male",31,4,4,0.615384615384615,"PSEUDO"
"p131","human","low","NONCE","postTest","Male",30,4,5,0.769230769230769,"PSEUDO"
"p132","human","high","NONCE","postTest","Female",58,4,5,0.788461538461538,"PSEUDO"
"p133","human","low","NONCE","postTest","Female",45,4,5,0.423076923076923,"PSEUDO"
"p135","human","high","NONCE","postTest","Male",24,5,3,0.384615384615385,"PSEUDO"
"p136","human","high","NONCE","postTest","Male",49,5,3,0.730769230769231,"PSEUDO"
"p137","human","low","NONCE","postTest","Male",40,5,4,0.480769230769231,"PSEUDO"
"p138","human","low","NONCE","postTest","Female",59,5,5,0.230769230769231,"PSEUDO"
"p139","human","high","NONCE","postTest","Male",28,4,4,0.980769230769231,"PSEUDO"
"p14","human","low","NONCE","postTest","Female",25,4,2,0.788461538461538,"PSEUDO"
"p140","human","low","NONCE","postTest","Female",25,5,5,0.557692307692308,"PSEUDO"
"p141","human","low","NONCE","postTest","Male",54,4,5,0.307692307692308,"PSEUDO"
"p142","human","high","NONCE","postTest","Male",43,5,5,0.673076923076923,"PSEUDO"
"p143","human","high","NONCE","postTest","Male",26,4,4,0.711538461538462,"PSEUDO"
"p144","human","low","NONCE","postTest","Male",33,3,4,0.461538461538462,"PSEUDO"
"p145","human","high","NONCE","postTest","Male",30,3,5,0.884615384615385,"PSEUDO"
