"participant"	"partnerRegCondition"	"partnerRegRate"	"age"	"gender"	"pretestReg"	"posttestReg"
"s6023"	"no.change"	0.654	56	"Female"	0.653846153846154	0.346153846153846
"s6024"	"no.change"	0.481	31	"Female"	0.480769230769231	0.538461538461538
"s6025"	"no.change"	0.385	33	"Female"	0.384615384615385	0.461538461538462
"s6026"	"no.change"	0.538	29	"Female"	0.538461538461538	0.596153846153846
"s6028"	"no.change"	0.423	23	"Female"	0.423076923076923	0.519230769230769
"s6029"	"increase"	0.865	28	"Male"	0.615384615384615	0.576923076923077
"s6031"	"increase"	0.808	45	"Female"	0.576923076923077	0.730769230769231
"s6032"	"increase"	0.673	22	"Male"	0.480769230769231	0.615384615384615
"s6036"	"decrease"	0.115	21	"Male"	0.192307692307692	0.0576923076923077
"s6037"	"decrease"	0.25	21	"Female"	0.423076923076923	0.173076923076923
"s6038"	"decrease"	0.346	30	"Female"	0.576923076923077	0.653846153846154
"s6039"	"decrease"	0.212	33	"Female"	0.346153846153846	0.115384615384615
"s6040"	"increase"	0.519	34	"Female"	0.365384615384615	0.365384615384615
"s6046"	"no.change"	0.365	27	"Male"	0.365384615384615	0.230769230769231
"s6051"	"increase"	0.827	37	"Female"	0.596153846153846	0.673076923076923
"s6053"	"increase"	0.596	20	"Male"	0.423076923076923	0.692307692307692
"s6055"	"decrease"	0.269	29	"Male"	0.442307692307692	0.442307692307692
"s6058"	"decrease"	0.327	40	"Male"	0.557692307692308	0.673076923076923
"s6062"	"no.change"	0.615	31	"Male"	0.615384615384615	0.557692307692308
"s6063"	"decrease"	0.288	53	"Female"	0.480769230769231	0.403846153846154
"s6064"	"decrease"	0.365	38	"Female"	0.596153846153846	0.615384615384615
"s6065"	"no.change"	0.462	28	"Male"	0.461538461538462	0.557692307692308
"s6066"	"increase"	0.731	22	"Female"	0.519230769230769	0.5
"s6067"	"no.change"	0.442	45	"Male"	0.442307692307692	0.442307692307692
"s6068"	"no.change"	0.519	26	"Male"	0.519230769230769	0.5
"s6070"	"no.change"	0.596	36	"Male"	0.596153846153846	0.730769230769231
"s6071"	"increase"	0.538	30	"Male"	0.384615384615385	0.461538461538462
"s6076"	"decrease"	0.269	24	"Male"	0.442307692307692	0.442307692307692
"s6078"	"decrease"	0.25	23	"Male"	0.403846153846154	0.442307692307692
"s6079"	"decrease"	0.25	35	"Female"	0.403846153846154	0.442307692307692
"s6080"	"decrease"	0.365	52	"Male"	0.615384615384615	0.288461538461538
"s6082"	"no.change"	0.519	26	"Male"	0.519230769230769	0.576923076923077
"s6084"	"no.change"	0.596	40	"Female"	0.596153846153846	0.692307692307692
"s6085"	"increase"	0.558	34	"Male"	0.403846153846154	0.384615384615385
"s6086"	"no.change"	0.308	57	"Female"	0.307692307692308	0.269230769230769
"s6087"	"no.change"	0.577	30	"Male"	0.576923076923077	0.596153846153846
"s6088"	"no.change"	0.519	31	"Female"	0.519230769230769	0.384615384615385
"s6089"	"no.change"	0.5	28	"Female"	0.5	0.557692307692308
"s6091"	"increase"	0.654	27	"Female"	0.461538461538462	0.634615384615385
"s6093"	"increase"	0.596	40	"Male"	0.423076923076923	0.423076923076923
"s6094"	"increase"	0.519	22	"Female"	0.365384615384615	0.384615384615385
"s6095"	"decrease"	0.365	39	"Male"	0.596153846153846	0.557692307692308
"s6096"	"decrease"	0.212	60	"Female"	0.346153846153846	0.365384615384615
"s6097"	"decrease"	0.308	56	"Male"	0.519230769230769	0.576923076923077
"s6099"	"decrease"	0.365	44	"Female"	0.596153846153846	0.269230769230769
"s6101"	"no.change"	0.558	31	"Male"	0.557692307692308	0.365384615384615
"s6102"	"no.change"	0.692	31	"Male"	0.692307692307692	0.653846153846154
"s6103"	"no.change"	0.442	29	"Female"	0.442307692307692	0.596153846153846
"s6104"	"no.change"	0.231	39	"Female"	0.230769230769231	0.230769230769231
"s6105"	"increase"	0.942	24	"Female"	0.673076923076923	0.846153846153846
"s6107"	"increase"	0.75	34	"Male"	0.538461538461538	0.826923076923077
"s6108"	"increase"	0.731	24	"Female"	0.519230769230769	0.788461538461538
"s6111"	"decrease"	0.269	29	"Male"	0.442307692307692	0.307692307692308
"s6114"	"increase"	0.808	29	"Female"	0.576923076923077	0.75
"s6115"	"decrease"	0.231	26	"Male"	0.384615384615385	0.269230769230769
"s6119"	"no.change"	0.654	40	"Male"	0.653846153846154	0.846153846153846
"s6120"	"no.change"	0.528	28	"Female"	0.519230769230769	0.788461538461538
"s6123"	"increase"	0.923	44	"Male"	0.653846153846154	0.846153846153846
"s6125"	"increase"	0.654	24	"Female"	0.461538461538462	0.519230769230769
"s6128"	"increase"	0.962	30	"Male"	0.692307692307692	0.692307692307692
"s6132"	"decrease"	0.096	36	"Female"	0.153846153846154	0.0769230769230769
"s6134"	"decrease"	0.269	59	"Female"	0.442307692307692	0.403846153846154
"s6135"	"no.change"	0.288	25	"Female"	0.288461538461538	0.557692307692308
