"participant","partnerRegCondition","partnerRegRate","age","gender","pretestReg","posttestReg"
"s6029","increase",0.865,28,"Male",0.615384615384615,0.576923076923077
"s6031","increase",0.808,45,"Female",0.576923076923077,0.730769230769231
"s6032","increase",0.673,22,"Male",0.480769230769231,0.615384615384615
"s6036","decrease",0.115,21,"Male",0.192307692307692,0.0576923076923077
"s6037","decrease",0.25,21,"Female",0.423076923076923,0.173076923076923
"s6038","decrease",0.346,30,"Female",0.576923076923077,0.653846153846154
"s6039","decrease",0.212,33,"Female",0.346153846153846,0.115384615384615
"s6040","increase",0.519,34,"Female",0.365384615384615,0.365384615384615
"s6051","increase",0.827,37,"Female",0.596153846153846,0.673076923076923
"s6053","increase",0.596,20,"Male",0.423076923076923,0.692307692307692
"s6055","decrease",0.269,29,"Male",0.442307692307692,0.442307692307692
"s6058","decrease",0.327,40,"Male",0.557692307692308,0.673076923076923
"s6063","decrease",0.288,53,"Female",0.480769230769231,0.403846153846154
"s6064","decrease",0.365,38,"Female",0.596153846153846,0.615384615384615
"s6066","increase",0.731,22,"Female",0.519230769230769,0.5
"s6071","increase",0.538,30,"Male",0.384615384615385,0.461538461538462
"s6076","decrease",0.269,24,"Male",0.442307692307692,0.442307692307692
"s6078","decrease",0.25,23,"Male",0.403846153846154,0.442307692307692
"s6079","decrease",0.25,35,"Female",0.403846153846154,0.442307692307692
"s6080","decrease",0.365,52,"Male",0.615384615384615,0.288461538461538
"s6085","increase",0.558,34,"Male",0.403846153846154,0.384615384615385
"s6091","increase",0.654,27,"Female",0.461538461538462,0.634615384615385
"s6093","increase",0.596,40,"Male",0.423076923076923,0.423076923076923
"s6094","increase",0.519,22,"Female",0.365384615384615,0.384615384615385
"s6095","decrease",0.365,39,"Male",0.596153846153846,0.557692307692308
"s6096","decrease",0.212,60,"Female",0.346153846153846,0.365384615384615
"s6097","decrease",0.308,56,"Male",0.519230769230769,0.576923076923077
"s6099","decrease",0.365,44,"Female",0.596153846153846,0.269230769230769
"s6105","increase",0.942,24,"Female",0.673076923076923,0.846153846153846
"s6107","increase",0.75,34,"Male",0.538461538461538,0.826923076923077
"s6108","increase",0.731,24,"Female",0.519230769230769,0.788461538461538
"s6111","decrease",0.269,29,"Male",0.442307692307692,0.307692307692308
"s6114","increase",0.808,29,"Female",0.576923076923077,0.75
"s6115","decrease",0.231,26,"Male",0.384615384615385,0.269230769230769
"s6123","increase",0.923,44,"Male",0.653846153846154,0.846153846153846
"s6125","increase",0.654,24,"Female",0.461538461538462,0.519230769230769
"s6128","increase",0.962,30,"Male",0.692307692307692,0.692307692307692
"s6132","decrease",0.096,36,"Female",0.153846153846154,0.0769230769230769
"s6134","decrease",0.269,59,"Female",0.442307692307692,0.403846153846154
"s6153","increase",0.75,36,"Male",0.538461538461538,0.634615384615385
"s6155","increase",0.654,20,"Male",0.461538461538462,0.307692307692308
"s6156","increase",0.731,47,"Female",0.519230769230769,0.903846153846154
"s6157","increase",0.962,25,"Female",0.692307692307692,0.5
"s6160","increase",0.385,50,"Female",0.269230769230769,0.557692307692308
"s6161","increase",0.942,36,"Female",0.673076923076923,1
"s6162","increase",0.654,27,"Male",0.461538461538462,0.5
"s6163","increase",0.596,23,"Male",0.423076923076923,0.692307692307692
"s6165","increase",0.731,39,"Male",0.519230769230769,0.538461538461538
"s6170","decrease",0.25,36,"Female",0.403846153846154,0.384615384615385
"s6171","decrease",0.346,54,"Female",0.576923076923077,0.769230769230769
"s6173","decrease",0.327,22,"Female",0.538461538461538,0.480769230769231
"s6176","decrease",0.385,21,"Female",0.634615384615385,0.653846153846154
"s6177","decrease",0.423,24,"Male",0.692307692307692,0.634615384615385
"s6179","decrease",0.327,27,"Male",0.538461538461538,0.519230769230769
"s6180","decrease",0.365,38,"Female",0.596153846153846,0.615384615384615
"s6182","decrease",0.096,38,"Female",0.153846153846154,0.0192307692307692
"s6183","increase",0.788,21,"Male",0.557692307692308,0.75
"s6184","decrease",0.269,64,"Male",0.442307692307692,0.461538461538462
"s6185","decrease",0.288,28,"Male",0.480769230769231,0.673076923076923
"s6186","decrease",0.365,45,"Male",0.615384615384615,0.307692307692308
"s6189","decrease",0.135,21,"Female",0.230769230769231,0.0192307692307692
"s6191","increase",0.923,26,"Female",0.653846153846154,0.634615384615385
"s6192","increase",0.75,27,"Male",0.538461538461538,0.307692307692308
"s6194","increase",0.942,33,"Female",0.673076923076923,0.826923076923077
"s6200","increase",0.885,28,"Male",0.634615384615385,1
"s6204","decrease",0.385,26,"Female",0.653846153846154,0.442307692307692
"s6205","decrease",0.25,25,"Female",0.403846153846154,0.615384615384615
"s6207","decrease",0.212,30,"Female",0.365384615384615,0.480769230769231
"s6218","increase",0.808,47,"Female",0.576923076923077,0.673076923076923
"s6219","increase",0.923,29,"Male",0.653846153846154,0.596153846153846
"s6221","increase",0.385,46,"Female",0.269230769230769,0.288461538461538
"s6222","decrease",0.308,28,"Male",0.5,0.442307692307692
"s6223","decrease",0.423,62,"Male",0.692307692307692,0.769230769230769
"s6225","decrease",0.327,23,"Male",0.557692307692308,0.269230769230769
"s6228","decrease",0.423,34,"Female",0.692307692307692,0.538461538461538
"s6251","increase",0.827,31,"Male",0.596153846153846,0.692307692307692
"s6253","increase",0.558,33,"Male",0.403846153846154,0.5
"s6254","increase",0.827,39,"Female",0.596153846153846,0.923076923076923
"s6255","increase",0.673,35,"Male",0.480769230769231,0.711538461538462
"s6256","increase",0.808,37,"Female",0.576923076923077,0.653846153846154
"s6258","increase",0.827,25,"Male",0.596153846153846,0.461538461538462
"s6259","increase",0.942,31,"Male",0.673076923076923,1
"s6260","increase",0.885,36,"Female",0.634615384615385,0.865384615384615
"s6261","increase",0.673,31,"Male",0.480769230769231,0.5
"s6262","increase",0.673,27,"Male",0.480769230769231,0.403846153846154
"s6263","increase",0.654,35,"Male",0.461538461538462,0.403846153846154
"s6264","increase",0.962,24,"Female",0.692307692307692,0.788461538461538
"s6265","decrease",0.269,34,"Male",0.461538461538462,0.230769230769231
"s6266","decrease",0.212,30,"Male",0.346153846153846,0.442307692307692
"s6267","decrease",0.231,62,"Male",0.384615384615385,0.307692307692308
"s6268","decrease",0.25,40,"Male",0.423076923076923,0.0576923076923077
"s6271","decrease",0.423,47,"Male",0.692307692307692,0.730769230769231
