"poundGuesses"	"kgGuesses"
1	0.454
1	0.454
1	0.454
1	0.454
1	0.454
1	0.454
1	0.454
1	0.454
1	0.454
1.321	0.599
2	0.907
3	1.361
3.141592654	1.425
2.489913124	1.13
2.642729366	1.199
2.795545607	1.268
2.948361848	1.338
60	27.223
69	31.307
100	45.372
100	45.372
102	46.279
109	49.456
144	65.336
146	66.243
146	66.243
155	70.327
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
165	74.864
181	82.123
200	90.744
200	90.744
200	90.744
215	97.55
215	97.55
219	99.365
220	99.819
223	101.18
235	106.624
247	112.069
249	112.976
250	113.43
250	113.43
250	113.43
250	113.43
250	113.43
254	115.245
260	117.967
265	120.236
265	120.236
275	124.773
280	127.042
281	127.495
285	129.31
286	129.764
290	131.579
290	131.579
290	131.579
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
300	136.116
301	136.57
310	140.653
310	140.653
314	142.468
315	142.922
317	143.829
317	143.829
319	144.737
320	145.191
320	145.191
320	145.191
320	145.191
325	147.459
325	147.459
325	147.459
325	147.459
325	147.459
327	148.367
328	148.82
329	149.274
329	149.274
330	149.728
330	149.728
332	150.635
335	151.996
342	155.172
345	156.534
345	156.534
345	156.534
346	156.987
347	157.441
347	157.441
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
350	158.802
353	160.163
356	161.525
356	161.525
357	161.978
357	161.978
358	162.432
360	163.339
362	164.247
365	165.608
365	165.608
365	165.608
365	165.608
365	165.608
367	166.515
369	167.423
370	167.877
370	167.877
370	167.877
373	169.238
373.5	169.465
375	170.145
375	170.145
375	170.145
375	170.145
375	170.145
375	170.145
375	170.145
375	170.145
375.9	170.554
378	171.506
379	171.96
380	172.414
380	172.414
380	172.414
380	172.414
384	174.229
385	174.682
385	174.682
386	175.136
386	175.136
386	175.136
387	175.59
387	175.59
390	176.951
394	178.766
395	179.22
395	179.22
395	179.22
395	179.22
399	181.034
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
400	181.488
401	181.942
401	181.942
401.5	182.169
402	182.396
402	182.396
403.5	183.076
404	183.303
405	183.757
406	184.211
406	184.211
407	184.664
408	185.118
408	185.118
410	186.025
412	186.933
412	186.933
413	187.387
413	187.387
413	187.387
414	187.84
415	188.294
415	188.294
415	188.294
416	188.748
416	188.748
416	188.748
416	188.748
417	189.201
417	189.201
418	189.655
420	190.563
420	190.563
420	190.563
420	190.563
421	191.016
422	191.47
422	191.47
422	191.47
422	191.47
422	191.47
423	191.924
423	191.924
423	191.924
423	191.924
423	191.924
423	191.924
423	191.924
423	191.924
423.3	192.06
425	192.831
425	192.831
425	192.831
425	192.831
425	192.831
425	192.831
425	192.831
425	192.831
425	192.831
426	193.285
426	193.285
427	193.739
427	193.739
427	193.739
427	193.739
427	193.739
428	194.192
428	194.192
430	195.1
430	195.1
430	195.1
430	195.1
430	195.1
430	195.1
431	195.554
431	195.554
432	196.007
432	196.007
432	196.007
432	196.007
434	196.915
435	197.368
435	197.368
435	197.368
435	197.368
435	197.368
435	197.368
435	197.368
435	197.368
437	198.276
437	198.276
437	198.276
438.7	199.047
439	199.183
439.2	199.274
440	199.637
440.925	200.057
442	200.544
443	200.998
444	201.452
444	201.452
445	201.906
445	201.906
445	201.906
445	201.906
447	202.813
447	202.813
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
450	204.174
451	204.628
452	205.082
452	205.082
452	205.082
452	205.082
452	205.082
452	205.082
453	205.535
453	205.535
453	205.535
453	205.535
454	205.989
454	205.989
454	205.989
455	206.443
455	206.443
455	206.443
456	206.897
456	206.897
456	206.897
457	207.35
457	207.35
457	207.35
457.4	207.532
458	207.804
458	207.804
458	207.804
458	207.804
458	207.804
458	207.804
458	207.804
459	208.258
460	208.711
462	209.619
463	210.073
463	210.073
463	210.073
465	210.98
465	210.98
465	210.98
465	210.98
465	210.98
465	210.98
465	210.98
465	210.98
465	210.98
467	211.887
467	211.887
467	211.887
467	211.887
467	211.887
467	211.887
467	211.887
467	211.887
468	212.341
468	212.341
468	212.341
469	212.795
469	212.795
469	212.795
470	213.249
471	213.702
472	214.156
472	214.156
473	214.61
473	214.61
474	215.064
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
475	215.517
476	215.971
476	215.971
476	215.971
476	215.971
477	216.425
478	216.878
478	216.878
478	216.878
478	216.878
478	216.878
478	216.878
480	217.786
480	217.786
480	217.786
480	217.786
480	217.786
480	217.786
481	218.24
481	218.24
482	218.693
482	218.693
485	220.054
485	220.054
485	220.054
485	220.054
485	220.054
485	220.054
485	220.054
486	220.508
486	220.508
486	220.508
487	220.962
487	220.962
487	220.962
487	220.962
487	220.962
487	220.962
488	221.416
489	221.869
489	221.869
489	221.869
490	222.323
490	222.323
491	222.777
492	223.23
492	223.23
492	223.23
492	223.23
492	223.23
493	223.684
493	223.684
493	223.684
493	223.684
493	223.684
494	224.138
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
495	224.592
497	225.499
497	225.499
497	225.499
497.5	225.726
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500	226.86
500.449	227.064
501	227.314
502	227.768
502	227.768
502	227.768
502	227.768
503	228.221
503	228.221
503	228.221
505	229.129
507	230.036
508	230.49
508	230.49
510	231.397
510	231.397
510	231.397
510	231.397
510	231.397
510	231.397
511	231.851
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
512	232.305
513	232.759
513	232.759
513	232.759
513.5	232.985
514	233.212
514	233.212
515	233.666
515	233.666
515	233.666
516	234.12
517	234.574
520	235.935
520	235.935
520	235.935
520	235.935
520	235.935
520	235.935
521	236.388
521	236.388
521	236.388
522	236.842
522	236.842
523	237.296
523	237.296
523	237.296
523	237.296
523	237.296
523	237.296
523	237.296
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
525	238.203
526	238.657
526	238.657
526	238.657
527	239.111
527	239.111
527	239.111
527	239.111
528	239.564
530	240.472
530	240.472
530	240.472
532	241.379
532	241.379
532	241.379
532	241.379
532	241.379
532	241.379
532	241.379
532	241.379
534	242.287
534	242.287
534	242.287
534	242.287
534	242.287
534	242.287
535	242.74
535	242.74
535	242.74
535	242.74
535	242.74
535	242.74
535	242.74
536	243.194
536	243.194
536	243.194
537	243.648
537	243.648
537	243.648
538	244.102
538	244.102
538	244.102
538	244.102
540	245.009
540	245.009
540	245.009
540	245.009
540	245.009
540	245.009
540	245.009
540	245.009
540	245.009
541	245.463
542	245.917
542	245.917
542	245.917
542	245.917
542	245.917
542	245.917
542.63	246.202
543	246.37
543	246.37
543	246.37
543	246.37
543	246.37
543	246.37
543	246.37
543	246.37
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
545	247.278
546	247.731
546	247.731
546	247.731
547	248.185
547	248.185
547	248.185
547	248.185
547	248.185
547	248.185
548	248.639
548	248.639
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
550	249.546
551	250
552	250.454
552	250.454
552	250.454
552	250.454
552	250.454
552	250.454
553	250.907
553	250.907
555	251.815
555	251.815
555	251.815
555	251.815
555	251.815
555	251.815
556	252.269
556	252.269
556	252.269
557	252.722
557	252.722
557	252.722
558	253.176
558	253.176
559	253.63
559	253.63
560	254.083
560	254.083
560	254.083
560	254.083
560	254.083
560	254.083
560	254.083
561	254.537
562	254.991
562	254.991
562	254.991
562	254.991
562	254.991
562	254.991
562	254.991
562	254.991
563	255.445
564	255.898
564	255.898
564	255.898
564	255.898
564	255.898
564	255.898
564	255.898
564	255.898
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
565	256.352
566	256.806
566	256.806
567	257.26
567	257.26
568	257.713
568	257.713
568	257.713
568	257.713
569	258.167
569	258.167
570	258.621
570	258.621
571	259.074
571	259.074
572	259.528
572	259.528
572	259.528
572	259.528
572	259.528
572	259.528
572	259.528
572	259.528
573	259.982
573	259.982
573	259.982
573	259.982
573	259.982
574	260.436
574	260.436
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
575	260.889
576	261.343
576	261.343
576	261.343
576	261.343
576	261.343
577	261.797
577	261.797
577.5	262.024
577.5	262.024
577.5	262.024
578	262.25
578	262.25
578	262.25
578	262.25
579	262.704
579	262.704
579	262.704
579.5	262.931
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
580	263.158
582	264.065
582	264.065
582	264.065
582	264.065
582	264.065
583	264.519
583	264.519
583	264.519
583	264.519
584	264.973
584	264.973
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
585	265.426
586	265.88
586	265.88
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
587	266.334
588	266.788
588	266.788
589	267.241
589	267.241
589	267.241
590	267.695
592	268.603
592	268.603
592	268.603
592	268.603
592	268.603
594	269.51
595	269.964
595	269.964
596	270.417
597	270.871
597	270.871
598	271.325
598	271.325
599	271.779
599	271.779
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
600	272.232
601	272.686
601	272.686
601	272.686
601	272.686
601	272.686
601	272.686
602	273.14
602	273.14
603	273.593
603	273.593
603	273.593
605	274.501
605	274.501
605	274.501
607	275.408
608	275.862
609	276.316
610	276.77
610	276.77
610	276.77
610	276.77
610	276.77
611	277.223
611	277.223
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
612	277.677
613	278.131
613	278.131
613	278.131
614	278.584
614	278.584
614	278.584
615	279.038
615	279.038
615	279.038
615	279.038
615	279.038
616	279.492
616	279.492
616	279.492
617	279.946
617	279.946
617	279.946
617	279.946
617	279.946
618	280.399
618	280.399
618	280.399
618	280.399
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
620	281.307
621	281.76
621	281.76
621	281.76
621	281.76
621	281.76
621.4	281.942
622	282.214
622	282.214
622	282.214
622	282.214
622	282.214
622	282.214
622	282.214
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
623	282.668
624	283.122
624	283.122
624	283.122
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
625	283.575
626	284.029
626	284.029
626	284.029
626	284.029
627	284.483
627	284.483
627	284.483
627	284.483
627	284.483
627	284.483
627.5	284.71
628	284.936
628	284.936
629	285.39
629	285.39
629	285.39
629	285.39
630	285.844
630	285.844
630	285.844
630	285.844
630	285.844
630	285.844
631	286.298
631	286.298
631.5	286.525
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
632	286.751
633	287.205
634	287.659
634	287.659
634	287.659
634	287.659
634	287.659
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
635	288.113
636	288.566
636	288.566
637	289.02
637	289.02
637	289.02
637	289.02
637	289.02
637	289.02
637	289.02
638	289.474
638	289.474
638	289.474
638	289.474
638	289.474
638.5	289.701
639	289.927
639	289.927
639	289.927
639	289.927
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
640	290.381
641	290.835
641	290.835
641	290.835
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
642	291.289
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
643	291.742
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
645	292.65
646	293.103
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
647	293.557
648	294.011
648	294.011
648	294.011
648	294.011
648	294.011
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
