"participant"	"phase"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6023"	"posttest"	"no.change"	0.654	0.346153846153846	0.653846153846154
"s6024"	"posttest"	"no.change"	0.481	0.538461538461538	0.480769230769231
"s6025"	"posttest"	"no.change"	0.385	0.461538461538462	0.384615384615385
"s6026"	"posttest"	"no.change"	0.538	0.596153846153846	0.538461538461538
"s6028"	"posttest"	"no.change"	0.423	0.519230769230769	0.423076923076923
"s6029"	"posttest"	"increase"	0.865	0.576923076923077	0.615384615384615
"s6030"	"posttest"	"increase"	0.75	0.365384615384615	0.538461538461538
"s6031"	"posttest"	"increase"	0.808	0.730769230769231	0.576923076923077
"s6032"	"posttest"	"increase"	0.673	0.615384615384615	0.480769230769231
"s6036"	"posttest"	"decrease"	0.115	0.0576923076923077	0.192307692307692
"s6037"	"posttest"	"decrease"	0.25	0.173076923076923	0.423076923076923
"s6038"	"posttest"	"decrease"	0.346	0.653846153846154	0.576923076923077
"s6039"	"posttest"	"decrease"	0.212	0.115384615384615	0.346153846153846
"s6040"	"posttest"	"increase"	0.519	0.365384615384615	0.365384615384615
"s6046"	"posttest"	"no.change"	0.365	0.230769230769231	0.365384615384615
"s6051"	"posttest"	"increase"	0.827	0.673076923076923	0.596153846153846
"s6053"	"posttest"	"increase"	0.596	0.692307692307692	0.423076923076923
"s6055"	"posttest"	"decrease"	0.269	0.442307692307692	0.442307692307692
"s6058"	"posttest"	"decrease"	0.327	0.673076923076923	0.557692307692308
"s6062"	"posttest"	"no.change"	0.615	0.557692307692308	0.615384615384615
"s6063"	"posttest"	"decrease"	0.288	0.403846153846154	0.480769230769231
"s6064"	"posttest"	"decrease"	0.365	0.615384615384615	0.596153846153846
"s6065"	"posttest"	"no.change"	0.462	0.557692307692308	0.461538461538462
"s6066"	"posttest"	"increase"	0.731	0.5	0.519230769230769
"s6067"	"posttest"	"no.change"	0.442	0.442307692307692	0.442307692307692
"s6068"	"posttest"	"no.change"	0.519	0.5	0.519230769230769
"s6070"	"posttest"	"no.change"	0.596	0.730769230769231	0.596153846153846
"s6071"	"posttest"	"increase"	0.538	0.461538461538462	0.384615384615385
"s6076"	"posttest"	"decrease"	0.269	0.442307692307692	0.442307692307692
"s6078"	"posttest"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6079"	"posttest"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6080"	"posttest"	"decrease"	0.365	0.288461538461538	0.615384615384615
"s6082"	"posttest"	"no.change"	0.519	0.576923076923077	0.519230769230769
"s6084"	"posttest"	"no.change"	0.596	0.692307692307692	0.596153846153846
"s6085"	"posttest"	"increase"	0.558	0.384615384615385	0.403846153846154
"s6086"	"posttest"	"no.change"	0.308	0.269230769230769	0.307692307692308
"s6087"	"posttest"	"no.change"	0.577	0.596153846153846	0.576923076923077
"s6088"	"posttest"	"no.change"	0.519	0.384615384615385	0.519230769230769
"s6089"	"posttest"	"no.change"	0.5	0.557692307692308	0.5
"s6091"	"posttest"	"increase"	0.654	0.634615384615385	0.461538461538462
"s6093"	"posttest"	"increase"	0.596	0.423076923076923	0.423076923076923
"s6094"	"posttest"	"increase"	0.519	0.384615384615385	0.365384615384615
"s6095"	"posttest"	"decrease"	0.365	0.557692307692308	0.596153846153846
"s6096"	"posttest"	"decrease"	0.212	0.365384615384615	0.346153846153846
"s6097"	"posttest"	"decrease"	0.308	0.576923076923077	0.519230769230769
"s6099"	"posttest"	"decrease"	0.365	0.269230769230769	0.596153846153846
"s6101"	"posttest"	"no.change"	0.558	0.365384615384615	0.557692307692308
"s6102"	"posttest"	"no.change"	0.692	0.653846153846154	0.692307692307692
"s6103"	"posttest"	"no.change"	0.442	0.596153846153846	0.442307692307692
"s6104"	"posttest"	"no.change"	0.231	0.230769230769231	0.230769230769231
"s6105"	"posttest"	"increase"	0.942	0.846153846153846	0.673076923076923
"s6107"	"posttest"	"increase"	0.75	0.826923076923077	0.538461538461538
"s6108"	"posttest"	"increase"	0.731	0.788461538461538	0.519230769230769
"s6111"	"posttest"	"decrease"	0.269	0.307692307692308	0.442307692307692
"s6114"	"posttest"	"increase"	0.808	0.75	0.576923076923077
"s6115"	"posttest"	"decrease"	0.231	0.269230769230769	0.384615384615385
"s6119"	"posttest"	"no.change"	0.654	0.846153846153846	0.653846153846154
"s6120"	"posttest"	"no.change"	0.528	0.788461538461538	0.519230769230769
