"X","participant","pretest.reg","gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular"
1,"s6023",0.653846153846154,"Female",1958,"posttest","shreened","shrent","kept","sensible",0.654,"no.change",0.693,"shreened",TRUE
2,"s6023",0.653846153846154,"Female",1958,"posttest","slilled","slilt","burnt","sensible",0.654,"no.change",0.693,"slilt",FALSE
3,"s6023",0.653846153846154,"Female",1958,"posttest","sminked","smank","sang","sensible",0.654,"no.change",0.579,"sminked",TRUE
4,"s6023",0.653846153846154,"Female",1958,"posttest","murned","murnt","burnt","sensible",0.654,"no.change",0.723,"murned",TRUE
5,"s6023",0.653846153846154,"Female",1958,"posttest","preemed","premt","kept","sensible",0.654,"no.change",0.678,"premt",FALSE
6,"s6023",0.653846153846154,"Female",1958,"posttest","glined","glone","drove","sensible",0.654,"no.change",0.619,"glone",FALSE
7,"s6023",0.653846153846154,"Female",1958,"posttest","skelled","skelt","burnt","sensible",0.654,"no.change",0.584,"skelled",TRUE
8,"s6023",0.653846153846154,"Female",1958,"posttest","skrined","skrone","drove","sensible",0.654,"no.change",0.599,"skrone",FALSE
9,"s6023",0.653846153846154,"Female",1958,"posttest","thided","thode","drove","sensible",0.654,"no.change",0.436,"thode",FALSE
10,"s6023",0.653846153846154,"Female",1958,"posttest","quinged","quang","sang","sensible",0.654,"no.change",0.53,"quang",FALSE
11,"s6023",0.653846153846154,"Female",1958,"posttest","fleeled","flelt","kept","sensible",0.654,"no.change",0.525,"flelt",FALSE
12,"s6023",0.653846153846154,"Female",1958,"posttest","kleeled","klelt","kept","sensible",0.654,"no.change",0.554,"kleeled",TRUE
13,"s6023",0.653846153846154,"Female",1958,"posttest","spreemed","spremt","kept","sensible",0.654,"no.change",0.639,"spremt",FALSE
14,"s6023",0.653846153846154,"Female",1958,"posttest","snurned","snurnt","burnt","sensible",0.654,"no.change",0.757,"snurnt",FALSE
15,"s6023",0.653846153846154,"Female",1958,"posttest","dweeped","dwept","kept","sensible",0.654,"no.change",0.426,"dwept",FALSE
16,"s6023",0.653846153846154,"Female",1958,"posttest","prilled","prilt","burnt","sensible",0.654,"no.change",0.713,"prilled",TRUE
17,"s6023",0.653846153846154,"Female",1958,"posttest","dwinged","dwang","sang","sensible",0.654,"no.change",0.485,"dwang",FALSE
18,"s6023",0.653846153846154,"Female",1958,"posttest","surned","surnt","burnt","sensible",0.654,"no.change",0.698,"surned",TRUE
19,"s6023",0.653846153846154,"Female",1958,"posttest","skurned","skurnt","burnt","sensible",0.654,"no.change",0.733,"skurned",TRUE
20,"s6023",0.653846153846154,"Female",1958,"posttest","dreeped","drept","kept","sensible",0.654,"no.change",0.441,"drept",FALSE
21,"s6023",0.653846153846154,"Female",1958,"posttest","neened","nent","kept","sensible",0.654,"no.change",0.663,"neened",TRUE
22,"s6023",0.653846153846154,"Female",1958,"posttest","vinked","vank","sang","sensible",0.654,"no.change",0.624,"vinked",TRUE
23,"s6023",0.653846153846154,"Female",1958,"posttest","shrided","shrode","drove","sensible",0.654,"no.change",0.376,"shrode",FALSE
24,"s6023",0.653846153846154,"Female",1958,"posttest","swited","swote","drove","sensible",0.654,"no.change",0.46,"swote",FALSE
25,"s6023",0.653846153846154,"Female",1958,"posttest","klided","klode","drove","sensible",0.654,"no.change",0.495,"klode",FALSE
26,"s6023",0.653846153846154,"Female",1958,"posttest","splinged","splang","sang","sensible",0.654,"no.change",0.401,"splang",FALSE
27,"s6023",0.653846153846154,"Female",1958,"posttest","gimmed","gam","sang","sensible",0.654,"no.change",0.728,"gimmed",TRUE
28,"s6023",0.653846153846154,"Female",1958,"posttest","trurned","trurnt","burnt","sensible",0.654,"no.change",0.718,"trurned",TRUE
29,"s6023",0.653846153846154,"Female",1958,"posttest","streened","strent","kept","sensible",0.654,"no.change",0.718,"strent",FALSE
30,"s6023",0.653846153846154,"Female",1958,"posttest","twinked","twank","sang","sensible",0.654,"no.change",0.594,"twank",FALSE
31,"s6023",0.653846153846154,"Female",1958,"posttest","sleeled","slelt","kept","sensible",0.654,"no.change",0.55,"slelt",FALSE
32,"s6023",0.653846153846154,"Female",1958,"posttest","vrinked","vrank","sang","sensible",0.654,"no.change",0.515,"vrinked",TRUE
33,"s6023",0.653846153846154,"Female",1958,"posttest","dwided","dwode","drove","sensible",0.654,"no.change",0.416,"dwode",FALSE
