"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6029",0.615384615384615,"Male","posttest","minged","mang","sang","sensible","increase",0.639,"minged",TRUE,30
"s6029",0.615384615384615,"Male","posttest","stelled","stelt","burnt","sensible","increase",0.644,"stelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","zeeped","zept","kept","sensible","increase",0.441,"zeeped",TRUE,30
"s6029",0.615384615384615,"Male","posttest","sweeled","swelt","kept","sensible","increase",0.475,"sweeled",TRUE,30
"s6029",0.615384615384615,"Male","posttest","dwinked","dwank","sang","sensible","increase",0.431,"dwank",FALSE,30
"s6029",0.615384615384615,"Male","posttest","jined","jone","drove","sensible","increase",0.658,"jined",TRUE,30
"s6029",0.615384615384615,"Male","posttest","blided","blode","drove","sensible","increase",0.515,"blode",FALSE,30
"s6029",0.615384615384615,"Male","posttest","schmited","schmote","drove","sensible","increase",0.45,"schmote",FALSE,30
"s6029",0.615384615384615,"Male","posttest","strilled","strilt","burnt","sensible","increase",0.772,"strilled",TRUE,30
"s6029",0.615384615384615,"Male","posttest","twimmed","twam","sang","sensible","increase",0.54,"twimmed",TRUE,30
"s6029",0.615384615384615,"Male","posttest","drurned","drurnt","burnt","sensible","increase",0.748,"drurned",TRUE,30
"s6029",0.615384615384615,"Male","posttest","sneeped","snept","kept","sensible","increase",0.431,"snept",FALSE,30
"s6029",0.615384615384615,"Male","posttest","schmeemed","schmemt","kept","sensible","increase",0.649,"schmemt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","geemed","gemt","kept","sensible","increase",0.693,"geemed",TRUE,30
"s6029",0.615384615384615,"Male","posttest","thurned","thurnt","burnt","sensible","increase",0.693,"thurned",TRUE,30
"s6029",0.615384615384615,"Male","posttest","greeled","grelt","kept","sensible","increase",0.562,"grelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","sneened","snent","kept","sensible","increase",0.698,"sneened",TRUE,30
"s6029",0.615384615384615,"Male","posttest","zimmed","zam","sang","sensible","increase",0.733,"zimmed",TRUE,30
"s6029",0.615384615384615,"Male","posttest","sninged","snang","sang","sensible","increase",0.455,"snang",FALSE,30
"s6029",0.615384615384615,"Male","posttest","hurned","hurnt","burnt","sensible","increase",0.713,"hurned",TRUE,30
"s6029",0.615384615384615,"Male","posttest","quinked","quank","sang","sensible","increase",0.569,"quinked",TRUE,30
"s6029",0.615384615384615,"Male","posttest","cheeled","chelt","kept","sensible","increase",0.545,"chelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","feemed","femt","kept","sensible","increase",0.673,"feemed",TRUE,30
"s6029",0.615384615384615,"Male","posttest","splived","splove","drove","sensible","increase",0.421,"splove",FALSE,30
"s6029",0.615384615384615,"Male","posttest","vrited","vrote","drove","sensible","increase",0.366,"vrote",FALSE,30
"s6029",0.615384615384615,"Male","posttest","frimmed","fram","sang","sensible","increase",0.708,"frimmed",TRUE,30
"s6029",0.615384615384615,"Male","posttest","thringed","thrang","sang","sensible","increase",0.411,"thrang",FALSE,30
"s6029",0.615384615384615,"Male","posttest","sprelled","sprelt","burnt","sensible","increase",0.629,"sprelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","jinked","jank","sang","sensible","increase",0.614,"jank",FALSE,30
"s6029",0.615384615384615,"Male","posttest","trelled","trelt","burnt","sensible","increase",0.678,"trelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","twelled","twelt","burnt","sensible","increase",0.559,"twelt",FALSE,30
"s6029",0.615384615384615,"Male","posttest","plined","plone","drove","sensible","increase",0.713,"plined",TRUE,30
"s6029",0.615384615384615,"Male","posttest","yided","yode","drove","sensible","increase",0.401,"yode",FALSE,30
"s6029",0.615384615384615,"Male","posttest","yilled","yilt","burnt","sensible","increase",0.718,"yilled",TRUE,30
"s6029",0.615384615384615,"Male","posttest","quided","quode","drove","sensible","increase",0.47,"quode",FALSE,30
