"participant"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6023"	"no.change"	0.654	0.346153846153846	0.653846153846154
"s6024"	"no.change"	0.481	0.538461538461538	0.480769230769231
"s6025"	"no.change"	0.385	0.461538461538462	0.384615384615385
"s6026"	"no.change"	0.538	0.596153846153846	0.538461538461538
"s6028"	"no.change"	0.423	0.519230769230769	0.423076923076923
"s6029"	"increase"	0.865	0.576923076923077	0.615384615384615
"s6030"	"increase"	0.75	0.365384615384615	0.538461538461538
"s6031"	"increase"	0.808	0.730769230769231	0.576923076923077
"s6032"	"increase"	0.673	0.615384615384615	0.480769230769231
"s6036"	"decrease"	0.115	0.0576923076923077	0.192307692307692
"s6037"	"decrease"	0.25	0.173076923076923	0.423076923076923
"s6038"	"decrease"	0.346	0.653846153846154	0.576923076923077
"s6039"	"decrease"	0.212	0.115384615384615	0.346153846153846
"s6040"	"increase"	0.519	0.365384615384615	0.365384615384615
"s6046"	"no.change"	0.365	0.230769230769231	0.365384615384615
"s6051"	"increase"	0.827	0.673076923076923	0.596153846153846
"s6053"	"increase"	0.596	0.692307692307692	0.423076923076923
"s6055"	"decrease"	0.269	0.442307692307692	0.442307692307692
"s6058"	"decrease"	0.327	0.673076923076923	0.557692307692308
"s6062"	"no.change"	0.615	0.557692307692308	0.615384615384615
"s6063"	"decrease"	0.288	0.403846153846154	0.480769230769231
"s6064"	"decrease"	0.365	0.615384615384615	0.596153846153846
"s6065"	"no.change"	0.462	0.557692307692308	0.461538461538462
"s6066"	"increase"	0.731	0.5	0.519230769230769
"s6067"	"no.change"	0.442	0.442307692307692	0.442307692307692
"s6068"	"no.change"	0.519	0.5	0.519230769230769
"s6070"	"no.change"	0.596	0.730769230769231	0.596153846153846
"s6071"	"increase"	0.538	0.461538461538462	0.384615384615385
"s6076"	"decrease"	0.269	0.442307692307692	0.442307692307692
"s6078"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6079"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6080"	"decrease"	0.365	0.288461538461538	0.615384615384615
"s6082"	"no.change"	0.519	0.576923076923077	0.519230769230769
"s6084"	"no.change"	0.596	0.692307692307692	0.596153846153846
"s6085"	"increase"	0.558	0.384615384615385	0.403846153846154
"s6086"	"no.change"	0.308	0.269230769230769	0.307692307692308
"s6087"	"no.change"	0.577	0.596153846153846	0.576923076923077
"s6088"	"no.change"	0.519	0.384615384615385	0.519230769230769
"s6089"	"no.change"	0.5	0.557692307692308	0.5
"s6091"	"increase"	0.654	0.634615384615385	0.461538461538462
"s6093"	"increase"	0.596	0.423076923076923	0.423076923076923
