"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p1","human","low","REAL","postTest","Female",38,4,4,0.4,"REAL"
"p100","human","low","REAL","postTest","Male",30,4,4,0.35,"REAL"
"p101","human","high","REAL","postTest","Female",33,4,5,0.4,"REAL"
"p102","human","high","REAL","postTest","Male",27,4,3,0.5,"REAL"
"p103","human","high","REAL","postTest","Female",45,4,5,0.6,"REAL"
"p104","human","high","REAL","postTest","Female",48,4,4,0.1,"REAL"
"p105","human","low","REAL","postTest","Male",20,4,4,0.55,"REAL"
"p106","human","low","REAL","postTest","Female",69,4,3,0.55,"REAL"
"p107","human","low","REAL","postTest","Female",29,4,3,0.55,"REAL"
"p108","human","high","REAL","postTest","Female",39,5,4,0.4,"REAL"
"p109","human","low","REAL","postTest","Female",31,2,4,0.25,"REAL"
"p11","human","low","REAL","postTest","Male",24,4,4,0.8,"REAL"
"p110","human","high","REAL","postTest","Female",36,3,5,0.55,"REAL"
"p111","human","high","REAL","postTest","Male",39,3,3,0.35,"REAL"
"p112","human","high","REAL","postTest","Male",35,2,5,0.55,"REAL"
"p113","human","high","REAL","postTest","Male",24,4,4,0.35,"REAL"
"p114","human","low","REAL","postTest","Male",46,4,3,0.5,"REAL"
"p115","human","low","REAL","postTest","Male",48,3,4,0.55,"REAL"
"p116","human","low","REAL","postTest","Female",24,4,3,0.05,"REAL"
"p117","human","high","REAL","postTest","Female",33,4,3,0.25,"REAL"
"p118","human","low","REAL","postTest","Female",40,4,4,0.55,"REAL"
"p119","human","low","REAL","postTest","Male",29,5,4,0.4,"REAL"
"p12","human","low","REAL","postTest","Male",34,4,5,0.45,"REAL"
"p120","human","high","REAL","postTest","Male",24,5,5,0.4,"REAL"
"p121","human","high","REAL","postTest","Male",31,3,4,0.35,"REAL"
"p122","human","low","REAL","postTest","Female",34,5,3,0.75,"REAL"
"p124","human","low","REAL","postTest","Female",26,4,5,0.3,"REAL"
"p125","human","low","REAL","postTest","Male",31,4,4,0.5,"REAL"
"p126","human","low","REAL","postTest","Female",40,4,3,0.4,"REAL"
"p127","human","high","REAL","postTest","Male",41,4,5,0.5,"REAL"
"p128","human","high","REAL","postTest","Male",35,3,3,0.4,"REAL"
"p129","human","high","REAL","postTest","Female",30,3,4,0.65,"REAL"
"p13","human","low","REAL","postTest","Female",26,4,3,0.4,"REAL"
"p130","human","low","REAL","postTest","Male",31,4,4,0.4,"REAL"
"p131","human","low","REAL","postTest","Male",30,4,5,0.5,"REAL"
"p132","human","high","REAL","postTest","Female",58,4,5,0.4,"REAL"
"p133","human","low","REAL","postTest","Female",45,4,5,0.45,"REAL"
"p135","human","high","REAL","postTest","Male",24,5,3,0.55,"REAL"
"p136","human","high","REAL","postTest","Male",49,5,3,0.45,"REAL"
"p137","human","low","REAL","postTest","Male",40,5,4,0.35,"REAL"
"p138","human","low","REAL","postTest","Female",59,5,5,0.3,"REAL"
"p139","human","high","REAL","postTest","Male",28,4,4,0.45,"REAL"
"p14","human","low","REAL","postTest","Female",25,4,2,0.5,"REAL"
"p140","human","low","REAL","postTest","Female",25,5,5,0.65,"REAL"
"p141","human","low","REAL","postTest","Male",54,4,5,0.4,"REAL"
"p142","human","high","REAL","postTest","Male",43,5,5,0.5,"REAL"
"p143","human","high","REAL","postTest","Male",26,4,4,0.35,"REAL"
"p144","human","low","REAL","postTest","Male",33,3,4,0.5,"REAL"
"p145","human","high","REAL","postTest","Male",30,3,5,0.5,"REAL"
"p146","human","high","REAL","postTest","Male",22,5,5,0.4,"REAL"
"p147","human","high","REAL","postTest","Female",36,5,5,0.45,"REAL"
"p148","human","low","REAL","postTest","Male",33,4,4,0.45,"REAL"
"p149","human","low","REAL","postTest","Female",39,5,5,0.4,"REAL"
"p15","human","low","REAL","postTest","Male",34,4,4,0.4,"REAL"
"p150","human","high","REAL","postTest","Male",44,3,4,0.45,"REAL"
