"participant","peerCondition","variableItem","item","trialNumber","trialInBlock","response"
"s130","humans","VAR","learn",1,1,"IRREGULAR"
"s130","humans","VAR","ring",2,2,"IRREGULAR"
"s130","humans","VAR","lean",3,3,"IRREGULAR"
"s130","humans","VAR","wet",4,4,"REGULAR"
"s130","humans","VAR","thrive",5,5,"REGULAR"
"s130","humans","VAR","spell",6,6,"IRREGULAR"
"s130","humans","VAR","spring",7,7,"IRREGULAR"
"s130","humans","VAR","dream",8,8,"IRREGULAR"
"s130","humans","VAR","bust",9,9,"REGULAR"
"s130","humans","VAR","weave",10,10,"IRREGULAR"
"s130","humans","VAR","spoil",11,11,"REGULAR"
"s130","humans","VAR","shrink",12,12,"IRREGULAR"
"s130","humans","VAR","leap",13,13,"IRREGULAR"
"s130","humans","VAR","spit",14,14,"IRREGULAR"
"s130","humans","VAR","drive",15,15,"IRREGULAR"
"s130","humans","INVAR","write",16,1,"IRREGULAR"
"s130","humans","INVAR","lose",17,2,"IRREGULAR"
"s130","humans","INVAR","keep",18,3,"IRREGULAR"
"s130","humans","INVAR","read",19,4,"IRREGULAR"
"s130","humans","INVAR","stand",20,5,"IRREGULAR"
"s130","humans","INVAR","hold",21,6,"IRREGULAR"
"s130","humans","INVAR","bring",22,7,"IRREGULAR"
"s130","humans","INVAR","sit",23,8,"IRREGULAR"
"s130","humans","INVAR","hit",24,9,"REGULAR"
"s130","humans","INVAR","hear",25,10,"IRREGULAR"
"s130","humans","INVAR","give",26,11,"IRREGULAR"
"s130","humans","INVAR","leave",27,12,"IRREGULAR"
"s130","humans","INVAR","feel",28,13,"IRREGULAR"
"s130","humans","INVAR","put",29,14,"IRREGULAR"
"s130","humans","INVAR","find",30,15,"IRREGULAR"
"s131","humans","VAR","learn",1,1,"IRREGULAR"
"s131","humans","VAR","ring",2,2,"IRREGULAR"
"s131","humans","VAR","lean",3,3,"IRREGULAR"
"s131","humans","VAR","thrive",4,4,"REGULAR"
"s131","humans","VAR","wet",5,5,"REGULAR"
"s131","humans","VAR","spell",6,6,"IRREGULAR"
"s131","humans","VAR","spring",7,7,"IRREGULAR"
"s131","humans","VAR","dream",8,8,"IRREGULAR"
"s131","humans","VAR","weave",9,9,"REGULAR"
"s131","humans","VAR","bust",10,10,"REGULAR"
"s131","humans","VAR","spoil",11,11,"IRREGULAR"
"s131","humans","VAR","shrink",12,12,"IRREGULAR"
"s131","humans","VAR","leap",13,13,"IRREGULAR"
"s131","humans","VAR","drive",14,14,"IRREGULAR"
"s131","humans","VAR","spit",15,15,"REGULAR"
"s131","humans","INVAR","keep",16,1,"IRREGULAR"
"s131","humans","INVAR","lose",17,2,"IRREGULAR"
"s131","humans","INVAR","write",18,3,"IRREGULAR"
"s131","humans","INVAR","stand",19,4,"IRREGULAR"
"s131","humans","INVAR","read",20,5,"IRREGULAR"
"s131","humans","INVAR","sit",21,6,"IRREGULAR"
"s131","humans","INVAR","bring",22,7,"IRREGULAR"
"s131","humans","INVAR","hold",23,8,"IRREGULAR"
"s131","humans","INVAR","hear",24,9,"IRREGULAR"
"s131","humans","INVAR","hit",25,10,"REGULAR"
"s131","humans","INVAR","feel",26,11,"IRREGULAR"
"s131","humans","INVAR","leave",27,12,NA
"s131","humans","INVAR","give",28,13,"IRREGULAR"
"s131","humans","INVAR","find",29,14,"IRREGULAR"
"s131","humans","INVAR","put",30,15,"REGULAR"
"s132","humans","VAR","thrive",1,1,"REGULAR"
"s132","humans","VAR","lean",2,2,"REGULAR"
"s132","humans","VAR","ring",3,3,"IRREGULAR"
"s132","humans","VAR","learn",4,4,"IRREGULAR"
"s132","humans","VAR","wet",5,5,"REGULAR"
"s132","humans","VAR","weave",6,6,"REGULAR"
"s132","humans","VAR","dream",7,7,"REGULAR"
"s132","humans","VAR","spring",8,8,"IRREGULAR"
"s132","humans","VAR","spell",9,9,"REGULAR"
"s132","humans","VAR","bust",10,10,"REGULAR"
"s132","humans","VAR","drive",11,11,"IRREGULAR"
"s132","humans","VAR","leap",12,12,"IRREGULAR"
"s132","humans","VAR","shrink",13,13,"IRREGULAR"
"s132","humans","VAR","spoil",14,14,"REGULAR"
"s132","humans","VAR","spit",15,15,"REGULAR"
"s132","humans","INVAR","keep",16,1,"IRREGULAR"
"s132","humans","INVAR","lose",17,2,"IRREGULAR"
"s132","humans","INVAR","stand",18,3,"IRREGULAR"
"s132","humans","INVAR","read",19,4,"IRREGULAR"
"s132","humans","INVAR","write",20,5,"IRREGULAR"
"s132","humans","INVAR","sit",21,6,"IRREGULAR"
"s132","humans","INVAR","bring",22,7,"IRREGULAR"
"s132","humans","INVAR","hear",23,8,"IRREGULAR"
"s132","humans","INVAR","hit",24,9,"REGULAR"
"s132","humans","INVAR","hold",25,10,"IRREGULAR"
"s132","humans","INVAR","feel",26,11,"IRREGULAR"
"s132","humans","INVAR","leave",27,12,"IRREGULAR"
"s132","humans","INVAR","find",28,13,"IRREGULAR"
"s132","humans","INVAR","put",29,14,"REGULAR"
"s132","humans","INVAR","give",30,15,"IRREGULAR"
"s133","humans","VAR","learn",1,1,"REGULAR"
"s133","humans","VAR","wet",2,2,"REGULAR"
"s133","humans","VAR","ring",3,3,"REGULAR"
"s133","humans","VAR","lean",4,4,"REGULAR"
"s133","humans","VAR","thrive",5,5,"REGULAR"
"s133","humans","VAR","spell",6,6,"REGULAR"
"s133","humans","VAR","bust",7,7,"REGULAR"
"s133","humans","VAR","spring",8,8,"IRREGULAR"
"s133","humans","VAR","dream",9,9,"REGULAR"
"s133","humans","VAR","weave",10,10,"REGULAR"
"s133","humans","VAR","spoil",11,11,"REGULAR"
"s133","humans","VAR","spit",12,12,"REGULAR"
"s133","humans","VAR","shrink",13,13,"IRREGULAR"
"s133","humans","VAR","leap",14,14,"REGULAR"
"s133","humans","VAR","drive",15,15,"IRREGULAR"
"s133","humans","INVAR","stand",16,1,"IRREGULAR"
"s133","humans","INVAR","read",17,2,"IRREGULAR"
"s133","humans","INVAR","lose",18,3,"IRREGULAR"
"s133","humans","INVAR","write",19,4,"IRREGULAR"
"s133","humans","INVAR","keep",20,5,"IRREGULAR"
"s133","humans","INVAR","hear",21,6,"IRREGULAR"
"s133","humans","INVAR","hit",22,7,"REGULAR"
"s133","humans","INVAR","bring",23,8,"IRREGULAR"
"s133","humans","INVAR","hold",24,9,"IRREGULAR"
"s133","humans","INVAR","sit",25,10,"IRREGULAR"
"s133","humans","INVAR","find",26,11,"IRREGULAR"
"s133","humans","INVAR","put",27,12,"REGULAR"
"s133","humans","INVAR","leave",28,13,"REGULAR"
"s133","humans","INVAR","give",29,14,"IRREGULAR"
"s133","humans","INVAR","feel",30,15,"IRREGULAR"
"s134","humans","VAR","ring",1,1,NA
"s134","humans","VAR","learn",2,2,NA
"s134","humans","VAR","thrive",3,3,"REGULAR"
"s134","humans","VAR","lean",4,4,"IRREGULAR"
"s134","humans","VAR","wet",5,5,"REGULAR"
"s134","humans","VAR","spring",6,6,"IRREGULAR"
"s134","humans","VAR","spell",7,7,"REGULAR"
"s134","humans","VAR","weave",8,8,"REGULAR"
"s134","humans","VAR","dream",9,9,"IRREGULAR"
"s134","humans","VAR","bust",10,10,"REGULAR"
"s134","humans","VAR","shrink",11,11,"IRREGULAR"
"s134","humans","VAR","spoil",12,12,"IRREGULAR"
"s134","humans","VAR","drive",13,13,"IRREGULAR"
"s134","humans","VAR","leap",14,14,"IRREGULAR"
"s134","humans","VAR","spit",15,15,"IRREGULAR"
"s134","humans","INVAR","stand",16,1,"REGULAR"
"s134","humans","INVAR","lose",17,2,"IRREGULAR"
"s134","humans","INVAR","write",18,3,"IRREGULAR"
"s134","humans","INVAR","keep",19,4,"IRREGULAR"
"s134","humans","INVAR","read",20,5,"IRREGULAR"
"s134","humans","INVAR","hear",21,6,"IRREGULAR"
"s134","humans","INVAR","bring",22,7,"IRREGULAR"
"s134","humans","INVAR","hold",23,8,"IRREGULAR"
"s134","humans","INVAR","sit",24,9,"IRREGULAR"
"s134","humans","INVAR","hit",25,10,"REGULAR"
"s134","humans","INVAR","find",26,11,"IRREGULAR"
"s134","humans","INVAR","leave",27,12,"IRREGULAR"
"s134","humans","INVAR","give",28,13,"IRREGULAR"
"s134","humans","INVAR","feel",29,14,"IRREGULAR"
"s134","humans","INVAR","put",30,15,"REGULAR"
"s135","humans","VAR","ring",1,1,"REGULAR"
"s135","humans","VAR","wet",2,2,"REGULAR"
"s135","humans","VAR","learn",3,3,"REGULAR"
"s135","humans","VAR","thrive",4,4,"REGULAR"
"s135","humans","VAR","lean",5,5,"IRREGULAR"
"s135","humans","VAR","spring",6,6,"IRREGULAR"
"s135","humans","VAR","bust",7,7,"REGULAR"
"s135","humans","VAR","spell",8,8,"REGULAR"
"s135","humans","VAR","weave",9,9,"REGULAR"
"s135","humans","VAR","dream",10,10,"REGULAR"
"s135","humans","VAR","shrink",11,11,"IRREGULAR"
"s135","humans","VAR","spit",12,12,"IRREGULAR"
"s135","humans","VAR","spoil",13,13,"REGULAR"
"s135","humans","VAR","drive",14,14,"REGULAR"
"s135","humans","VAR","leap",15,15,"IRREGULAR"
"s135","humans","INVAR","lose",16,1,"IRREGULAR"
"s135","humans","INVAR","keep",17,2,"IRREGULAR"
"s135","humans","INVAR","stand",18,3,"IRREGULAR"
"s135","humans","INVAR","write",19,4,"IRREGULAR"
"s135","humans","INVAR","read",20,5,"IRREGULAR"
"s135","humans","INVAR","bring",21,6,"IRREGULAR"
"s135","humans","INVAR","sit",22,7,"IRREGULAR"
"s135","humans","INVAR","hear",23,8,"IRREGULAR"
"s135","humans","INVAR","hold",24,9,"IRREGULAR"
"s135","humans","INVAR","hit",25,10,"IRREGULAR"
"s135","humans","INVAR","leave",26,11,"IRREGULAR"
"s135","humans","INVAR","feel",27,12,"IRREGULAR"
"s135","humans","INVAR","find",28,13,"IRREGULAR"
"s135","humans","INVAR","give",29,14,"IRREGULAR"
"s135","humans","INVAR","put",30,15,"IRREGULAR"
"s136","humans","VAR","thrive",1,1,"REGULAR"
"s136","humans","VAR","learn",2,2,"REGULAR"
"s136","humans","VAR","wet",3,3,"IRREGULAR"
"s136","humans","VAR","lean",4,4,"REGULAR"
"s136","humans","VAR","ring",5,5,"IRREGULAR"
"s136","humans","VAR","weave",6,6,"REGULAR"
"s136","humans","VAR","spell",7,7,"REGULAR"
"s136","humans","VAR","bust",8,8,"REGULAR"
"s136","humans","VAR","dream",9,9,"IRREGULAR"
"s136","humans","VAR","spring",10,10,"IRREGULAR"
"s136","humans","VAR","drive",11,11,"REGULAR"
"s136","humans","VAR","spoil",12,12,"REGULAR"
"s136","humans","VAR","spit",13,13,"REGULAR"
"s136","humans","VAR","leap",14,14,"IRREGULAR"
"s136","humans","VAR","shrink",15,15,"IRREGULAR"
"s136","humans","INVAR","stand",16,1,"REGULAR"
"s136","humans","INVAR","keep",17,2,"IRREGULAR"
"s136","humans","INVAR","lose",18,3,"IRREGULAR"
"s136","humans","INVAR","write",19,4,"IRREGULAR"
"s136","humans","INVAR","read",20,5,"IRREGULAR"
"s136","humans","INVAR","hear",21,6,"IRREGULAR"
"s136","humans","INVAR","sit",22,7,"IRREGULAR"
"s136","humans","INVAR","bring",23,8,"IRREGULAR"
"s136","humans","INVAR","hold",24,9,"IRREGULAR"
"s136","humans","INVAR","hit",25,10,"IRREGULAR"
"s136","humans","INVAR","find",26,11,"REGULAR"
"s136","humans","INVAR","feel",27,12,"REGULAR"
"s136","humans","INVAR","leave",28,13,"REGULAR"
"s136","humans","INVAR","give",29,14,"IRREGULAR"
"s136","humans","INVAR","put",30,15,"IRREGULAR"
"s137","humans","VAR","wet",1,1,"REGULAR"
"s137","humans","VAR","learn",2,2,"IRREGULAR"
"s137","humans","VAR","thrive",3,3,"REGULAR"
"s137","humans","VAR","lean",4,4,"REGULAR"
"s137","humans","VAR","ring",5,5,"REGULAR"
"s137","humans","VAR","bust",6,6,"REGULAR"
"s137","humans","VAR","spell",7,7,"REGULAR"
"s137","humans","VAR","weave",8,8,"REGULAR"
"s137","humans","VAR","dream",9,9,"REGULAR"
"s137","humans","VAR","spring",10,10,"REGULAR"
"s137","humans","VAR","spit",11,11,"REGULAR"
"s137","humans","VAR","spoil",12,12,"REGULAR"
"s137","humans","VAR","drive",13,13,"REGULAR"
"s137","humans","VAR","leap",14,14,"REGULAR"
"s137","humans","VAR","shrink",15,15,"REGULAR"
"s137","humans","INVAR","lose",16,1,"REGULAR"
"s137","humans","INVAR","keep",17,2,"IRREGULAR"
"s137","humans","INVAR","stand",18,3,"REGULAR"
"s137","humans","INVAR","write",19,4,"REGULAR"
"s137","humans","INVAR","read",20,5,"REGULAR"
"s137","humans","INVAR","bring",21,6,"REGULAR"
"s137","humans","INVAR","sit",22,7,"REGULAR"
"s137","humans","INVAR","hear",23,8,"REGULAR"
"s137","humans","INVAR","hold",24,9,"REGULAR"
"s137","humans","INVAR","hit",25,10,"REGULAR"
"s137","humans","INVAR","leave",26,11,"REGULAR"
"s137","humans","INVAR","feel",27,12,"REGULAR"
"s137","humans","INVAR","find",28,13,"REGULAR"
"s137","humans","INVAR","give",29,14,"REGULAR"
"s137","humans","INVAR","put",30,15,"REGULAR"
"s138","humans","VAR","wet",1,1,"REGULAR"
"s138","humans","VAR","learn",2,2,"REGULAR"
"s138","humans","VAR","thrive",3,3,"REGULAR"
"s138","humans","VAR","ring",4,4,"REGULAR"
"s138","humans","VAR","lean",5,5,"REGULAR"
"s138","humans","VAR","bust",6,6,"REGULAR"
"s138","humans","VAR","spell",7,7,"REGULAR"
"s138","humans","VAR","weave",8,8,"REGULAR"
"s138","humans","VAR","spring",9,9,"IRREGULAR"
"s138","humans","VAR","dream",10,10,"REGULAR"
"s138","humans","VAR","spit",11,11,NA
"s138","humans","VAR","spoil",12,12,"REGULAR"
"s138","humans","VAR","drive",13,13,"IRREGULAR"
"s138","humans","VAR","shrink",14,14,"REGULAR"
"s138","humans","VAR","leap",15,15,"REGULAR"
"s138","humans","INVAR","stand",16,1,"IRREGULAR"
"s138","humans","INVAR","read",17,2,"IRREGULAR"
"s138","humans","INVAR","write",18,3,"IRREGULAR"
"s138","humans","INVAR","keep",19,4,"IRREGULAR"
"s138","humans","INVAR","lose",20,5,"IRREGULAR"
"s138","humans","INVAR","hear",21,6,"IRREGULAR"
"s138","humans","INVAR","hit",22,7,"REGULAR"
"s138","humans","INVAR","hold",23,8,"IRREGULAR"
"s138","humans","INVAR","sit",24,9,"IRREGULAR"
"s138","humans","INVAR","bring",25,10,"IRREGULAR"
"s138","humans","INVAR","find",26,11,NA
"s138","humans","INVAR","put",27,12,"REGULAR"
"s138","humans","INVAR","give",28,13,"IRREGULAR"
"s138","humans","INVAR","feel",29,14,"IRREGULAR"
"s138","humans","INVAR","leave",30,15,"IRREGULAR"
"s139","humans","VAR","wet",1,1,"REGULAR"
"s139","humans","VAR","ring",2,2,"IRREGULAR"
"s139","humans","VAR","lean",3,3,"REGULAR"
"s139","humans","VAR","learn",4,4,"REGULAR"
"s139","humans","VAR","thrive",5,5,"REGULAR"
"s139","humans","VAR","bust",6,6,"REGULAR"
"s139","humans","VAR","spring",7,7,"IRREGULAR"
"s139","humans","VAR","dream",8,8,"REGULAR"
"s139","humans","VAR","spell",9,9,"IRREGULAR"
"s139","humans","VAR","weave",10,10,"REGULAR"
"s139","humans","VAR","spit",11,11,"IRREGULAR"
"s139","humans","VAR","shrink",12,12,"IRREGULAR"
"s139","humans","VAR","leap",13,13,"IRREGULAR"
"s139","humans","VAR","spoil",14,14,"IRREGULAR"
"s139","humans","VAR","drive",15,15,"IRREGULAR"
"s139","humans","INVAR","lose",16,1,"IRREGULAR"
"s139","humans","INVAR","write",17,2,"IRREGULAR"
"s139","humans","INVAR","keep",18,3,"IRREGULAR"
"s139","humans","INVAR","stand",19,4,"IRREGULAR"
"s139","humans","INVAR","read",20,5,"IRREGULAR"
"s139","humans","INVAR","bring",21,6,"IRREGULAR"
"s139","humans","INVAR","hold",22,7,"IRREGULAR"
"s139","humans","INVAR","sit",23,8,"IRREGULAR"
"s139","humans","INVAR","hear",24,9,"IRREGULAR"
"s139","humans","INVAR","hit",25,10,"IRREGULAR"
"s139","humans","INVAR","leave",26,11,"IRREGULAR"
"s139","humans","INVAR","give",27,12,"IRREGULAR"
"s139","humans","INVAR","feel",28,13,"IRREGULAR"
"s139","humans","INVAR","find",29,14,"IRREGULAR"
"s139","humans","INVAR","put",30,15,"IRREGULAR"
"s140","humans","VAR","lean",1,1,"IRREGULAR"
"s140","humans","VAR","learn",2,2,"IRREGULAR"
"s140","humans","VAR","thrive",3,3,"REGULAR"
"s140","humans","VAR","wet",4,4,"IRREGULAR"
"s140","humans","VAR","ring",5,5,"IRREGULAR"
"s140","humans","VAR","dream",6,6,"IRREGULAR"
"s140","humans","VAR","spell",7,7,"IRREGULAR"
"s140","humans","VAR","weave",8,8,"REGULAR"
"s140","humans","VAR","bust",9,9,"REGULAR"
"s140","humans","VAR","spring",10,10,"REGULAR"
"s140","humans","VAR","leap",11,11,"REGULAR"
"s140","humans","VAR","spoil",12,12,"REGULAR"
"s140","humans","VAR","drive",13,13,"IRREGULAR"
"s140","humans","VAR","spit",14,14,"IRREGULAR"
"s140","humans","VAR","shrink",15,15,"REGULAR"
"s140","humans","INVAR","stand",16,1,"IRREGULAR"
"s140","humans","INVAR","lose",17,2,"IRREGULAR"
"s140","humans","INVAR","read",18,3,"IRREGULAR"
"s140","humans","INVAR","write",19,4,"IRREGULAR"
"s140","humans","INVAR","keep",20,5,"IRREGULAR"
"s140","humans","INVAR","hear",21,6,"IRREGULAR"
"s140","humans","INVAR","bring",22,7,"IRREGULAR"
"s140","humans","INVAR","hit",23,8,"REGULAR"
"s140","humans","INVAR","hold",24,9,"REGULAR"
"s140","humans","INVAR","sit",25,10,"REGULAR"
"s140","humans","INVAR","find",26,11,"REGULAR"
"s140","humans","INVAR","leave",27,12,"IRREGULAR"
"s140","humans","INVAR","put",28,13,"IRREGULAR"
"s140","humans","INVAR","give",29,14,"IRREGULAR"
"s140","humans","INVAR","feel",30,15,"IRREGULAR"
"s141","humans","VAR","learn",1,1,"REGULAR"
"s141","humans","VAR","ring",2,2,"IRREGULAR"
"s141","humans","VAR","lean",3,3,"IRREGULAR"
"s141","humans","VAR","wet",4,4,"REGULAR"
"s141","humans","VAR","thrive",5,5,"REGULAR"
"s141","humans","VAR","spell",6,6,"IRREGULAR"
"s141","humans","VAR","spring",7,7,"IRREGULAR"
"s141","humans","VAR","dream",8,8,"IRREGULAR"
"s141","humans","VAR","bust",9,9,"REGULAR"
"s141","humans","VAR","weave",10,10,"IRREGULAR"
"s141","humans","VAR","spoil",11,11,"REGULAR"
"s141","humans","VAR","shrink",12,12,"IRREGULAR"
"s141","humans","VAR","leap",13,13,"REGULAR"
"s141","humans","VAR","spit",14,14,"REGULAR"
"s141","humans","VAR","drive",15,15,"IRREGULAR"
"s141","humans","INVAR","keep",16,1,"IRREGULAR"
"s141","humans","INVAR","write",17,2,"IRREGULAR"
"s141","humans","INVAR","stand",18,3,"IRREGULAR"
"s141","humans","INVAR","lose",19,4,"IRREGULAR"
"s141","humans","INVAR","read",20,5,"IRREGULAR"
"s141","humans","INVAR","sit",21,6,"IRREGULAR"
"s141","humans","INVAR","hold",22,7,"IRREGULAR"
"s141","humans","INVAR","hear",23,8,"IRREGULAR"
"s141","humans","INVAR","bring",24,9,"IRREGULAR"
"s141","humans","INVAR","hit",25,10,"IRREGULAR"
