"participant","conformed","peerCondition","variableItem","item","trialNumber","trialInBlock"
"s130",FALSE,"humans","VAR","learn",1,1
"s130",FALSE,"humans","VAR","ring",2,2
"s130",FALSE,"humans","VAR","lean",3,3
"s130",TRUE,"humans","VAR","wet",4,4
"s130",TRUE,"humans","VAR","thrive",5,5
"s130",FALSE,"humans","VAR","spell",6,6
"s130",FALSE,"humans","VAR","spring",7,7
"s130",FALSE,"humans","VAR","dream",8,8
"s130",TRUE,"humans","VAR","bust",9,9
"s130",FALSE,"humans","VAR","weave",10,10
"s130",TRUE,"humans","VAR","spoil",11,11
"s130",FALSE,"humans","VAR","shrink",12,12
"s130",FALSE,"humans","VAR","leap",13,13
"s130",FALSE,"humans","VAR","spit",14,14
"s130",FALSE,"humans","VAR","drive",15,15
"s130",FALSE,"humans","INVAR","write",16,1
"s130",FALSE,"humans","INVAR","lose",17,2
"s130",FALSE,"humans","INVAR","keep",18,3
"s130",FALSE,"humans","INVAR","read",19,4
"s130",FALSE,"humans","INVAR","stand",20,5
"s130",FALSE,"humans","INVAR","hold",21,6
"s130",FALSE,"humans","INVAR","bring",22,7
"s130",FALSE,"humans","INVAR","sit",23,8
"s130",TRUE,"humans","INVAR","hit",24,9
"s130",FALSE,"humans","INVAR","hear",25,10
"s130",FALSE,"humans","INVAR","give",26,11
"s130",FALSE,"humans","INVAR","leave",27,12
"s130",FALSE,"humans","INVAR","feel",28,13
"s130",FALSE,"humans","INVAR","put",29,14
"s130",FALSE,"humans","INVAR","find",30,15
"s131",FALSE,"humans","VAR","learn",1,1
"s131",FALSE,"humans","VAR","ring",2,2
"s131",FALSE,"humans","VAR","lean",3,3
"s131",TRUE,"humans","VAR","thrive",4,4
"s131",TRUE,"humans","VAR","wet",5,5
"s131",FALSE,"humans","VAR","spell",6,6
"s131",FALSE,"humans","VAR","spring",7,7
"s131",FALSE,"humans","VAR","dream",8,8
"s131",TRUE,"humans","VAR","weave",9,9
"s131",TRUE,"humans","VAR","bust",10,10
"s131",FALSE,"humans","VAR","spoil",11,11
"s131",FALSE,"humans","VAR","shrink",12,12
"s131",FALSE,"humans","VAR","leap",13,13
"s131",FALSE,"humans","VAR","drive",14,14
"s131",TRUE,"humans","VAR","spit",15,15
"s131",FALSE,"humans","INVAR","keep",16,1
"s131",FALSE,"humans","INVAR","lose",17,2
"s131",FALSE,"humans","INVAR","write",18,3
"s131",FALSE,"humans","INVAR","stand",19,4
"s131",FALSE,"humans","INVAR","read",20,5
"s131",FALSE,"humans","INVAR","sit",21,6
"s131",FALSE,"humans","INVAR","bring",22,7
"s131",FALSE,"humans","INVAR","hold",23,8
"s131",FALSE,"humans","INVAR","hear",24,9
"s131",TRUE,"humans","INVAR","hit",25,10
"s131",FALSE,"humans","INVAR","feel",26,11
"s131",NA,"humans","INVAR","leave",27,12
"s131",FALSE,"humans","INVAR","give",28,13
"s131",FALSE,"humans","INVAR","find",29,14
"s131",TRUE,"humans","INVAR","put",30,15
"s132",TRUE,"humans","VAR","thrive",1,1
"s132",TRUE,"humans","VAR","lean",2,2
"s132",FALSE,"humans","VAR","ring",3,3
"s132",FALSE,"humans","VAR","learn",4,4
"s132",TRUE,"humans","VAR","wet",5,5
"s132",TRUE,"humans","VAR","weave",6,6
"s132",TRUE,"humans","VAR","dream",7,7
"s132",FALSE,"humans","VAR","spring",8,8
"s132",TRUE,"humans","VAR","spell",9,9
"s132",TRUE,"humans","VAR","bust",10,10
"s132",FALSE,"humans","VAR","drive",11,11
"s132",FALSE,"humans","VAR","leap",12,12
"s132",FALSE,"humans","VAR","shrink",13,13
"s132",TRUE,"humans","VAR","spoil",14,14
"s132",TRUE,"humans","VAR","spit",15,15
"s132",FALSE,"humans","INVAR","keep",16,1
"s132",FALSE,"humans","INVAR","lose",17,2
"s132",FALSE,"humans","INVAR","stand",18,3
"s132",FALSE,"humans","INVAR","read",19,4
"s132",FALSE,"humans","INVAR","write",20,5
"s132",FALSE,"humans","INVAR","sit",21,6
"s132",FALSE,"humans","INVAR","bring",22,7
"s132",FALSE,"humans","INVAR","hear",23,8
"s132",TRUE,"humans","INVAR","hit",24,9
"s132",FALSE,"humans","INVAR","hold",25,10
