"ID","income","languageStatus","gender","education"
"s123",49039.58,"L2","M","PhD"
"s119",45439.08,"L1","M","PhD"
"s13",44808.54,"L1","M","PhD"
"s173",44548.78,"L1","M","BA"
"s139",43494.61,"L1","M","BA"
"s11",43213.18,"L1","M","BA"
"s21",42975.28,"L1","F","PhD"
"s187",42861.29,"L1","M","PhD"
"s88",42093.51,"L2","F","PhD"
"s177",41936.11,"L1","M","BA"
"s159",41526.11,"L1","M","BA"
"s151",40982.71,"L1","M","PhD"
"s9",40958.34,"L2","F","MA"
"s167",40069.33,"L1","M","MA"
"s101",39934.44,"L1","M","MA"
"s3",39912.46,"L1","F","PhD"
"s185",39850.31,"L1","M","MA"
"s61",39671.49,"L1","F","PhD"
"s97",39500.86,"L1","M","MA"
"s95",39291.16,"L1","M","MA"
"s47",38924.5,"L1","F","BA"
"s109",38491.67,"L1","M","BA"
"s58",38486.98,"L2","F","PhD"
"s121",38428.83,"L1","M","MA"
"s41",38317.21,"L1","F","MA"
"s37",38260.28,"L1","M","BA"
"s116",38237.56,"L2","M","PhD"
"s77",38218.88,"L1","F","BA"
"s53",38208.54,"L2","F","MA"
"s93",38113.32,"L1","F","BA"
"s15",38088.65,"L1","M","PhD"
"s19",37770.71,"L1","M","MA"
"s183",37733.11,"L1","M","BA"
"s91",37693.94,"L1","F","PhD"
"s195",37653.06,"L1","M","BA"
"s191",37629.39,"L1","F","BA"
"s110",37617.23,"L2","M","BA"
"s127",37348.15,"L1","M","MA"
"s5",36959.22,"L1","F","PhD"
"s27",36824.31,"L1","F","MA"
"s63",36605.05,"L1","F","MA"
"s4",36332.64,"L2","F","BA"
"s30",36242.54,"L2","F","MA"
"s25",36162.22,"L1","F","BA"
"s32",36158.32,"L2","F","BA"
"s145",35997.35,"L1","F","MA"
"s163",35826.75,"L1","M","PhD"
"s35",35781.78,"L1","F","BA"
"s71",35714.39,"L1","F","BA"
"s40",35603.87,"L2","F","BA"
"s67",35487.27,"L1","F","MA"
"s42",35392.58,"L2","F","PhD"
"s175",35283.17,"L1","M","BA"
"s147",35179.08,"L1","M","BA"
"s75",35165.74,"L1","F","BA"
"s189",35071.72,"L1","M","BA"
"s115",35051.31,"L1","M","BA"
"s143",34934.62,"L1","M","PhD"
"s161",34912.54,"L1","M","MA"
"s96",34795.81,"L2","F","BA"
"s89",34605.29,"L1","F","BA"
"s26",34598.18,"L2","F","MA"
"s22",34406.72,"L2","F","BA"
"s38",34344.41,"L2","F","BA"
"s86",34241.1,"L2","F","BA"
"s197",34155.6,"L1","M","BA"
"s181",34138.71,"L1","M","MA"
"s2",34102.63,"L2","F","MA"
"s51",34093.61,"L1","F","BA"
"s65",34059.62,"L1","F","BA"
"s137",34036.23,"L1","M","BA"
"s154",33827.57,"L2","M","BA"
"s56",33661.95,"L2","F","BA"
"s105",33534.62,"L1","M","PhD"
"s94",33510.93,"L2","M","BA"
"s133",33499.78,"L1","M","BA"
"s153",33428.3,"L1","M","MA"
"s50",33337.95,"L2","F","BA"
"s69",33282.51,"L1","F","BA"
"s73",33216.08,"L1","F","MA"
"s169",33185.59,"L1","M","BA"
"s45",33164.69,"L1","F","BA"
"s10",33069.76,"L2","M","BA"
"s107",33013.05,"L1","M","BA"
"s179",32985.8,"L1","M","BA"
"s198",32975.32,"L2","F","BA"
"s49",32962.02,"L1","F","BA"
"s144",32958.61,"L2","M","MA"
"s178",32902.17,"L2","M","BA"
"s200",32840.91,"L2","F","BA"
"s6",32684.68,"L2","F","MA"
"s157",32683.18,"L1","M","BA"
"s39",32459.63,"L1","F","BA"
"s34",32300.56,"L2","F","BA"
"s129",32265.29,"L1","M","MA"
"s141",32175.65,"L1","M","BA"
"s59",32085.17,"L1","F","BA"
"s149",32057.33,"L1","M","BA"
"s99",31927.94,"L1","F","PhD"
"s81",31914.45,"L1","F","MA"
"s126",31877.75,"L2","M","BA"
"s171",31690.58,"L1","M","PhD"
"s20",31601.22,"L2","F","BA"
"s52",31579.04,"L2","M","BA"
"s148",31232.25,"L2","M","MA"
"s62",31225.61,"L2","F","BA"
"s135",31209.89,"L1","M","BA"
"s125",31002.99,"L1","M","BA"
"s43",31000.18,"L1","F","BA"
"s68",30885.93,"L2","M","MA"
"s12",30877.46,"L2","M","MA"
"s24",30812.17,"L2","F","BA"
"s23",30770.53,"L1","F","BA"
"s113",30677.95,"L1","M","PhD"
"s82",30637.49,"L2","F","BA"
"s28",30636.91,"L2","M","BA"
"s29",30607.61,"L1","F","BA"
"s182",30585.65,"L2","M","BA"
"s162",30507.72,"L2","F","BA"
"s146",30489.77,"L2","M","MA"
"s33",30442.49,"L1","F","PhD"
"s60",30346.03,"L2","F","BA"
"s1",30203,"L1","M","BA"
"s72",30170.4,"L2","F","BA"
"s31",30134.04,"L1","F","BA"
"s170",30132.38,"L2","F","PhD"
"s152",30033.64,"L2","F","BA"
"s54",29892.94,"L2","F","MA"
"s192",29716.79,"L2","F","MA"
"s155",29710.91,"L1","F","BA"
"s46",29445.42,"L2","F","BA"
"s8",29350.83,"L2","F","BA"
"s122",29307.92,"L2","M","BA"
"s186",29208.31,"L2","F","MA"
"s124",28964.66,"L2","M","MA"
"s104",28886.13,"L2","M","MA"
"s130",28807.77,"L2","M","MA"
"s138",28736.19,"L2","M","MA"
"s18",28529.35,"L2","F","BA"
"s79",28320.7,"L1","F","BA"
"s160",28294.81,"L2","F","MA"
"s172",28093.57,"L2","F","BA"
"s117",28046.44,"L1","M","BA"
"s80",27862.69,"L2","F","BA"
"s103",27856.14,"L1","M","MA"
"s16",27809.28,"L2","F","BA"
"s184",27758.26,"L2","M","BA"
"s136",27703.91,"L2","M","BA"
"s87",27631.96,"L1","F","BA"
"s193",27597.66,"L1","F","MA"
"s85",27449.62,"L1","F","BA"
"s174",27383.29,"L2","F","BA"
"s36",27370.96,"L2","F","BA"
"s7",27290.17,"L1","F","BA"
"s98",27194.26,"L2","F","BA"
"s70",27044.25,"L2","F","BA"
"s131",26950.17,"L1","M","BA"
"s64",26902.39,"L2","F","BA"
"s158",26890.26,"L2","F","BA"
"s112",26881.66,"L2","M","BA"
"s168",26854.07,"L2","F","BA"
"s140",26766.9,"L2","M","BA"
"s102",26737.73,"L2","M","BA"
"s150",26733.58,"L2","M","BA"
"s92",26634.72,"L2","F","BA"
"s90",26544.5,"L2","F","BA"
"s132",26367.31,"L2","M","BA"
"s165",26352.83,"L1","F","MA"
"s48",26226.92,"L2","F","MA"
"s134",26174.79,"L2","M","MA"
"s57",26038.89,"L1","F","BA"
"s111",26034.27,"L1","M","BA"
"s66",25756.95,"L2","F","BA"
"s199",25692.3,"L1","F","BA"
"s166",25656.58,"L2","F","BA"
"s118",25485.22,"L2","M","BA"
"s180",25465.62,"L2","F","BA"
"s78",25217.28,"L2","F","BA"
"s120",24951.57,"L2","M","BA"
"s188",24862.32,"L2","F","BA"
"s128",24505.74,"L2","M","BA"
"s190",24474.95,"L2","F","MA"
"s194",24199.59,"L2","M","MA"
"s176",24193.81,"L2","F","BA"
