"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Female",1990,"pretest","quinked","quank","sang","sensible",0.731,"increase",0.569,"quank",FALSE,"s6108"
"Female",1990,"pretest","splinked","splank","sang","sensible",0.731,"increase",0.49,"splinked",TRUE,"s6108"
"Female",1990,"pretest","trined","trone","drove","sensible",0.731,"increase",0.614,"trined",TRUE,"s6108"
"Female",1990,"pretest","zimmed","zam","sang","sensible",0.731,"increase",0.733,"zam",FALSE,"s6108"
"Female",1990,"posttest","klited","klote","drove","sensible",0.731,"increase",0.554,"klited",TRUE,"s6108"
"Female",1990,"pretest","slived","slove","drove","sensible",0.731,"increase",0.49,"slove",FALSE,"s6108"
"Female",1990,"pretest","frimmed","fram","sang","sensible",0.731,"increase",0.708,"frimmed",TRUE,"s6108"
"Female",1990,"pretest","splived","splove","drove","sensible",0.731,"increase",0.421,"splived",TRUE,"s6108"
"Female",1990,"pretest","hurned","hurnt","burnt","sensible",0.731,"increase",0.713,"hurned",TRUE,"s6108"
"Female",1990,"posttest","shreeped","shrept","kept","sensible",0.731,"increase",0.46,"shreeped",TRUE,"s6108"
"Female",1990,"posttest","threlled","threlt","burnt","sensible",0.731,"increase",0.653,"threlled",TRUE,"s6108"
"Female",1990,"pretest","stelled","stelt","burnt","sensible",0.731,"increase",0.644,"stelled",TRUE,"s6108"
"Female",1990,"posttest","brived","brove","drove","sensible",0.731,"increase",0.391,"brove",FALSE,"s6108"
"Female",1990,"pretest","glinged","glang","sang","sensible",0.731,"increase",0.584,"glang",FALSE,"s6108"
"Female",1990,"pretest","jinked","jank","sang","sensible",0.731,"increase",0.614,"jank",FALSE,"s6108"
"Female",1990,"pretest","dwinked","dwank","sang","sensible",0.731,"increase",0.431,"dwank",FALSE,"s6108"
"Female",1990,"pretest","blided","blode","drove","sensible",0.731,"increase",0.515,"blode",FALSE,"s6108"
"Female",1990,"posttest","schmined","schmone","drove","sensible",0.731,"increase",0.703,"schmined",TRUE,"s6108"
"Female",1990,"posttest","sninked","snank","sang","sensible",0.731,"increase",0.421,"snank",FALSE,"s6108"
"Female",1990,"posttest","skrilled","skrilt","burnt","sensible",0.731,"increase",0.733,"skrilled",TRUE,"s6108"
"Female",1990,"posttest","squided","squode","drove","sensible",0.731,"increase",0.406,"squode",FALSE,"s6108"
"Female",1990,"pretest","minged","mang","sang","sensible",0.731,"increase",0.639,"mang",FALSE,"s6108"
"Female",1990,"posttest","vurned","vurnt","burnt","sensible",0.731,"increase",0.668,"vurned",TRUE,"s6108"
"Female",1990,"pretest","vrited","vrote","drove","sensible",0.731,"increase",0.366,"vrited",TRUE,"s6108"
"Female",1990,"pretest","trelled","trelt","burnt","sensible",0.731,"increase",0.678,"trelled",TRUE,"s6108"
"Female",1990,"pretest","sneened","snent","kept","sensible",0.731,"increase",0.698,"snent",FALSE,"s6108"
"Female",1990,"posttest","jeemed","jemt","kept","sensible",0.731,"increase",0.723,"jeemed",TRUE,"s6108"
"Female",1990,"pretest","shringed","shrang","sang","sensible",0.731,"increase",0.46,"shringed",TRUE,"s6108"
"Female",1990,"pretest","twelled","twelt","burnt","sensible",0.731,"increase",0.559,"twelled",TRUE,"s6108"
