"income","exam","languageStatus","colour"
30203,70.9,"L1","blue"
34102.63,66.9,"L2","red"
39912.46,75.9,"L1","blue"
36332.64,70,"L2","red"
36959.22,66.3,"L1","blue"
32684.68,72.5,"L2","red"
27290.17,55.6,"L1","blue"
29350.83,70.8,"L2","red"
40958.34,79,"L1","blue"
33069.76,54.7,"L2","red"
43213.18,92.4,"L1","blue"
30877.46,66.4,"L2","red"
44808.54,76.3,"L1","blue"
23415.72,55.3,"L2","red"
38088.65,71.2,"L1","blue"
27809.28,81.5,"L2","red"
23837.45,53.6,"L1","blue"
28529.35,80.3,"L2","red"
37770.71,69.2,"L1","blue"
31601.22,69.9,"L2","red"
42975.28,89.4,"L1","blue"
34406.72,51,"L2","red"
30770.53,69.9,"L1","blue"
30812.17,66.6,"L2","red"
36162.22,75.1,"L1","blue"
34598.18,58.5,"L2","red"
36824.31,62.3,"L1","blue"
30636.91,77.4,"L2","red"
30607.61,58.2,"L1","blue"
36242.54,92.7,"L2","red"
30134.04,55,"L1","blue"
36158.32,82.7,"L2","red"
30442.49,62.5,"L1","blue"
32300.56,56.9,"L2","red"
35781.78,83.4,"L1","blue"
27370.96,77.8,"L2","red"
38260.28,66.9,"L1","blue"
34344.41,69.9,"L2","red"
32459.63,65.7,"L1","blue"
35603.87,75,"L2","red"
38317.21,69.2,"L1","blue"
35392.58,75.9,"L2","red"
31000.18,68,"L1","blue"
23698.52,62.8,"L2","red"
33164.69,58.2,"L1","blue"
29445.42,58.5,"L2","red"
38924.5,72.9,"L1","blue"
26226.92,61.6,"L2","red"
32962.02,54.1,"L1","blue"
33337.95,61.1,"L2","red"
34093.61,76,"L1","blue"
31579.04,49.1,"L2","red"
38208.54,91,"L1","blue"
29892.94,53.9,"L2","red"
18103.52,35.3,"L1","blue"
33661.95,68.8,"L2","red"
26038.89,44.6,"L1","blue"
38486.98,64,"L2","red"
32085.17,52.9,"L1","blue"
30346.03,63.4,"L2","red"
39671.49,83,"L1","blue"
31225.61,73.4,"L2","red"
36605.05,61.8,"L1","blue"
26902.39,52.2,"L2","red"
34059.62,59.9,"L1","blue"
25756.95,70.8,"L2","red"
35487.27,67.5,"L1","blue"
30885.93,59.5,"L2","red"
33282.51,45.1,"L1","blue"
27044.25,30.4,"L2","red"
35714.39,55.6,"L1","blue"
30170.4,54.2,"L2","red"
33216.08,46.3,"L1","blue"
21463.86,40,"L2","red"
35165.74,62.7,"L1","blue"
23424.13,44.5,"L2","red"
38218.88,80.5,"L1","blue"
25217.28,52.4,"L2","red"
28320.7,62.9,"L1","blue"
27862.69,76.5,"L2","red"
31914.45,73.6,"L1","blue"
30637.49,74.9,"L2","red"
16834.64,39.5,"L1","blue"
23487.8,30.6,"L2","red"
27449.62,53.7,"L1","blue"
34241.1,60.2,"L2","red"
27631.96,69.2,"L1","blue"
42093.51,68.4,"L2","red"
34605.29,43.1,"L1","blue"
26544.5,56.6,"L2","red"
37693.94,74.4,"L1","blue"
26634.72,48.5,"L2","red"
38113.32,58.7,"L1","blue"
