"ID","income","exam","languageStatus","gender","education"
"s83",16834.64,39.5,"L1","F","BA"
"s142",17254.3,63.1,"L2","M","MA"
"s55",18103.52,35.3,"L1","F","BA"
"s156",18634.86,60,"L1","F","BA"
"s114",19777.34,61.6,"L2","M","PhD"
"s108",20287.37,79.9,"L2","M","BA"
"s106",21317.39,52.1,"L2","M","BA"
"s74",21463.86,40,"L1","M","BA"
"s196",22950.07,63.1,"L2","F","BA"
"s100",23001.89,51.3,"L2","M","BA"
"s14",23415.72,55.3,"L2","M","BA"
"s76",23424.13,44.5,"L1","F","BA"
"s84",23487.8,30.6,"L2","F","MA"
"s44",23698.52,62.8,"L2","M","BA"
"s17",23837.45,53.6,"L1","F","BA"
"s164",23984.86,53.5,"L2","M","BA"
"s176",24193.81,55,"L2","F","BA"
"s194",24199.59,52,"L2","M","MA"
"s190",24474.95,66.5,"L2","F","MA"
"s128",24505.74,73.2,"L2","M","BA"
"s188",24862.32,80.3,"L2","F","BA"
"s120",24951.57,61.4,"L2","M","BA"
"s78",25217.28,52.4,"L2","F","BA"
"s180",25465.62,38.6,"L2","F","BA"
"s118",25485.22,36.1,"L2","M","BA"
"s166",25656.58,83.6,"L2","F","BA"
"s199",25692.3,47.4,"L1","F","BA"
"s66",25756.95,70.8,"L2","F","BA"
"s111",26034.27,67.5,"L1","M","BA"
"s57",26038.89,44.6,"L1","F","BA"
"s134",26174.79,82.8,"L2","M","MA"
"s48",26226.92,61.6,"L2","F","MA"
"s165",26352.83,43.6,"L1","F","MA"
"s132",26367.31,72,"L2","M","BA"
"s90",26544.5,56.6,"L2","F","BA"
"s92",26634.72,48.5,"L2","F","BA"
"s150",26733.58,59.2,"L2","M","BA"
"s102",26737.73,78.8,"L2","M","BA"
"s140",26766.9,63.6,"L2","M","BA"
"s168",26854.07,70.8,"L2","F","BA"
"s112",26881.66,59.6,"L2","M","BA"
"s158",26890.26,74.8,"L2","F","BA"
"s64",26902.39,52.2,"L2","M","BA"
"s131",26950.17,30.4,"L1","M","BA"
"s70",27044.25,30.4,"L2","F","BA"
"s98",27194.26,56.6,"L2","F","BA"
"s7",27290.17,55.6,"L1","F","BA"
"s36",27370.96,77.8,"L2","F","BA"
