"ID","income","languageStatus","languageColour","gender"
"s122",29307.92,"L2","red","M"
"s64",26902.39,"L2","red","F"
"s178",32902.17,"L2","red","M"
"s46",29445.42,"L2","red","F"
"s183",37733.11,"L1","blue","M"
"s171",31690.58,"L1","blue","F"
"s41",38317.21,"L1","blue","F"
"s42",35392.58,"L2","red","F"
"s165",26352.83,"L1","blue","F"
"s106",21317.39,"L2","red","M"
"s135",31209.89,"L1","blue","M"
"s198",32975.32,"L2","red","F"
"s39",32459.63,"L1","blue","F"
"s67",35487.27,"L1","blue","F"
"s137",34036.23,"L1","blue","M"
"s48",26226.92,"L2","red","F"
"s128",24505.74,"L2","red","M"
"s8",29350.83,"L2","red","F"
"s61",39671.49,"L1","blue","F"
"s93",38113.32,"L1","blue","F"
"s181",34138.71,"L1","blue","M"
"s155",29710.91,"L1","blue","F"
"s65",34059.62,"L1","blue","F"
"s63",36605.05,"L1","blue","F"
"s195",37653.06,"L1","blue","M"
"s80",27862.69,"L2","red","F"
"s92",26634.72,"L2","red","F"
"s18",28529.35,"L2","red","F"
"s187",42861.29,"L1","blue","M"
"s173",44548.78,"L1","blue","M"
"s188",24862.32,"L2","red","F"
"s129",32265.29,"L1","blue","M"
"s58",38486.98,"L2","red","F"
"s95",39291.16,"L1","blue","F"
"s107",33013.05,"L1","blue","M"
"s154",33827.57,"L2","red","M"
"s16",27809.28,"L2","red","F"
"s157",32683.18,"L1","blue","M"
"s23",30770.53,"L1","blue","F"
"s34",32300.56,"L2","red","F"
"s169",33185.59,"L1","blue","M"
"s104",28886.13,"L2","red","M"
"s43",31000.18,"L1","blue","F"
"s73",33216.08,"L1","blue","F"
"s62",31225.61,"L2","red","F"
"s56",33661.95,"L2","red","F"
"s131",26950.17,"L1","blue","M"
"s193",27597.66,"L1","blue","F"
"s14",23415.72,"L2","red","M"
"s163",35826.75,"L1","blue","M"
"s90",26544.5,"L2","red","F"
"s27",36824.31,"L1","blue","F"
"s89",34605.29,"L1","blue","F"
"s78",25217.28,"L2","red","F"
"s26",34598.18,"L2","red","F"
"s72",30170.4,"L2","red","F"
"s114",19777.34,"L2","red","M"
"s167",40769.33,"L1","blue","M"
"s153",33428.3,"L1","blue","M"
"s190",24474.95,"L2","red","F"
"s19",37770.71,"L1","blue","M"
"s144",32958.61,"L2","red","M"
"s47",38924.5,"L1","blue","F"
"s40",35603.87,"L2","red","F"
"s25",36162.22,"L1","blue","F"
"s29",30607.61,"L1","blue","F"
"s175",35283.17,"L1","blue","M"
"s74",21463.86,"L2","red","F"
"s13",44808.54,"L1","blue","M"
"s11",43213.18,"L1","blue","M"
"s108",20287.37,"L2","red","M"
"s87",27631.96,"L1","blue","F"
"s20",31601.22,"L2","red","F"
"s177",41936.11,"L1","blue","M"
"s7",27290.17,"L1","blue","F"
"s21",42975.28,"L1","blue","F"
"s1",30203,"L1","blue","M"
"s158",26890.26,"L2","red","F"
"s86",34241.1,"L2","red","F"
"s68",30885.93,"L2","red","F"
"s45",33164.69,"L1","blue","F"
"s54",29892.94,"L2","red","F"
"s71",35714.39,"L1","blue","F"
"s44",23698.52,"L2","red","F"
"s102",26737.73,"L2","red","M"
"s123",49039.58,"L1","blue","M"
"s85",27449.62,"L1","blue","F"
"s124",28964.66,"L2","red","M"
"s99",31927.94,"L1","blue","F"
"s103",27856.14,"L1","blue","M"
"s150",26733.58,"L2","red","F"
"s143",34934.62,"L1","blue","M"
"s192",29716.79,"L2","red","F"
"s180",25465.62,"L2","red","F"
"s132",26367.31,"L2","red","M"
"s184",27758.26,"L2","red","F"
"s115",35051.31,"L1","blue","M"
"s186",29208.31,"L2","red","F"
"s119",45439.08,"L1","blue","M"
"s53",38208.54,"L1","blue","F"
"s160",28294.81,"L2","red","F"
"s121",38428.83,"L1","blue","M"
"s149",32057.33,"L1","blue","M"
"s105",33534.62,"L1","blue","M"
"s196",22950.07,"L2","red","F"
"s5",36959.22,"L1","blue","F"
"s125",31002.99,"L1","blue","M"
"s117",28046.44,"L1","blue","M"
"s148",31232.25,"L2","red","M"
"s15",38088.65,"L1","blue","M"
"s60",30346.03,"L2","red","F"
"s76",23424.13,"L2","red","F"
"s33",30442.49,"L1","blue","F"
"s79",28320.7,"L1","blue","F"
"s37",38260.28,"L1","blue","F"
"s127",37348.15,"L1","blue","M"
"s110",37617.23,"L2","red","M"
"s151",40982.71,"L1","blue","M"
"s176",24193.81,"L2","red","F"
"s98",27194.26,"L2","red","F"
"s164",23984.86,"L2","red","F"
"s69",33282.51,"L1","blue","F"
"s118",25485.22,"L2","red","M"
"s30",36242.54,"L2","red","F"
"s91",37693.94,"L1","blue","F"
"s138",28736.19,"L2","red","M"
"s162",30507.72,"L2","red","F"
"s139",43494.61,"L1","blue","M"
"s126",31877.75,"L2","red","M"
"s59",32085.17,"L1","blue","F"
"s113",30677.95,"L1","blue","M"
"s9",40958.34,"L1","blue","F"
"s133",33499.78,"L1","blue","M"
"s51",34093.61,"L1","blue","F"
"s10",33069.76,"L2","red","M"
"s141",32175.65,"L1","blue","M"
"s109",38491.67,"L1","blue","M"
"s156",18634.86,"L2","red","F"
"s22",34406.72,"L2","red","F"
"s88",42093.51,"L2","red","F"
"s159",41526.11,"L1","blue","M"
"s170",30132.38,"L2","red","F"
"s172",28093.57,"L2","red","F"
"s189",35071.72,"L1","blue","M"
"s174",27383.29,"L2","red","F"
"s182",30585.65,"L2","red","F"
"s197",34155.6,"L1","blue","M"
"s96",34795.81,"L2","red","F"
"s35",35781.78,"L1","blue","F"
"s28",30636.91,"L2","red","F"
"s38",34344.41,"L2","red","F"
"s111",26034.27,"L1","blue","M"
"s191",37629.39,"L1","blue","M"
"s136",27703.91,"L2","red","M"
"s152",30033.64,"L2","red","F"
"s4",36332.64,"L2","red","F"
"s142",17254.3,"L2","red","M"
"s50",33337.95,"L2","red","F"
"s75",35165.74,"L1","blue","F"
"s57",26038.89,"L1","blue","F"
"s32",36158.32,"L2","red","F"
"s100",23001.89,"L2","red","M"
"s94",33510.93,"L2","red","F"
"s24",30812.17,"L2","red","F"
"s6",32684.68,"L2","red","F"
"s199",25692.3,"L1","blue","F"
"s82",30637.49,"L2","red","F"
"s145",35997.35,"L1","blue","M"
"s97",39500.86,"L1","blue","F"
"s120",24951.57,"L2","red","M"
"s194",24199.59,"L2","red","F"
"s3",39912.46,"L1","blue","F"
"s112",26881.66,"L2","red","M"
"s77",38218.88,"L1","blue","F"
"s17",23837.45,"L1","blue","F"
"s116",38237.56,"L2","red","M"
"s49",32962.02,"L1","blue","F"
"s179",32985.8,"L1","blue","M"
"s66",25756.95,"L2","red","F"
"s147",35179.08,"L1","blue","M"
"s84",23487.8,"L2","red","F"
"s81",31914.45,"L1","blue","F"
"s134",26174.79,"L2","red","M"
"s12",30877.46,"L2","red","M"
"s130",28807.77,"L2","red","M"
"s166",25656.58,"L2","red","F"
"s146",30489.77,"L2","red","M"
"s36",27370.96,"L2","red","F"
"s161",34912.54,"L1","blue","M"
"s52",31579.04,"L2","red","F"
"s70",27044.25,"L2","red","F"
"s83",16834.64,"L1","blue","F"
"s168",26854.07,"L2","red","F"
"s55",18103.52,"L1","blue","F"
"s31",30134.04,"L1","blue","F"
"s101",39934.44,"L1","blue","M"
"s140",26766.9,"L2","red","M"
"s200",32840.91,"L2","red","F"
"s185",39850.31,"L1","blue","M"
"s2",34102.63,"L2","red","F"
