"ID","income","languageStatus","gender","education"
"s83",16834.64,"L1","F","BA"
"s142",17254.3,"L2","M","MA"
"s55",18103.52,"L1","F","BA"
"s156",18634.86,"L1","F","BA"
"s114",19777.34,"L2","M","PhD"
"s108",20287.37,"L2","M","BA"
"s106",21317.39,"L2","M","BA"
"s74",21463.86,"L1","M","BA"
"s196",22950.07,"L2","F","BA"
"s100",23001.89,"L2","M","BA"
"s14",23415.72,"L2","M","BA"
"s76",23424.13,"L1","F","BA"
"s84",23487.8,"L2","F","MA"
"s44",23698.52,"L2","M","BA"
"s17",23837.45,"L1","F","BA"
"s164",23984.86,"L2","M","BA"
"s176",24193.81,"L2","F","BA"
"s194",24199.59,"L2","M","MA"
"s190",24474.95,"L2","F","MA"
"s128",24505.74,"L2","M","BA"
"s188",24862.32,"L2","F","BA"
"s120",24951.57,"L2","M","BA"
"s78",25217.28,"L2","F","BA"
"s180",25465.62,"L2","F","BA"
"s118",25485.22,"L2","M","BA"
"s166",25656.58,"L2","F","BA"
"s199",25692.3,"L1","F","BA"
"s66",25756.95,"L2","F","BA"
"s111",26034.27,"L1","M","BA"
"s57",26038.89,"L1","F","BA"
"s134",26174.79,"L2","M","MA"
"s48",26226.92,"L2","F","MA"
"s165",26352.83,"L1","F","MA"
"s132",26367.31,"L2","M","BA"
"s90",26544.5,"L2","F","BA"
"s92",26634.72,"L2","F","BA"
"s150",26733.58,"L2","M","BA"
"s102",26737.73,"L2","M","BA"
"s140",26766.9,"L2","M","BA"
"s168",26854.07,"L2","F","BA"
"s112",26881.66,"L2","M","BA"
"s158",26890.26,"L2","F","BA"
"s64",26902.39,"L2","M","BA"
"s131",26950.17,"L1","M","BA"
"s70",27044.25,"L2","F","BA"
"s98",27194.26,"L2","F","BA"
"s7",27290.17,"L1","F","BA"
"s36",27370.96,"L2","F","BA"
"s174",27383.29,"L2","F","BA"
"s85",27449.62,"L1","F","BA"
"s193",27597.66,"L1","F","MA"
"s87",27631.96,"L1","F","BA"
"s136",27703.91,"L2","M","BA"
"s184",27758.26,"L2","F","BA"
"s16",27809.28,"L2","F","BA"
"s103",27856.14,"L1","M","MA"
"s80",27862.69,"L2","F","BA"
"s117",28046.44,"L1","M","BA"
"s172",28093.57,"L2","F","BA"
"s160",28294.81,"L2","F","MA"
"s79",28320.7,"L1","F","BA"
"s18",28529.35,"L2","F","BA"
"s138",28736.19,"L2","M","MA"
"s130",28807.77,"L2","M","MA"
"s104",28886.13,"L2","M","MA"
"s124",28964.66,"L2","M","MA"
"s186",29208.31,"L2","F","MA"
"s122",29307.92,"L2","M","BA"
"s8",29350.83,"L2","F","BA"
"s46",29445.42,"L2","F","BA"
"s155",29710.91,"L1","F","BA"
"s192",29716.79,"L2","F","MA"
"s54",29892.94,"L2","F","MA"
"s152",30033.64,"L2","F","BA"
"s170",30132.38,"L2","F","PhD"
"s31",30134.04,"L1","F","BA"
"s72",30170.4,"L2","F","BA"
"s1",30203,"L1","M","BA"
"s60",30346.03,"L2","F","BA"
"s33",30442.49,"L1","F","PhD"
"s146",30489.77,"L2","M","MA"
"s162",30507.72,"L2","F","BA"
"s182",30585.65,"L2","M","BA"
"s29",30607.61,"L1","F","BA"
"s28",30636.91,"L2","M","BA"
"s82",30637.49,"L2","F","BA"
"s113",30677.95,"L1","M","PhD"
"s23",30770.53,"L1","F","BA"
"s24",30812.17,"L2","F","BA"
"s12",30877.46,"L2","M","MA"
"s68",30885.93,"L2","M","MA"
"s43",31000.18,"L1","F","BA"
"s125",31002.99,"L1","M","BA"
"s135",31209.89,"L1","M","BA"
"s62",31225.61,"L2","F","BA"
"s148",31232.25,"L2","M","MA"
"s52",31579.04,"L2","M","BA"
"s20",31601.22,"L2","F","BA"
"s171",31690.58,"L1","F","PhD"
"s126",31877.75,"L2","M","BA"
"s81",31914.45,"L1","F","MA"
"s99",31927.94,"L1","F","PhD"
"s149",32057.33,"L1","M","BA"
"s59",32085.17,"L1","F","BA"
"s141",32175.65,"L1","M","BA"
"s129",32265.29,"L1","M","MA"
"s34",32300.56,"L2","F","BA"
"s39",32459.63,"L1","F","BA"
"s157",32683.18,"L1","M","BA"
"s6",32684.68,"L2","F","MA"
"s200",32840.91,"L2","F","BA"
"s178",32902.17,"L2","M","BA"
"s144",32958.61,"L2","M","MA"
"s49",32962.02,"L1","F","BA"
"s198",32975.32,"L2","F","BA"
"s179",32985.8,"L1","M","BA"
"s107",33013.05,"L1","M","BA"
"s10",33069.76,"L2","M","BA"
"s45",33164.69,"L1","F","BA"
"s169",33185.59,"L1","M","BA"
"s73",33216.08,"L1","F","MA"
"s69",33282.51,"L1","F","BA"
"s50",33337.95,"L2","F","BA"
"s153",33428.3,"L1","M","MA"
"s133",33499.78,"L1","M","BA"
"s94",33510.93,"L2","M","BA"
"s105",33534.62,"L1","M","PhD"
"s56",33661.95,"L2","F","BA"
"s154",33827.57,"L2","M","BA"
"s137",34036.23,"L1","M","BA"
"s65",34059.62,"L1","F","BA"
"s51",34093.61,"L1","F","BA"
"s2",34102.63,"L2","F","MA"
"s181",34138.71,"L1","M","MA"
"s197",34155.6,"L1","M","BA"
"s86",34241.1,"L2","F","BA"
"s38",34344.41,"L2","F","BA"
"s22",34406.72,"L2","F","BA"
"s26",34598.18,"L2","F","MA"
"s89",34605.29,"L1","F","BA"
"s96",34795.81,"L2","F","BA"
"s161",34912.54,"L1","M","MA"
"s143",34934.62,"L1","M","PhD"
"s115",35051.31,"L1","M","BA"
"s189",35071.72,"L1","M","BA"
"s75",35165.74,"L1","F","BA"
"s147",35179.08,"L1","M","BA"
"s175",35283.17,"L1","M","BA"
"s42",35392.58,"L2","F","PhD"
"s67",35487.27,"L1","F","MA"
"s40",35603.87,"L2","F","BA"
"s71",35714.39,"L1","F","BA"
"s35",35781.78,"L1","F","BA"
"s163",35826.75,"L1","M","PhD"
"s145",35997.35,"L1","F","MA"
"s32",36158.32,"L2","F","BA"
"s25",36162.22,"L1","F","BA"
"s30",36242.54,"L2","F","MA"
"s4",36332.64,"L2","F","BA"
"s63",36605.05,"L1","F","MA"
"s27",36824.31,"L1","F","MA"
"s5",36959.22,"L1","F","PhD"
