"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1000",1,"spatial",FALSE,TRUE,"fektas","male","chair_large","fek","chair_dimin","fektas","fektol","fektol","Female","test",24
"s1000",2,"spatial",TRUE,FALSE,"peltas","female","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female","test",24
"s1000",3,"spatial",TRUE,FALSE,"wuktol","female_side","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female","test",24
"s1000",4,"spatial",FALSE,FALSE,"tostol","male_side","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female","test",24
"s1000",5,"spatial",FALSE,TRUE,"riktas","female","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","test",24
"s1000",6,"spatial",TRUE,TRUE,"faltol","male_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","test",24
"s1000",7,"spatial",FALSE,TRUE,"faltas","female","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","test",24
"s1000",8,"spatial",TRUE,TRUE,"wantas","male","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","test",24
"s1000",9,"spatial",TRUE,TRUE,"wantas","female","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","test",24
"s1000",10,"spatial",TRUE,FALSE,"peltas","male","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female","test",24
"s1000",11,"spatial",FALSE,FALSE,"tostol","female_side","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female","test",24
"s1000",12,"spatial",TRUE,TRUE,"wuntas","male","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","test",24
"s1000",13,"spatial",TRUE,TRUE,"riktol","female_side","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","test",24
"s1000",14,"spatial",TRUE,FALSE,"tostas","male","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female","test",24
"s1000",15,"spatial",FALSE,TRUE,"wuntol","female_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","test",24
"s1000",16,"spatial",FALSE,FALSE,"riltas","male","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female","test",24
"s1000",17,"spatial",FALSE,TRUE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","test",24
"s1000",18,"spatial",FALSE,FALSE,"fentol","female_side","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female","test",24
"s1000",19,"spatial",TRUE,TRUE,"rultas","female","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","test",24
"s1000",20,"spatial",TRUE,FALSE,"riltol","female_side","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female","test",24
"s1000",21,"spatial",FALSE,FALSE,"fistas","male","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female","test",24
"s1000",22,"spatial",TRUE,FALSE,"fistol","female_side","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female","test",24
"s1000",23,"spatial",TRUE,FALSE,"riltol","male_side","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female","test",24
"s1000",24,"spatial",TRUE,TRUE,"riktol","male_side","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","test",24
"s1000",25,"spatial",TRUE,TRUE,"rultas","male","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","test",24
"s1000",26,"spatial",TRUE,TRUE,"faltol","female_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","test",24
"s1000",27,"spatial",TRUE,FALSE,"fistol","male_side","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female","test",24
"s1000",28,"spatial",FALSE,FALSE,"peltol","female_side","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female","test",24
"s1000",29,"spatial",TRUE,FALSE,"fentas","male","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female","test",24
"s1000",30,"spatial",TRUE,TRUE,"wuntas","female","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","test",24
"s1000",31,"spatial",FALSE,TRUE,"wantol","female_side","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","test",24
"s1000",32,"spatial",TRUE,TRUE,"fektas","female","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","test",24
"s1000",33,"spatial",TRUE,FALSE,"tostas","female","chair_large","tos","chair_dimin","tostas","tostol","tostas","Female","test",24
"s1000",34,"spatial",FALSE,TRUE,"fektol","male_side","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","test",24
"s1000",35,"spatial",FALSE,TRUE,"fektol","female_side","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","test",24
"s1000",36,"spatial",FALSE,TRUE,"rultol","male_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","test",24
"s1000",37,"spatial",FALSE,TRUE,"riktas","male","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","test",24
"s1000",38,"spatial",FALSE,FALSE,"wuktas","male","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female","test",24
"s1000",39,"spatial",TRUE,FALSE,"wuktol","male_side","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female","test",24
"s1000",40,"spatial",FALSE,FALSE,"riltas","female","bokchoy_large","ril","bokchoy_dimin","riltas","riltol","riltol","Female","test",24
"s1000",41,"spatial",FALSE,TRUE,"wantol","male_side","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","test",24
"s1000",42,"spatial",FALSE,FALSE,"fistas","female","fox_large_male","fis","fox_dimin","fistas","fistol","fistol","Female","test",24
"s1000",43,"spatial",FALSE,FALSE,"fentol","male_side","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female","test",24
"s1000",44,"spatial",FALSE,FALSE,"wuktas","female","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female","test",24
"s1000",45,"spatial",FALSE,TRUE,"wuntol","male_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","test",24
"s1000",46,"spatial",FALSE,FALSE,"peltol","male_side","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female","test",24
"s1000",47,"spatial",FALSE,TRUE,"rultol","female_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","test",24
"s1000",48,"spatial",TRUE,FALSE,"fentas","female","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female","test",24
"s1001",1,"spatial",FALSE,TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","test",25
"s1001",2,"spatial",FALSE,FALSE,"wukfen","male","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female","test",25
