"subject"	"condition"	"correct"	"correctAnswer"	"subj.gender"	"interlocutor"	"phase"	"promptImage"	"promptName"	"selection"	"targetImage"	"targetWord1"	"targetWord2"	"subj.yob"	"subject.age"	"trialNumber"
"s1000"	"nonsocial"	FALSE	"fektas"	"Female"	"male"	"test"	"chair_large"	"fek"	"fektol"	"chair_dimin"	"fektas"	"fektol"	1987	27	1
"s1000"	"nonsocial"	TRUE	"peltas"	"Female"	"female"	"test"	"bokchoy_large"	"pel"	"peltas"	"bokchoy_dimin"	"peltas"	"peltol"	1987	27	2
"s1000"	"nonsocial"	TRUE	"wuktol"	"Female"	"female_side"	"test"	"mushroom_large"	"wuk"	"wuktol"	"mushroom_dimin"	"wuktas"	"wuktol"	1987	27	3
"s1000"	"nonsocial"	FALSE	"tostol"	"Female"	"male_side"	"test"	"chair_large"	"tos"	"tostas"	"chair_dimin"	"tostas"	"tostol"	1987	27	4
"s1000"	"nonsocial"	FALSE	"riktas"	"Female"	"female"	"test"	"pitcher_large"	"rik"	"riktol"	"pitcher_dimin"	"riktas"	"riktol"	1987	27	5
"s1000"	"nonsocial"	TRUE	"faltol"	"Female"	"male_side"	"test"	"fox_large_male"	"fal"	"faltol"	"fox_dimin"	"faltas"	"faltol"	1987	27	6
"s1000"	"nonsocial"	FALSE	"faltas"	"Female"	"female"	"test"	"fox_large_male"	"fal"	"faltol"	"fox_dimin"	"faltas"	"faltol"	1987	27	7
"s1000"	"nonsocial"	TRUE	"wantas"	"Female"	"male"	"test"	"bear_large_male"	"wan"	"wantas"	"bear_dimin"	"wantas"	"wantol"	1987	27	8
"s1000"	"nonsocial"	TRUE	"wantas"	"Female"	"female"	"test"	"bear_large_male"	"wan"	"wantas"	"bear_dimin"	"wantas"	"wantol"	1987	27	9
"s1000"	"nonsocial"	TRUE	"peltas"	"Female"	"male"	"test"	"bokchoy_large"	"pel"	"peltas"	"bokchoy_dimin"	"peltas"	"peltol"	1987	27	10
"s1000"	"nonsocial"	FALSE	"tostol"	"Female"	"female_side"	"test"	"chair_large"	"tos"	"tostas"	"chair_dimin"	"tostas"	"tostol"	1987	27	11
"s1000"	"nonsocial"	TRUE	"wuntas"	"Female"	"male"	"test"	"gate_large"	"wun"	"wuntas"	"gate_dimin"	"wuntas"	"wuntol"	1987	27	12
"s1000"	"nonsocial"	TRUE	"riktol"	"Female"	"female_side"	"test"	"pitcher_large"	"rik"	"riktol"	"pitcher_dimin"	"riktas"	"riktol"	1987	27	13
"s1000"	"nonsocial"	TRUE	"tostas"	"Female"	"male"	"test"	"chair_large"	"tos"	"tostas"	"chair_dimin"	"tostas"	"tostol"	1987	27	14
"s1000"	"nonsocial"	FALSE	"wuntol"	"Female"	"female_side"	"test"	"gate_large"	"wun"	"wuntas"	"gate_dimin"	"wuntas"	"wuntol"	1987	27	15
"s1000"	"nonsocial"	FALSE	"riltas"	"Female"	"male"	"test"	"bokchoy_large"	"ril"	"riltol"	"bokchoy_dimin"	"riltas"	"riltol"	1987	27	16
"s1000"	"nonsocial"	FALSE	"faltas"	"Female"	"male"	"test"	"fox_large_male"	"fal"	"faltol"	"fox_dimin"	"faltas"	"faltol"	1987	27	17
"s1000"	"nonsocial"	FALSE	"fentol"	"Female"	"female_side"	"test"	"candleholder_large"	"fen"	"fentas"	"candleholder_dimin"	"fentas"	"fentol"	1987	27	18
"s1000"	"nonsocial"	TRUE	"rultas"	"Female"	"female"	"test"	"bear_large_male"	"rul"	"rultas"	"bear_dimin"	"rultas"	"rultol"	1987	27	19
"s1000"	"nonsocial"	TRUE	"riltol"	"Female"	"female_side"	"test"	"bokchoy_large"	"ril"	"riltol"	"bokchoy_dimin"	"riltas"	"riltol"	1987	27	20
"s1000"	"nonsocial"	FALSE	"fistas"	"Female"	"male"	"test"	"fox_large_male"	"fis"	"fistol"	"fox_dimin"	"fistas"	"fistol"	1987	27	21
"s1000"	"nonsocial"	TRUE	"fistol"	"Female"	"female_side"	"test"	"fox_large_male"	"fis"	"fistol"	"fox_dimin"	"fistas"	"fistol"	1987	27	22
"s1000"	"nonsocial"	TRUE	"riltol"	"Female"	"male_side"	"test"	"bokchoy_large"	"ril"	"riltol"	"bokchoy_dimin"	"riltas"	"riltol"	1987	27	23
"s1000"	"nonsocial"	TRUE	"riktol"	"Female"	"male_side"	"test"	"pitcher_large"	"rik"	"riktol"	"pitcher_dimin"	"riktas"	"riktol"	1987	27	24
"s1000"	"nonsocial"	TRUE	"rultas"	"Female"	"male"	"test"	"bear_large_male"	"rul"	"rultas"	"bear_dimin"	"rultas"	"rultol"	1987	27	25
"s1000"	"nonsocial"	TRUE	"faltol"	"Female"	"female_side"	"test"	"fox_large_male"	"fal"	"faltol"	"fox_dimin"	"faltas"	"faltol"	1987	27	26
"s1000"	"nonsocial"	TRUE	"fistol"	"Female"	"male_side"	"test"	"fox_large_male"	"fis"	"fistol"	"fox_dimin"	"fistas"	"fistol"	1987	27	27
"s1000"	"nonsocial"	FALSE	"peltol"	"Female"	"female_side"	"test"	"bokchoy_large"	"pel"	"peltas"	"bokchoy_dimin"	"peltas"	"peltol"	1987	27	28
"s1000"	"nonsocial"	TRUE	"fentas"	"Female"	"male"	"test"	"candleholder_large"	"fen"	"fentas"	"candleholder_dimin"	"fentas"	"fentol"	1987	27	29
"s1000"	"nonsocial"	TRUE	"wuntas"	"Female"	"female"	"test"	"gate_large"	"wun"	"wuntas"	"gate_dimin"	"wuntas"	"wuntol"	1987	27	30
"s1000"	"nonsocial"	FALSE	"wantol"	"Female"	"female_side"	"test"	"bear_large_male"	"wan"	"wantas"	"bear_dimin"	"wantas"	"wantol"	1987	27	31
"s1000"	"nonsocial"	TRUE	"fektas"	"Female"	"female"	"test"	"chair_large"	"fek"	"fektas"	"chair_dimin"	"fektas"	"fektol"	1987	27	32
