"age"	"condition"	"text.speed"	"language"
23	"keypad"	0.718784751496758	"L1"
22	"keypad"	0.592837247361867	"L2"
27	"keypad"	0.643333784751717	"L1"
18	"keypad"	0.604955538658809	"L2"
23	"keypad"	0.577153449183048	"L1"
31	"keypad"	1.08873508128196	"L2"
22	"keypad"	1.10843373255349	"L1"
22	"keypad"	0.803509717662071	"L2"
20	"keypad"	0.92156485479969	"L1"
19	"keypad"	0.566426788607274	"L2"
20	"keypad"	0.665599198940846	"L1"
24	"keypad"	0.844447705506177	"L2"
20	"keypad"	0.744800899860423	"L1"
25	"keypad"	0.756392157155483	"L2"
24	"keypad"	1.00110066289368	"L1"
25	"keypad"	0.455992969085286	"L2"
23	"keypad"	0.898238198807484	"L1"
24	"keypad"	0.630533417441724	"L2"
22	"keypad"	0.921288163487571	"L1"
36	"keypad"	0.414764430648025	"L2"
18	"keypad"	1.26147569775754	"L1"
23	"keypad"	0.561265413239513	"L2"
19	"keypad"	0.860753623589178	"L1"
29	"keypad"	0.866006805619582	"L2"
21	"keypad"	0.7450284730072	"L1"
22	"keypad"	0.829120696135551	"L2"
22	"keypad"	0.6144055178212	"L1"
22	"keypad"	0.512690404682055	"L2"
22	"keypad"	1.11706936596179	"L1"
29	"keypad"	0.686300451168268	"L2"
19	"keypad"	0.939878622698492	"L1"
24	"keypad"	0.893929391436367	"L2"
21	"keypad"	1.04106209274201	"L1"
22	"keypad"	1.08590524398052	"L2"
22	"keypad"	1.02688688225754	"L1"
25	"keypad"	0.698826120209147	"L2"
22	"touchscreen"	1.27031915281797	"L1"
18	"touchscreen"	1.18789958202236	"L2"
23	"touchscreen"	1.37663896463283	"L1"
27	"touchscreen"	1.05369793695257	"L2"
23	"touchscreen"	1.46510029332982	"L1"
21	"touchscreen"	0.693395761110353	"L2"
29	"touchscreen"	1.69193665465169	"L1"
24	"touchscreen"	0.679505048075091	"L2"
25	"touchscreen"	0.895972619901626	"L1"
23	"touchscreen"	1.54960016915147	"L2"
23	"touchscreen"	1.45347978440181	"L1"
26	"touchscreen"	1.31552544620692	"L2"
27	"touchscreen"	1.32256511455964	"L1"
20	"touchscreen"	1.19513176381696	"L2"
21	"touchscreen"	1.8396393378277	"L1"
23	"touchscreen"	1.26928689363916	"L2"
25	"touchscreen"	1.42095922586833	"L1"
30	"touchscreen"	1.20745610354064	"L2"
25	"touchscreen"	1.78688565761371	"L1"
24	"touchscreen"	0.764675037426302	"L2"
22	"touchscreen"	1.43134072009908	"L1"
23	"touchscreen"	1.16136873006974	"L2"
23	"touchscreen"	1.39607242251514	"L1"
26	"touchscreen"	0.942487907057698	"L2"
19	"touchscreen"	1.45904374635843	"L1"
18	"touchscreen"	0.798336479369957	"L2"
22	"touchscreen"	1.19502867585375	"L1"
23	"touchscreen"	1.11257554942252	"L2"
23	"touchscreen"	1.53596289973756	"L1"
20	"touchscreen"	1.405866116421	"L2"
18	"touchscreen"	1.32741026061499	"L1"
19	"touchscreen"	1.41124115474626	"L2"
24	"touchscreen"	1.2318333797545	"L1"
32	"touchscreen"	0.950749406119723	"L2"
27	"touchscreen"	1.80437748746807	"L1"
23	"touchscreen"	1.04368083940826	"L2"
