"participant"	"peerCondition"	"gender"	"age"	"agreeableness"	"openness"	"conscientiousness"	"extraversion"	"emotionStabil"	"alignedVocabMean"
"p149771"	"robot.trust"	"male"	23	4	6	2.5	4.5	1	0.333333333333333
"p78253"	"robot.trust"	"male"	19	1.5	4.5	2.5	5	1	0.259259259259259
"p985648"	"robot"	"male"	29	3.5	5.5	4.5	3	1.5	0.48
"p40758"	"robot"	"male"	23	2.5	6.5	3.5	4	1.5	0.538461538461538
"p618707"	"human"	"female"	18	2	5.5	4.5	6	1.5	0.785714285714286
"p854812"	"human"	"female"	22	5	4	6	1	2	0.482758620689655
"p644409"	"robot"	"male"	24	3.5	6	4.5	2	2	0.807692307692308
"p896142"	"robot"	"male"	22	2.5	5.5	5.5	2	2	0.36
"p370800"	"human"	"male"	18	3.5	6	6	2	2	0.92
"p806611"	"robot.trust"	"male"	36	3	5.5	4	3	2	0.535714285714286
"p234034"	"robot"	"male"	18	4	5	5	4.5	2	0.285714285714286
"p984191"	"human"	"female"	20	4	7	5.5	5	2	0.375
"p806487"	"robot"	"female"	20	3.5	5.5	4.5	5.5	2	0.75
"p877813"	"human"	"male"	18	3.5	6.5	6	5.5	2	0.481481481481481
"p755289"	"robot"	"male"	25	6.5	4	4.5	1.5	2.5	0.111111111111111
"p607196"	"robot.trust"	"male"	26	4	5.5	5.5	3	2.5	0.62962962962963
"p667888"	"human"	"male"	23	3.5	6	2.5	4	2.5	0.88
"p907596"	"robot.trust"	"female"	19	3.5	5.5	6	4	2.5	0.692307692307692
"p490503"	"robot"	"male"	23	4	6	3	4.5	2.5	0.423076923076923
"p181542"	"human"	"female"	35	3.5	5	6.5	5	2.5	0.307692307692308
"p216808"	"robot.trust"	"female"	30	3	5.5	5.5	6	2.5	0.52
"p384698"	"robot"	"male"	21	3	4.5	6.5	2.5	3	0.37037037037037
"p57248"	"human"	"female"	19	3.5	6.5	3	3	3	0.5
"p10085"	"human"	"female"	45	4	4.5	5	4	3	0.888888888888889
"p191490"	"human"	"female"	22	2	7	5	4	3	0.714285714285714
"p987737"	"human"	"male"	22	4	5.5	5.5	4	3	0.448275862068966
"p780407"	"human"	"male"	21	1	5.5	4.5	6	3	0.730769230769231
"p13925"	"robot"	"male"	25	3	5.5	5.5	6.5	3	0.259259259259259
"p978371"	"robot"	"male"	26	2.5	7	5.5	6.5	3	0.615384615384615
"p931664"	"human"	"female"	23	4	5.5	5	7	3	0.576923076923077
"p310553"	"robot.trust"	"female"	20	3	6	6	2.5	3.5	0.192307692307692
"p819229"	"robot.trust"	"female"	19	3.5	5	4.5	4	3.5	0.555555555555556
"p395550"	"robot"	"male"	20	5	5.5	5	4	3.5	0.208333333333333
"p863623"	"human"	"female"	30	2	7	5	4	3.5	0.68
"p409561"	"robot.trust"	"male"	19	1.5	6	5.5	4	3.5	0.461538461538462
"p887007"	"robot.trust"	"female"	18	3.5	5.5	5	5	3.5	0.25
"p607029"	"robot"	"female"	23	3	5	6	5	3.5	0.538461538461538
"p67154"	"robot.trust"	"female"	24	2	6	6	5.5	3.5	0.296296296296296
"p980973"	"robot.trust"	"female"	21	3	4	6	2.5	4	0.464285714285714
"p788262"	"human"	"male"	24	3	4.5	5.5	3	4	0.821428571428571
"p690205"	"human"	"male"	20	3	4.5	6	3.5	4	0.689655172413793
"p519903"	"robot.trust"	"female"	20	1.5	5.5	6.5	3.5	4	0.166666666666667
"p116583"	"robot"	"female"	23	4	4	4	4	4	0.307692307692308
"p627947"	"robot"	"male"	19	3.5	4.5	5	4	4	0.259259259259259
"p248419"	"robot"	"female"	19	4	6	6.5	4	4	0.4
"p383463"	"human"	"female"	30	4	7	5	7	4	0.76
"p184279"	"robot"	"male"	19	1.5	5	5	2	4.5	0.3
"p652815"	"robot.trust"	"male"	27	3.5	4	5	2.5	4.5	0.807692307692308
"p620985"	"human"	"female"	22	2.5	3.5	5.5	2.5	4.5	0.32
"p104915"	"human"	"male"	40	3.5	6	6	3.5	4.5	0.592592592592593
"p936626"	"robot"	"female"	28	4.5	6	5	4	4.5	0.178571428571429
"p25781"	"robot.trust"	"female"	21	1	6	6	4.5	4.5	0.37037037037037
"p400975"	"robot"	"female"	20	2.5	4	4.5	3	5	0.391304347826087
"p429131"	"robot.trust"	"male"	35	1.5	6.5	3	3.5	5	0.5
"p149537"	"robot"	"male"	30	4	7	2.5	4	5	0.2
"p591371"	"human"	"female"	19	2.5	4.5	5.5	4.5	5	0.269230769230769
"p702270"	"robot.trust"	"female"	18	5	4.5	6	3.5	5.5	0.68
"p655590"	"robot.trust"	"male"	32	3.5	6	3.5	6	5.5	0.517241379310345
