"subject"	"condition"	"subject.age"	"subject.gender"	"trainingDuration"
"s1012"	"nonsocial"	20	"Female"	180
"s981"	"nonsocial"	20	"Female"	55
"s1009"	"social"	21	"Female"	76
"s997"	"nonsocial"	22	"Female"	52
"s960"	"social"	23	"Female"	39
"s1001"	"nonsocial"	24	"Female"	84
"s1030"	"nonsocial"	24	"Female"	65
"s1028"	"social"	24	"Female"	84
"s970"	"nonsocial"	25	"Female"	44
"s992"	"nonsocial"	25	"Female"	85
"s1003"	"nonsocial"	26	"Female"	94
"s965"	"nonsocial"	26	"Female"	70
"s995"	"social"	26	"Female"	61
"s1000"	"nonsocial"	27	"Female"	50
"s1035"	"nonsocial"	27	"Female"	84
"s976"	"social"	27	"Female"	78
"s958"	"nonsocial"	28	"Female"	84
"s1017"	"social"	28	"Female"	42
"s956"	"social"	28	"Female"	51
"s1014"	"nonsocial"	29	"Female"	50
"s998"	"nonsocial"	29	"Female"	50
"s961"	"social"	29	"Female"	69
"s1025"	"nonsocial"	30	"Female"	98
"s959"	"nonsocial"	30	"Female"	72
"s1010"	"social"	30	"Female"	54
"s949"	"social"	30	"Female"	50
"s1015"	"social"	31	"Female"	56
"s1013"	"nonsocial"	32	"Female"	48
"s988"	"social"	32	"Female"	41
"s1040"	"social"	34	"Female"	44
"s971"	"nonsocial"	35	"Female"	116
"s978"	"social"	35	"Female"	74
"s996"	"social"	35	"Female"	54
"s984"	"social"	36	"Female"	92
"s1024"	"nonsocial"	38	"Female"	62
"s1011"	"social"	39	"Female"	52
"s967"	"social"	39	"Female"	63
"s972"	"social"	40	"Female"	31
"s993"	"social"	41	"Female"	56
"s947"	"nonsocial"	42	"Female"	72
"s950"	"social"	44	"Female"	59
"s1044"	"social"	46	"Female"	24
"s1031"	"nonsocial"	48	"Female"	69
"s1020"	"nonsocial"	50	"Female"	79
"s1006"	"nonsocial"	54	"Female"	58
"s1002"	"nonsocial"	55	"Female"	74
"s1022"	"social"	58	"Female"	101
"s955"	"social"	22	"Male"	79
"s952"	"social"	23	"Male"	59
"s1026"	"nonsocial"	24	"Male"	75
"s977"	"social"	24	"Male"	80
"s1019"	"nonsocial"	25	"Male"	55
"s1029"	"nonsocial"	25	"Male"	72
"s980"	"nonsocial"	25	"Male"	56
"s1034"	"social"	25	"Male"	46
"s1008"	"nonsocial"	26	"Male"	71
"s963"	"nonsocial"	26	"Male"	76
"s945"	"social"	26	"Male"	60
"s951"	"social"	26	"Male"	36
"s943"	"social"	27	"Male"	74
"s1018"	"nonsocial"	28	"Male"	64
"s964"	"nonsocial"	28	"Male"	44
"s969"	"nonsocial"	28	"Male"	53
"s968"	"social"	28	"Male"	44
"s957"	"nonsocial"	29	"Male"	68
"s990"	"nonsocial"	29	"Male"	42
"s1032"	"social"	29	"Male"	71
"s987"	"nonsocial"	30	"Male"	93
"s941"	"social"	30	"Male"	35
"s973"	"social"	30	"Male"	122
"s940"	"social"	32	"Male"	80
"s962"	"social"	32	"Male"	74
"s966"	"social"	32	"Male"	29
"s1016"	"social"	33	"Male"	50
"s953"	"social"	33	"Male"	32
"s954"	"social"	33	"Male"	67
"s944"	"social"	34	"Male"	105
"s999"	"nonsocial"	35	"Male"	86
"s1042"	"nonsocial"	38	"Male"	28
"s1021"	"social"	38	"Male"	37
"s979"	"social"	38	"Male"	55
"s942"	"social"	39	"Male"	66
"s985"	"nonsocial"	40	"Male"	98
"s1023"	"social"	40	"Male"	70
"s983"	"social"	40	"Male"	27
"s946"	"nonsocial"	41	"Male"	73
"s1037"	"nonsocial"	42	"Male"	135
"s974"	"social"	42	"Male"	32
"s989"	"social"	42	"Male"	94
"s982"	"nonsocial"	44	"Male"	116
"s1033"	"social"	44	"Male"	62
"s1041"	"social"	52	"Male"	59
"s1045"	"social"	55	"Male"	26
"s1005"	"social"	63	"Male"	28
"s991"	"nonsocial"	65	"Male"	84
