"participant","trialNumber","cue","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1000",1,"spatial",TRUE,"wantol","female_side","bear_large_male","wan","bear_dimin","wantas","wantol","wantol","Female","training",24
"s1000",2,"spatial",TRUE,"wantol","male_side","bear_large_male","wan","bear_dimin","wantas","wantol","wantol","Female","training",24
"s1000",3,"spatial",TRUE,"faltol","female_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","training",24
"s1000",4,"spatial",TRUE,"fektol","female_side","chair_large","fek","chair_dimin","fektas","fektol","fektol","Female","training",24
"s1000",5,"spatial",FALSE,"riktas","male","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","training",24
"s1000",6,"spatial",TRUE,"fektol","female_side","chair_large","fek","chair_dimin","fektas","fektol","fektol","Female","training",24
"s1000",7,"spatial",TRUE,"riktas","male","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktas","Female","training",24
"s1000",8,"spatial",FALSE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","training",24
"s1000",9,"spatial",TRUE,"riktas","male","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktas","Female","training",24
"s1000",10,"spatial",TRUE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltas","Female","training",24
"s1000",11,"spatial",FALSE,"wuntol","female_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",12,"spatial",TRUE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltas","Female","training",24
"s1000",13,"spatial",FALSE,"wuntol","female_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",14,"spatial",TRUE,"faltas","male","fox_large_male","fal","fox_dimin","faltas","faltol","faltas","Female","training",24
"s1000",15,"spatial",TRUE,"wuntol","female_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntol","Female","training",24
"s1000",16,"spatial",TRUE,"riktol","male_side","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","training",24
"s1000",17,"spatial",TRUE,"rultol","male_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",18,"spatial",FALSE,"wantas","male","bear_large_male","wan","bear_dimin","wantas","wantol","wantol","Female","training",24
"s1000",19,"spatial",TRUE,"rultol","male_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",20,"spatial",TRUE,"wantas","male","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","training",24
"s1000",21,"spatial",TRUE,"wuntas","female","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",22,"spatial",FALSE,"rultas","female","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",23,"spatial",TRUE,"wuntas","female","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",24,"spatial",FALSE,"rultas","female","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",25,"spatial",TRUE,"wuntas","female","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",26,"spatial",TRUE,"rultas","female","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","training",24
"s1000",27,"spatial",TRUE,"riktol","female_side","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","training",24
"s1000",28,"spatial",TRUE,"wuntas","male","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",29,"spatial",TRUE,"faltol","male_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","training",24
"s1000",30,"spatial",FALSE,"riktas","female","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktol","Female","training",24
"s1000",31,"spatial",TRUE,"faltol","male_side","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","training",24
"s1000",32,"spatial",TRUE,"riktas","female","pitcher_large","rik","pitcher_dimin","riktas","riktol","riktas","Female","training",24
"s1000",33,"spatial",TRUE,"fektas","male","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","training",24
"s1000",34,"spatial",FALSE,"wuntol","male_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female","training",24
"s1000",35,"spatial",TRUE,"fektas","male","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","training",24
"s1000",36,"spatial",TRUE,"wuntol","male_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntol","Female","training",24
"s1000",37,"spatial",FALSE,"rultol","female_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","training",24
"s1000",38,"spatial",TRUE,"wuntol","male_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntol","Female","training",24
"s1000",39,"spatial",TRUE,"rultol","female_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",40,"spatial",TRUE,"fektas","female","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","training",24
"s1000",41,"spatial",FALSE,"fektol","male_side","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","training",24
"s1000",42,"spatial",TRUE,"fektas","female","chair_large","fek","chair_dimin","fektas","fektol","fektas","Female","training",24
"s1000",43,"spatial",TRUE,"fektol","male_side","chair_large","fek","chair_dimin","fektas","fektol","fektol","Female","training",24
"s1000",44,"spatial",TRUE,"wantas","female","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","training",24
"s1000",45,"spatial",FALSE,"rultas","male","bear_large_male","rul","bear_dimin","rultas","rultol","rultol","Female","training",24
"s1000",46,"spatial",TRUE,"wantas","female","bear_large_male","wan","bear_dimin","wantas","wantol","wantas","Female","training",24
"s1000",47,"spatial",TRUE,"rultas","male","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","training",24
"s1000",48,"spatial",FALSE,"faltas","female","fox_large_male","fal","fox_dimin","faltas","faltol","faltol","Female","training",24
"s1000",49,"spatial",TRUE,"rultas","male","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","training",24
"s1000",50,"spatial",TRUE,"faltas","female","fox_large_male","fal","fox_dimin","faltas","faltol","faltas","Female","training",24
"s1001",1,"spatial",TRUE,"tolrul","male_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","training",25
"s1001",2,"spatial",TRUE,"tosrul","male_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female","training",25
"s1001",3,"spatial",TRUE,"falrul","male_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",4,"spatial",FALSE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",5,"spatial",TRUE,"falrul","male_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",6,"spatial",TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","training",25
"s1001",7,"spatial",FALSE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",8,"spatial",TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","training",25
"s1001",9,"spatial",TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",10,"spatial",FALSE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",11,"spatial",TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",12,"spatial",TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",13,"spatial",FALSE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",14,"spatial",TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",15,"spatial",FALSE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",16,"spatial",TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",17,"spatial",TRUE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",18,"spatial",FALSE,"pelfen","male","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",19,"spatial",FALSE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",20,"spatial",FALSE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",21,"spatial",TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",22,"spatial",FALSE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",23,"spatial",FALSE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",24,"spatial",FALSE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",25,"spatial",TRUE,"falrul","male_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",26,"spatial",TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","training",25
"s1001",27,"spatial",TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",28,"spatial",TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",29,"spatial",TRUE,"wunrul","female_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",30,"spatial",TRUE,"pelfen","male","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","training",25
"s1001",31,"spatial",TRUE,"fekrul","female_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",32,"spatial",FALSE,"pelrul","male_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","training",25
"s1001",33,"spatial",TRUE,"fekrul","female_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",34,"spatial",TRUE,"pelrul","male_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",35,"spatial",TRUE,"pelrul","female_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",36,"spatial",FALSE,"tosfen","female","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female","training",25
"s1001",37,"spatial",TRUE,"pelrul","female_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","training",25
"s1001",38,"spatial",TRUE,"tosfen","female","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",39,"spatial",FALSE,"falrul","female_side","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",40,"spatial",TRUE,"tosfen","female","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",41,"spatial",TRUE,"falrul","female_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",42,"spatial",TRUE,"wunrul","male_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",43,"spatial",TRUE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",44,"spatial",FALSE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",45,"spatial",FALSE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",46,"spatial",TRUE,"wunrul","male_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",47,"spatial",TRUE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",48,"spatial",FALSE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","training",25
"s1001",49,"spatial",FALSE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",50,"spatial",TRUE,"wunrul","male_side","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","training",25
"s1001",51,"spatial",TRUE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunfen","Female","training",25
"s1001",52,"spatial",TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",53,"spatial",FALSE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",54,"spatial",TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",55,"spatial",TRUE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female","training",25
"s1001",56,"spatial",FALSE,"tolfen","male","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","training",25
"s1001",57,"spatial",FALSE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",58,"spatial",TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",59,"spatial",FALSE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",60,"spatial",TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",61,"spatial",FALSE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",62,"spatial",TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",63,"spatial",TRUE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female","training",25
"s1001",64,"spatial",TRUE,"tolfen","male","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolfen","Female","training",25
"s1001",65,"spatial",FALSE,"tolfen","female","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","training",25
"s1001",66,"spatial",TRUE,"tolfen","male","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolfen","Female","training",25
"s1001",67,"spatial",TRUE,"tolfen","female","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolfen","Female","training",25
"s1001",68,"spatial",TRUE,"falfen","male","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",69,"spatial",FALSE,"tolrul","female_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolfen","Female","training",25
"s1001",70,"spatial",TRUE,"falfen","male","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","training",25
"s1001",71,"spatial",TRUE,"tolrul","female_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","training",25
"s1001",72,"spatial",TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",73,"spatial",FALSE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",74,"spatial",TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",75,"spatial",FALSE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",76,"spatial",TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",77,"spatial",FALSE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1001",78,"spatial",TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","training",25
"s1001",79,"spatial",TRUE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",80,"spatial",FALSE,"fekrul","male_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",81,"spatial",TRUE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",82,"spatial",FALSE,"fekrul","male_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",83,"spatial",TRUE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","training",25
"s1001",84,"spatial",TRUE,"fekrul","male_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","training",25
"s1002",1,"spatial",TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
