"subject","condition","subject.age","subject.gender","trainingRoundsNeeded","testMeanAccuracy","condition.col"
"s1000","nonsocial",27,"Female",50,0.479,"blue"
"s1001","nonsocial",24,"Female",84,0.625,"blue"
"s1002","nonsocial",55,"Female",74,0.5,"blue"
"s1003","nonsocial",26,"Female",94,0.5,"blue"
"s1005","social",63,"Male",28,0.958,"red"
"s1006","nonsocial",54,"Female",58,0.542,"blue"
"s1008","nonsocial",26,"Male",71,0.292,"blue"
"s1009","social",21,"Female",76,0.875,"red"
"s1010","social",30,"Female",54,0.583,"red"
"s1011","social",39,"Female",52,0.521,"red"
"s1012","nonsocial",20,"Female",180,0.458,"blue"
"s1013","nonsocial",32,"Female",48,0.604,"blue"
"s1014","nonsocial",29,"Female",50,0.479,"blue"
"s1015","social",31,"Female",56,0.646,"red"
"s1016","social",33,"Male",50,0.604,"red"
"s1017","social",28,"Female",42,0.958,"red"
"s1018","nonsocial",28,"Male",64,0.542,"blue"
"s1019","nonsocial",25,"Male",55,0.417,"blue"
"s1020","nonsocial",50,"Female",79,0.979,"blue"
"s1021","social",38,"Male",37,1,"red"
"s1022","social",58,"Female",101,0.521,"red"
"s1023","social",40,"Male",70,0.521,"red"
"s1024","nonsocial",38,"Female",62,0.542,"blue"
"s1025","nonsocial",30,"Female",98,0.396,"blue"
"s1026","nonsocial",24,"Male",75,0.333,"blue"
"s1028","social",24,"Female",84,0.708,"red"
"s1029","nonsocial",25,"Male",72,0.562,"blue"
"s1030","nonsocial",24,"Female",65,0.458,"blue"
"s1031","nonsocial",48,"Female",69,0.625,"blue"
"s1032","social",29,"Male",71,0.458,"red"
"s1033","social",44,"Male",62,0.333,"red"
"s1034","social",25,"Male",46,0.062,"red"
"s1035","nonsocial",27,"Female",84,0.521,"blue"
"s1037","nonsocial",42,"Male",135,0.646,"blue"
"s1040","social",34,"Female",44,0.958,"red"
"s1041","social",52,"Male",59,1,"red"
"s1042","nonsocial",38,"Male",28,1,"blue"
"s1044","social",46,"Female",24,1,"red"
"s1045","social",55,"Male",26,1,"red"
"s1381","linguistic",47,"Male",28,1,"darkgreen"
"s1382","linguistic",33,"Female",28,1,"darkgreen"
"s1384","linguistic",29,"Male",35,0.604,"darkgreen"
"s1385","linguistic",36,"Male",48,0.625,"darkgreen"
"s1391","linguistic",27,"Male",72,0.542,"darkgreen"
"s1397","linguistic",52,"Female",80,0.521,"darkgreen"
"s1403","linguistic",21,"Male",36,0.583,"darkgreen"
"s1404","linguistic",24,"Male",46,0.604,"darkgreen"
"s1410","linguistic",23,"Male",34,0.75,"darkgreen"
"s1419","linguistic",26,"Male",30,0.771,"darkgreen"
"s1420","linguistic",57,"Male",26,1,"darkgreen"
"s1426","linguistic",27,"Female",28,0.958,"darkgreen"
"s1427","linguistic",34,"Female",32,0.833,"darkgreen"
"s1431","linguistic",26,"Female",49,0.583,"darkgreen"
"s1438","linguistic",55,"Female",28,1,"darkgreen"
"s1439","linguistic",35,"Female",31,1,"darkgreen"
"s1446","linguistic",24,"Female",64,0.479,"darkgreen"
"s1452","linguistic",23,"Female",53,0.5,"darkgreen"
"s1453","linguistic",45,"Male",32,0.833,"darkgreen"
"s1456","linguistic",31,"Male",45,0.625,"darkgreen"
"s1457","linguistic",39,"Female",26,1,"darkgreen"
"s1463","linguistic",32,"Female",32,0.625,"darkgreen"
"s1464","linguistic",26,"Male",97,0.5,"darkgreen"
"s1470","linguistic",32,"Male",64,0.396,"darkgreen"
"s1471","linguistic",24,"Female",24,0.979,"darkgreen"
"s1477","linguistic",32,"Male",46,0.688,"darkgreen"
"s1478","linguistic",30,"Female",34,0.667,"darkgreen"
"s1484","linguistic",33,"Female",26,1,"darkgreen"
"s1485","linguistic",24,"Female",44,0.729,"darkgreen"
"s1491","linguistic",37,"Female",28,0.646,"darkgreen"
"s1497","linguistic",23,"Male",55,0.542,"darkgreen"
"s1503","linguistic",27,"Female",48,0.646,"darkgreen"
"s1510","linguistic",33,"Male",55,1,"darkgreen"
"s1517","linguistic",34,"Male",26,1,"darkgreen"
"s1518","linguistic",30,"Male",26,0.979,"darkgreen"
"s1532","linguistic",22,"Male",38,0.479,"darkgreen"
"s1533","linguistic",37,"Female",32,0.625,"darkgreen"
"s1539","linguistic",28,"Male",28,0.979,"darkgreen"
"s1540","linguistic",34,"Male",61,0.875,"darkgreen"
"s1546","linguistic",25,"Male",101,0.521,"darkgreen"
"s1547","linguistic",20,"Male",43,0.688,"darkgreen"
"s1553","linguistic",30,"Female",55,0.5,"darkgreen"
"s1554","linguistic",29,"Female",35,0.729,"darkgreen"
"s1560","linguistic",27,"Female",38,0.646,"darkgreen"
"s1561","linguistic",25,"Male",34,1,"darkgreen"
"s940","social",32,"Male",80,0.521,"red"
"s941","social",30,"Male",35,1,"red"
"s942","social",39,"Male",66,0.542,"red"
"s943","social",27,"Male",74,0.542,"red"
"s944","social",34,"Male",105,0.438,"red"
"s945","social",26,"Male",60,0.417,"red"
"s946","nonsocial",41,"Male",73,0.458,"blue"
"s947","nonsocial",42,"Female",72,0.604,"blue"
"s949","social",30,"Female",50,1,"red"
"s950","social",44,"Female",59,0.479,"red"
"s951","social",26,"Male",36,0.938,"red"
"s952","social",23,"Male",59,0.396,"red"
"s953","social",33,"Male",32,1,"red"
"s954","social",33,"Male",67,0.562,"red"
"s955","social",22,"Male",79,0.562,"red"
"s956","social",28,"Female",51,0.979,"red"
"s957","nonsocial",29,"Male",68,0.542,"blue"
"s958","nonsocial",28,"Female",84,0.562,"blue"
"s959","nonsocial",30,"Female",72,0.562,"blue"
"s960","social",23,"Female",39,1,"red"
"s961","social",29,"Female",69,1,"red"
"s962","social",32,"Male",74,0.562,"red"
"s963","nonsocial",26,"Male",76,0.562,"blue"
"s964","nonsocial",28,"Male",44,0.5,"blue"
"s965","nonsocial",26,"Female",70,0.542,"blue"
"s966","social",32,"Male",29,1,"red"
"s967","social",39,"Female",63,0.438,"red"
"s968","social",28,"Male",44,0.917,"red"
"s969","nonsocial",28,"Male",53,0.458,"blue"
"s970","nonsocial",25,"Female",44,0.479,"blue"
"s971","nonsocial",35,"Female",116,0.5,"blue"
"s972","social",40,"Female",31,0.938,"red"
"s973","social",30,"Male",122,0.333,"red"
"s974","social",42,"Male",32,1,"red"
"s976","social",27,"Female",78,0.417,"red"
"s977","social",24,"Male",80,0.354,"red"
"s978","social",35,"Female",74,0.938,"red"
"s979","social",38,"Male",55,0.5,"red"
"s980","nonsocial",25,"Male",56,0.562,"blue"
"s981","nonsocial",20,"Female",55,0.479,"blue"
"s982","nonsocial",44,"Male",116,0.979,"blue"
"s983","social",40,"Male",27,0.979,"red"
"s984","social",36,"Female",92,0.521,"red"
"s985","nonsocial",40,"Male",98,0.479,"blue"
"s987","nonsocial",30,"Male",93,0.542,"blue"
"s988","social",32,"Female",41,0.979,"red"
"s989","social",42,"Male",94,0.521,"red"
"s990","nonsocial",29,"Male",42,0.521,"blue"
"s991","nonsocial",65,"Male",84,0.979,"blue"
"s992","nonsocial",25,"Female",85,0.479,"blue"
"s993","social",41,"Female",56,1,"red"
"s995","social",26,"Female",61,0.417,"red"
"s996","social",35,"Female",54,0.479,"red"
"s997","nonsocial",22,"Female",52,0.438,"blue"
"s998","nonsocial",29,"Female",50,0.479,"blue"
"s999","nonsocial",35,"Male",86,0.458,"blue"
