"participant"	"peerCondition"	"item"	"preValenceRating"	"postValenceRating"	"preWord"	"postWord"	"peerWord"	"alignedVocab"	"peerWordValence"	"valRatingChange"	"gender"	"age"	"agreeableness"	"openness"	"conscientiousness"	"extraversion"	"emotionStabil"
"p149771"	"robot.trust"	"baby"	0	0	"baby"	"OTHER"	"sprog"	FALSE	0.107142857	0	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"king"	0	3	"OTHER"	"king"	"king"	TRUE	0.464285714	3	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"people"	3	3	"group of people"	"people"	"people"	TRUE	1.178571429	0	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"soldier"	-1	-1	"Terrorist"	"soldier"	"soldier"	TRUE	-0.642857143	0	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"drugs"	0	3	"pills"	"pills"	"medicine"	FALSE	0.464285714	3	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"dirt"	0	0	"OTHER"	"dirt"	"gravel"	FALSE	-0.25	0	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"mouse"	-1	-4	"rat"	"OTHER"	"mouse"	FALSE	0.464285714	-3	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"wedge"	0	3	"OTHER"	"pizza slice"	"pizza slice"	TRUE	1.571428571	3	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"road"	0	4	"road"	"road"	"avenue"	FALSE	1.178571429	4	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"socket"	0	0	"plug"	"OTHER"	"socket"	FALSE	0.142857143	0	"male"	23	4	6	2.5	4.5	7
"p149771"	"robot.trust"	"microbes"	0	-1	"OTHER"	"germs"	"germs"	TRUE	-0.75	-1	"male"	23	4	6	2.5	4.5	7
