"Word","Valence","Arousal","Dominance","Word.Frequency","gender"
"abduction",2.33,6.09,2.76,1,"female"
"abortion",3.15,5.85,4,6,"female"
"absurd",4.7,4.65,4.7,17,"female"
"abundance",6.55,5.1,5.55,13,"female"
"abuse",1.46,6.88,3.81,18,"female"
"acceptance",8.18,4.86,6.55,49,"female"
"accident",2.08,6.48,3.92,33,"female"
"ace",6.14,4.95,6.33,15,"female"
"ache",2,4.77,3.23,4,"female"
"achievement",8,5.97,6.52,65,"female"
"activate",5.31,5,5.38,2,"female"
"addict",2.12,5.68,3.68,1,"female"
"addicted",2.29,5.09,3.29,3,"female"
"admired",7.81,5.97,7.44,17,"female"
"adorable",8.12,4.96,6,3,"female"
"adult",6.5,4.81,5.58,25,"female"
"advantage",6.72,4.48,6.35,73,"female"
"adventure",8,7.05,6.55,14,"female"
"affection",8.57,6.25,6.39,18,"female"
"afraid",1.83,6.68,3.43,57,"female"
"aggressive",4.89,5.68,5.21,17,"female"
"agility",6.24,5.07,5.79,3,"female"
"agony",2.41,6.34,3.75,9,"female"
"agreement",7.38,5.14,6,106,"female"
"air",6.23,3.64,5,257,"female"
"alcoholic",2,6,4.08,3,"female"
"alert",6.69,7,5.5,33,"female"
"alien",4.75,5.1,5,16,"female"
"alimony",4.62,5.14,5.18,2,"female"
"alive",7.79,5.62,6.04,57,"female"
"allergy",2.95,4.68,3.45,1,"female"
"alley",4.19,5.43,3.64,8,"female"
"alone",2.1,5.16,3.61,195,"female"
"aloof",4.68,4.54,4.6,5,"female"
"ambition",7.88,5.42,7.5,19,"female"
"ambulance",2.27,7.62,3,6,"female"
"angel",7.81,4.65,5.19,18,"female"
"anger",2,8.22,5.52,48,"female"
"angry",2.27,7.46,5.19,45,"female"
"anguished",1.55,6.2,3.2,2,"female"
"ankle",5,4.04,4.84,8,"female"
"annoy",2.61,6.48,5.09,2,"female"
"answer",6.32,5.18,5.64,152,"female"
"anxious",4.81,7,5.15,29,"female"
"applause",7.62,5.77,6.19,14,"female"
"appliance",5.15,3.85,5,5,"female"
"arm",5.21,2.92,5.08,94,"female"
"army",4.55,5.42,4.85,132,"female"
"aroused",7.96,6.77,6.15,20,"female"
"arrogant",2.9,6.1,4.55,2,"female"
"art",7.5,5.08,5.75,208,"female"
"assassin",2.5,6.53,4.09,6,"female"
"assault",1.78,7.7,3.09,15,"female"
"astonished",6.6,6.7,5.15,6,"female"
"astronaut",6.54,5.62,5.08,2,"female"
"athletics",6.45,5.45,6.05,9,"female"
"autumn",6.47,4.34,5.25,22,"female"
"avalanche",2.95,5.8,3.2,1,"female"
"avenue",5.82,3.86,5.73,46,"female"
"awed",7.05,5.42,5.85,5,"female"
"baby",8.65,4.95,5.35,62,"female"
"bake",6.05,5.45,5.71,12,"female"
"bandage",5.05,4.19,4.73,4,"female"
"bankrupt",1.85,6.56,3.48,5,"female"
"banner",5.45,4.19,4.81,8,"female"
"bar",5.91,4.78,5.13,82,"female"
"barrel",4.83,3.04,4.88,24,"female"
"basket",5.31,3.88,5.62,17,"female"
"bath",7.42,3.58,7.08,26,"female"
"bathroom",5.19,3.92,5.58,18,"female"
"bathtub",6.75,3.25,5.8,4,"female"
"beach",7.65,4.45,5.15,61,"female"
"beast",3.5,5.21,4.25,7,"female"
"beautiful",8,5.95,6.5,127,"female"
"beauty",8.04,4.52,5.65,71,"female"
"bed",7.15,3.19,6.77,127,"female"
"bees",3.15,6.31,3.77,15,"female"
"beggar",2.65,5.62,3.68,2,"female"
"bench",4.65,3.77,4.42,35,"female"
"bereavement",4.52,4.5,4.62,4,"female"
"betray",1.6,7.28,4.54,4,"female"
"beverage",6.86,5.14,5.48,5,"female"
"bird",7.41,3.39,4.36,31,"female"
"birthday",8.13,6.74,6.22,18,"female"
"black",4.88,4.68,4.44,203,"female"
"blackmail",2.93,6.31,3.72,2,"female"
"bland",4.09,3.14,4.82,3,"female"
"blase",4.79,3.58,4.74,7,"female"
"blasphemy",3.83,5.25,4.75,4,"female"
"bless",7.73,4,5.68,9,"female"
"blind",3.35,4.95,3.45,47,"female"
"bliss",6.8,4.12,5.84,4,"female"
"blister",2.25,4.4,3.55,3,"female"
"blond",6.2,4,5.45,11,"female"
"blossom",7.09,4.61,5.52,7,"female"
"blubber",3.31,4.58,3.42,1,"female"
"blue",6.38,4.62,5.35,143,"female"
"board",5,3.56,5.24,239,"female"
"body",5.38,5.46,5.42,276,"female"
"bold",7,5.94,6.58,21,"female"
"bomb",1.9,7.31,4.52,36,"female"
"book",5.55,4.2,5.45,193,"female"
