"participant","gender","yearOfBirth","age","phase","category","sensibility","partnerRegCondition","item.reg.mean","strong.past","weak.past","response","regular"
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.629,"pote","pited","pited",TRUE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.713,"plone","plined","plined",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.708,"fram","frimmed","frimmed",TRUE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.698,"slurnt","slurned","slurned",TRUE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.688,"skent","skeened","skeened",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.743,"cham","chimmed","chimmed",TRUE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.772,"strilt","strilled","strilled",TRUE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.644,"stelt","stelled","stelt",FALSE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.431,"dwank","dwinked","dwank",FALSE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.733,"skrilt","skrilled","skrilled",TRUE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.698,"snent","sneened","sneened",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.619,"stram","strimmed","strimmed",TRUE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.718,"jurnt","jurned","jurned",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.579,"chote","chited","chote",FALSE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.688,"prurnt","prurned","prurned",TRUE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.46,"shrept","shreeped","shrept",FALSE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.45,"shang","shinged","shang",FALSE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.723,"swurnt","swurned","swurned",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.703,"schmone","schmined","schmined",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.49,"trank","trinked","trinked",TRUE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.708,"gurnt","gurned","gurned",TRUE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.55,"brept","breeped","brept",FALSE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.574,"plelt","pleeled","pleeled",TRUE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.416,"thept","theeped","thept",FALSE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.376,"throde","thrided","throde",FALSE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.49,"slove","slived","slove",FALSE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.406,"squode","squided","squided",TRUE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.668,"vurnt","vurned","vurnt",FALSE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.653,"threlt","threlled","threlt",FALSE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.401,"yode","yided","yode",FALSE
