"participant","regular","partnerRegCondition","partnerSensibility","phase","gender","yearOfBirth","age","verb.baseline.reg","irregForm","regForm"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.629,"pote","pited"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.713,"plone","plined"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.708,"fram","frimmed"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.698,"slurnt","slurned"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.688,"skent","skeened"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.743,"cham","chimmed"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.772,"strilt","strilled"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.644,"stelt","stelled"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.431,"dwank","dwinked"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.733,"skrilt","skrilled"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.698,"snent","sneened"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.619,"stram","strimmed"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.718,"jurnt","jurned"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.579,"chote","chited"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.688,"prurnt","prurned"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.46,"shrept","shreeped"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.45,"shang","shinged"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.723,"swurnt","swurned"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.703,"schmone","schmined"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.49,"trank","trinked"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.708,"gurnt","gurned"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.55,"brept","breeped"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.574,"plelt","pleeled"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.416,"thept","theeped"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.376,"throde","thrided"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.49,"slove","slived"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.406,"squode","squided"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.668,"vurnt","vurned"
