"PARTICIPANT","GENDER","PAIR.INDEX","STIMULUS","FREQUENCY","COCAMD","ERRTYPE","CORRECT","NUM.WORDS","INTERRUPTED"
"s1","Male",2,"all of a sudden","HI",55.29,"P",FALSE,"4",TRUE
"s1","Male",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s1","Male",3,"as a result of","HI",56.25,"C",TRUE,"4",FALSE
"s1","Male",3,"as the name of","LO",23.1,"P",FALSE,"4",TRUE
"s1","Male",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s1","Male",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s1","Male",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s1","Male",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s1","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s1","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s1","Male",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s1","Male",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s1","Male",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s1","Male",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s1","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s1","Male",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s1","Male",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s1","Male",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s1","Male",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s1","Male",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s1","Male",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s1","Male",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s10","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s10","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s10","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
